userName,at,text_tokens_stemmed,Label,Label NB
Pengguna Google,2024-12-09 05:46:58,tibatiba auto log off login hapus cache hapus program install ulang browsing lancar baik,negatif,negatif
Pengguna Google,2024-12-08 23:33:17,bagus sihhh lamar langsung panggil interview,positif,positif
Pengguna Google,2024-12-08 21:50:55,semenjak jobstreet ubah jobstreet by seek log in update2 baru silah mohon tangan cepat kendala akun log in akun daftar jaring stabil mohon follow up kendala log in update an baru aplikasi,negatif,negatif
Pengguna Google,2024-12-08 14:16:16,susah banget lo gin nya ya,negatif,negatif
Pengguna Google,2024-12-08 05:20:47,hallo jobstreet aplikasi buka ya,positif,negatif
Pengguna Google,2024-12-07 22:03:28,cepat akurat,positif,positif
Pengguna Google,2024-12-07 15:18:29,kali pakai aplikasi lamar kerja data aman kali nomor chat orang kenal tawar luar apply aplikasi serius aplikasi gak jaga rahasia data sampe no telp sebar chat isi pesan database jobstreet tolong baik ya udah gin risih chat,negatif,negatif
Pengguna Google,2024-12-07 13:44:32,aplikasi error ya ko klik habis log in g bsa,negatif,negatif
Pengguna Google,2024-12-07 13:30:48,gk apk susah login mending bubar aja apknya,negatif,negatif
Pengguna Google,2024-12-07 09:57:08,nomor telpon bocor kmn kali disalahgunakan tipu yg chat via wa,negatif,negatif
Pengguna Google,2024-12-06 20:52:39,ahh mkins bapet gak login ulang,negatif,negatif
Pengguna Google,2024-12-06 19:25:12,terang jaman yahoo 2000 ngojek pangggil jobstreet ya bodoh kali ya sekrang sy umur tua alam mohon maaf pa jobstreet,positif,positif
Pengguna Google,2024-12-06 19:20:40,koq nggk log in ya loadingnya mutar nggk selesai selesai,negatif,negatif
Pengguna Google,2024-12-06 18:59:43,done,positif,positif
Pengguna Google,2024-12-06 14:56:54,kirim lamar kerja tolong baik,negatif,negatif
Pengguna Google,2024-12-06 13:59:18,cepat bantu,positif,positif
Pengguna Google,2024-12-06 09:55:08,apknya logout login ngga loading baca review problem tolong baik,negatif,negatif
Pengguna Google,2024-12-06 07:33:26,good,positif,positif
Pengguna Google,2024-12-05 23:30:01,good,positif,positif
Pengguna Google,2024-12-05 20:18:59,bantu,positif,positif
Pengguna Google,2024-12-05 17:59:27,uda akun tp ttep ga bs dipake gimana si pdhl uda d baru baru jd brekele pas blm d baru okeoke aja,negatif,negatif
Pengguna Google,2024-12-05 16:49:50,aplikasi jelak bagus bukti kerja plis download nyesa,negatif,positif
Pengguna Google,2024-12-05 13:50:55,aplikasi tiba2 login nggk,positif,negatif
Pengguna Google,2024-12-05 11:37:57,scam susah cari kerja lulus slta,negatif,negatif
Pengguna Google,2024-12-05 11:04:18,nonton videokatanya sertifikat gratiskok gak ya sertifikat,negatif,negatif
Pengguna Google,2024-12-05 10:31:04,gak log in,negatif,negatif
Pengguna Google,2024-12-05 09:35:42,udah login pas continue ga yahhh,positif,negatif
Pengguna Google,2024-12-05 08:50:47,bantu mudah cari info lowong,positif,positif
Pengguna Google,2024-12-05 04:59:14,update mudah susah login gak sih tolong baik lg sistem,negatif,negatif
Pengguna Google,2024-12-04 22:57:54,done,positif,positif
Pengguna Google,2024-12-04 17:05:09,min ngga masuk ya email pw betultapi tampil nya tulis temu kerja mu ad tombol button nyadiklik ngga masuk udh ad 10 menit tunggu ngga kendala min kasih 2 bintang,negatif,negatif
Pengguna Google,2024-12-04 12:40:38,ok,positif,positif
Pengguna Google,2024-12-04 11:41:33,payah jobstreet usaha bodong masuk,negatif,negatif
Pengguna Google,2024-12-04 09:17:24,bagus,positif,positif
Pengguna Google,2024-12-04 08:48:56,log out log in,negatif,negatif
Pengguna Google,2024-12-04 02:59:19,gak masuk akun,negatif,negatif
Pengguna Google,2024-12-03 18:48:12,udah akun ga logout akun masuk pakai idpw stak pakai akun google stak loading tolong gimana pt jobstreet tanggap nya,negatif,negatif
Pengguna Google,2024-12-03 18:26:50,gk login,negatif,negatif
Pengguna Google,2024-12-03 13:41:56,tolong baik udah akun tbtb aku login lgi gk,negatif,negatif
Pengguna Google,2024-12-03 12:58:34,done,positif,positif
Pengguna Google,2024-12-03 12:43:23,info up date cepat respon nya,positif,positif
Pengguna Google,2024-12-03 12:40:23,hi sayang login coba web tolong bantu terimakasih,positif,positif
Pengguna Google,2024-12-03 12:30:50,jaring muterterus masuk aplikasi gak aplikasi gak,negatif,negatif
Pengguna Google,2024-12-03 06:22:15,mantabss mdh2an cepat kerja,positif,positif
Pengguna Google,2024-12-02 23:41:33,very inspiring and very helpful thank you very much,positif,positif
Pengguna Google,2024-12-02 21:21:13,mantap bantu,positif,positif
Pengguna Google,2024-12-02 17:56:41,taun jebot ampe dapet kerja jobstpreeeet banyak loker fiktif yg ujung2nya tipu,positif,negatif
Pengguna Google,2024-12-02 15:17:27,login kirim email respon nya,negatif,negatif
Pengguna Google,2024-12-02 13:09:27,bagus login seek gak temu kerja tekan gak masuk,negatif,negatif
Pengguna Google,2024-12-02 11:27:05,ga masuk akun ya udh coba berkali2 password jg udh bener,negatif,negatif
Pengguna Google,2024-12-02 09:54:51,tiba2 pas masuk apply langsung suruh log in ulang pas log in data hilang email suruh email akun tolong baik pusing lamar niat nya apply bikin ribet,negatif,negatif
Pengguna Google,2024-12-02 09:53:10,lowong palsukalau emang lowongaannya pt nomer tlp nyagak jelass ni aplikasi,negatif,negatif
Pengguna Google,2024-12-02 09:20:51,ok,positif,positif
Pengguna Google,2024-12-02 00:57:00,tolong baik login ulang akun login ga lanjut,positif,negatif
Pengguna Google,2024-12-01 15:54:08,kirim lamar apa aja tandatanda panggil,positif,negatif
Pengguna Google,2024-12-01 14:21:36,susah login tampil ubah web aman data jamin,negatif,negatif
Pengguna Google,2024-12-01 08:17:52,aplikasi ngebug pakai login,negatif,negatif
Pengguna Google,2024-12-01 01:25:28,applikasi oke lot banget unggah cv aja ngga bisa2 buttonnya,negatif,negatif
Pengguna Google,2024-11-30 18:55:32,gajelas gabisa login daftar jg gbsa,negatif,negatif
Pengguna Google,2024-11-30 13:03:36,good,positif,positif
Pengguna Google,2024-11-30 08:15:55,cepat update,positif,positif
Pengguna Google,2024-11-30 05:41:05,login dicheck it udah komplain baik apaapa,negatif,negatif
Pengguna Google,2024-11-29 15:58:05,ya filter tgl 29nov filter utk bogor satu daerah bogor model machine learningnya keliru bgmn ya,negatif,negatif
Pengguna Google,2024-11-29 11:06:20,aplikasi log in hnya selanjutnyatapi pas klik ngk bisa2,negatif,negatif
Pengguna Google,2024-11-29 09:51:10,login sy,negatif,negatif
Pengguna Google,2024-11-29 09:05:45,apk gak rekomended mending glints linkedin,negatif,negatif
Pengguna Google,2024-11-29 04:46:18,aplikasi jelek yadiupdate buka bagustp nambah susahin penggunaudah komplain csnya udah lakuintapi utuh digunakandiklik bom bisadan update apk utuh bisaudah komplain,negatif,negatif
Pengguna Google,2024-11-28 18:29:35,knapa sy login kaga bisa2 klik gbs2,negatif,negatif
Pengguna Google,2024-11-28 13:10:50,akses blokir minta seek tdk patuh kebijalan google bulan gk masuk gmn nih masuk pake akun goole gk pake fb gk rusak aja nih aplikasi,negatif,negatif
Pengguna Google,2024-11-28 12:36:19,aplikasi gak guna notif doang lamar gak respon,negatif,negatif
Pengguna Google,2024-11-28 10:11:03,gatau kayak gapernah download aplikasi kemarin nawarin job freelance ubung wakatanya dpt nomer database dsini whatsapp kaya tipu masuk akal,negatif,negatif
Pengguna Google,2024-11-28 10:06:50,login aplikasi arah websitenya,negatif,negatif
Pengguna Google,2024-11-28 07:28:48,aplikasi ga loker bodong ga masuk aka masal kerja suruh bayar,negatif,negatif
Pengguna Google,2024-11-27 12:22:33,gak login email pasword dah,negatif,negatif
Pengguna Google,2024-11-27 10:41:25,login akun sandi login,negatif,negatif
Pengguna Google,2024-11-27 10:37:47,puas,positif,positif
Pengguna Google,2024-11-27 09:57:51,login issue bad app,negatif,negatif
Pengguna Google,2024-11-27 08:26:48,tdk log in pakai google log in manual jg ga bisaaa,negatif,negatif
Pengguna Google,2024-11-26 14:02:24,bagus,positif,positif
Pengguna Google,2024-11-26 12:37:17,aplikasi guna login,negatif,negatif
Pengguna Google,2024-11-26 09:51:26,gak login sdh pakai 3 akun why,negatif,negatif
Pengguna Google,2024-11-26 08:53:27,ga login aneh,negatif,negatif
Pengguna Google,2024-11-26 07:14:02,kali instal 2022 bilang daftar loker panggil gimana jobstreet,negatif,negatif
Pengguna Google,2024-11-26 00:28:02,after update problem sign inomg,negatif,negatif
Pengguna Google,2024-11-25 14:38:32,log out sndiri log in susah masuk kirim email gak meyelesaikan,negatif,negatif
Pengguna Google,2024-11-25 12:57:07,udah cari kerja gak dapet mulu akun jobstreet log out log in error udah tau susah banget dapet kerja sulit ampun dah,negatif,negatif
Pengguna Google,2024-11-25 11:13:30,gmna aplikasi ha udh dowlod ngk bs buka,negatif,negatif
Pengguna Google,2024-11-25 07:23:48,good jobs sanga bantu cari kerja recommended,positif,positif
Pengguna Google,2024-11-25 06:04:26,masuk akun,negatif,negatif
Pengguna Google,2024-11-24 22:16:12,daftar akun ga 3 jam coba ga,negatif,negatif
Pengguna Google,2024-11-24 13:25:53,jobstreet nya problem ya nya login susah gimana ya cari kerja,positif,negatif
Pengguna Google,2024-11-24 12:00:21,electrician,positif,positif
Pengguna Google,2024-11-24 01:48:31,nice,positif,positif
Pengguna Google,2024-11-23 22:15:56,login klik tombol ga respon aplikasi login pakai akun google loading ga masuk2,negatif,negatif
Pengguna Google,2024-11-23 14:08:15,aplikasi hp tau2 logout gk login udh uninstall install ulang aja,negatif,negatif
Pengguna Google,2024-11-23 10:59:42,moga kerja mudah ya allah aamiin moga hoax biaya bawa kabur uang,positif,positif
Pengguna Google,2024-11-23 10:36:32,oke,positif,positif
Pengguna Google,2024-11-23 09:29:19,sy tbtb logout hp login lg ga loading udah direset password jg ga masuk,negatif,negatif
Pengguna Google,2024-11-23 07:14:45,tiba2 akun log out pas login ga,negatif,negatif
Pengguna Google,2024-11-22 22:35:37,aplikasi ga buka parah,negatif,negatif
Pengguna Google,2024-11-22 17:21:01,heran deh ngelamar lokernya slalu kadaluarsa loker aja dipost loh gk 1 2 loker loker yg lamar,negatif,negatif
Pengguna Google,2024-11-22 13:21:53,akun,negatif,negatif
Pengguna Google,2024-11-22 12:49:26,informasi lokernya manfaat,positif,positif
Pengguna Google,2024-11-21 20:53:01,udah gak signal bagus gak login aplikasi bangkrut,negatif,negatif
Pengguna Google,2024-11-21 19:59:22,nipu wa mengatasnama jobstreet pas chat nya blok suka spam chat kasarin ga senang ancam meyebarkan nomor hp,negatif,negatif
Pengguna Google,2024-11-21 16:08:55,ya gk bsa masuk kluar kluar apklikasi gilir masuk ngk bsa,negatif,negatif
Pengguna Google,2024-11-21 13:59:02,jb aneh ya tampil nya ga simple,positif,negatif
Pengguna Google,2024-11-21 13:40:46,udah 3 login ga bisa2 sih tolong min bantu baik sistem,negatif,negatif
Pengguna Google,2024-11-21 11:03:04,tolong donk baik login logout login gak tulis kendala,negatif,negatif
Pengguna Google,2024-11-21 09:44:26,woi tolong cari lowong kerja kantor tempat batam lowong kerja kantor kecuali accounting purchasing gak tolong cari alam sallarynya digit kalao gak lapor atas salah instansi pemerintahgak pokok titik gak pakai koma,negatif,negatif
Pengguna Google,2024-11-21 09:23:45,bantu,positif,positif
Pengguna Google,2024-11-21 06:13:38,maksud gimana gak akses beli seek tekan gak bisaa,negatif,negatif
Pengguna Google,2024-11-21 04:25:20,tibatiba ga masuk,negatif,negatif
Pengguna Google,2024-11-20 21:13:36,dasar nih aplikasi aplikasi jobstreet sih pas login masukkin email password trs klik gak masuk akun udah klik gak masuk akun ya tolong solusi cari loker email cs nya kali kali gak balas tolong balas email kasih solusi,negatif,negatif
Pengguna Google,2024-11-20 19:10:57,aplikasi gila udah apply 200 yg nyangkut yg nyangkut usaha ga yg ujung2nya duit,negatif,negatif
Pengguna Google,2024-11-20 14:03:39,info lowong udah harap indonesia,negatif,negatif
Pengguna Google,2024-11-20 13:52:34,aplikasi gak login kali minta nya,negatif,negatif
Pengguna Google,2024-11-20 13:01:50,aplikasi masuk stuck freeze akun gak,negatif,negatif
Pengguna Google,2024-11-20 12:41:23,apa cobak tiba2 akun ku pas login bisaaa,negatif,negatif
Pengguna Google,2024-11-20 10:40:45,jobstreet login hp masuk password berkalikali buka,negatif,negatif
Pengguna Google,2024-11-20 09:25:06,jobstreet ya 2 gabisa login apknya sinyal bagus bisa login web yaaa,negatif,negatif
Pengguna Google,2024-11-19 18:17:54,logout gak login lg loading nya,negatif,negatif
Pengguna Google,2024-11-19 11:59:02,lowong kerja ken fitur profil usaha deskripsi usaha lowong kerja buka usaha temu fitur jobstreet temu fitur kitalulus tolong buat fitur biar nyaman aplikasi jobstreet terimakasih,negatif,positif
Pengguna Google,2024-11-19 10:29:45,jobstreet sll bantu sya dn mudah cari informasi kerja smga lancar,positif,positif
Pengguna Google,2024-11-19 09:54:18,kerja gak udah 6 pake jobstreet gak kerja,negatif,negatif
Pengguna Google,2024-11-19 02:42:34,sya kali kali kerja aplikasi terimakasih jobstreet moga buat aplikasi umur rezeki limpah amin,positif,positif
Pengguna Google,2024-11-19 00:16:43,udah gak kaya jobstreet penting uang salur loker panggil interview yayasan bodong yg suruh bayar embel ga yg ujung nya nipu,negatif,negatif
Pengguna Google,2024-11-18 22:29:40,gak,negatif,negatif
Pengguna Google,2024-11-18 21:37:58,makasii jobstreet udah wujudin dapet kerja yg sesuai,positif,positif
Pengguna Google,2024-11-18 21:19:10,aplikasi ga login tolong baik,negatif,negatif
Pengguna Google,2024-11-18 19:45:12,masuk akun login seek masukdan pencet tolong benah,negatif,negatif
Pengguna Google,2024-11-18 18:31:09,bgus,positif,positif
Pengguna Google,2024-11-18 09:24:26,oke,positif,positif
Pengguna Google,2024-11-18 08:16:22,gak login login akun,positif,negatif
Pengguna Google,2024-11-17 19:47:16,g install,negatif,negatif
Pengguna Google,2024-11-17 12:57:02,notifikasi lamarab tutup kadaluwarsa sakit hati tambah sampah simpan email,negatif,negatif
Pengguna Google,2024-11-17 10:31:45,aplikasi gak gak login tolol,negatif,negatif
Pengguna Google,2024-11-17 06:00:35,aplikasi nya bagustapi sayang lamar ga panggil kerja mya,positif,positif
Pengguna Google,2024-11-17 00:36:40,inklusif,positif,positif
Pengguna Google,2024-11-16 19:46:47,terima info,positif,positif
Pengguna Google,2024-11-16 15:51:26,loker palsu fitur iklan anonim loker bodong aneh usaha verifikasi usaha bodong cek bagai sumber internet temu informasi usaha aplikasi jobstreet verifikasi selang lamar usaha wa terima tawar loker pasti bodong,negatif,negatif
Pengguna Google,2024-11-15 22:28:52,aplikasiy gak udah daftar login gak masuk udah klik tetep aja gak masuk2 tolong baik,negatif,negatif
Pengguna Google,2024-11-15 13:11:57,susah daftar nya gajelas nge stuck sig in masuk akun google pokok gjls nih aplikasi apk gjls cokkkk,negatif,negatif
Pengguna Google,2024-11-15 12:30:01,ratus loker lamar blum panggilperlu tinjau sistem aplikasi,negatif,negatif
Pengguna Google,2024-11-15 10:47:08,kaga gunaisinya nipu smuagsh download,negatif,negatif
Pengguna Google,2024-11-15 08:33:46,yg tipu panggil dirukoterus dimintain uang,negatif,negatif
Pengguna Google,2024-11-15 08:15:16,daftar jobstreet susah,negatif,negatif
Pengguna Google,2024-11-14 19:29:53,uda tahun panggil jobstreet,negatif,negatif
Pengguna Google,2024-11-14 09:30:22,bagus banget skrng aplikasi,positif,positif
Pengguna Google,2024-11-13 16:36:45,gabisa jalan,negatif,negatif
Pengguna Google,2024-11-13 13:03:32,aplikasi error buka,positif,negatif
Pengguna Google,2024-11-13 10:20:01,baik,positif,positif
Pengguna Google,2024-11-12 21:18:43,kali sign in gk aplikasi,negatif,negatif
Pengguna Google,2024-11-12 11:39:34,mantap bidang kerja lengkap bangeut manfaat cari kerja pungut biyaya,positif,positif
Pengguna Google,2024-11-12 11:12:14,keren tampil sebenernya aplikasi udah lumayan lengkap cuman kadang yg paham guna nya ajaresume masuk direview udh notifnya lgsg email moga take responsibility company nya fast respon,positif,positif
Pengguna Google,2024-11-12 07:06:17,hasil cari sesuai cari cari keluar loker palsu jg,negatif,positif
Pengguna Google,2024-11-11 10:06:11,log in hasil gabisa beranda pencet continue gabisa gilir back suruh log in,negatif,negatif
Pengguna Google,2024-11-11 05:09:59,nice,positif,positif
Pengguna Google,2024-11-10 19:31:31,good,positif,positif
Pengguna Google,2024-11-10 13:10:58,minimal perbaikin server nya upload 2mb aja sampe 5 jam ga kelar kelar,negatif,negatif
Pengguna Google,2024-11-09 17:00:13,susah masuk,negatif,negatif
Pengguna Google,2024-11-09 10:08:56,loker palsu,negatif,negatif
Pengguna Google,2024-11-08 19:06:37,good job,positif,positif
Pengguna Google,2024-11-08 18:54:22,manfaat,positif,positif
Pengguna Google,2024-11-08 18:54:19,apk andal,positif,positif
Pengguna Google,2024-11-08 15:55:53,unggah resume default ya file sesuai,negatif,negatif
Pengguna Google,2024-11-08 15:38:16,aplikasi gk real ku udh 1 thn cari lamar gk tanggap haduhh,negatif,negatif
Pengguna Google,2024-11-08 09:10:58,aplikasi login masuk email sandi ngefrezze notif tampil lmaran kerja sesuai profil,negatif,negatif
Pengguna Google,2024-11-07 17:57:39,gampang percaya dapet loker apk nipu tolong developer filter info lowong kerja nya,negatif,negatif
Pengguna Google,2024-11-07 10:47:04,maaf nih aplikasi kasih kerja bener kerja tipu masukin aplikasikita tuh kerja cari uang mintain uangnih nama bikinin loker fnbapplyhikarusushi skrng banget lamar tebet mintain duit 1jttolong kasihan orang udh ngasih duit ga langsung kerja ttd kontraktolong apk jobstreet loker penipuanterimakasih,negatif,negatif
Pengguna Google,2024-11-07 08:15:02,gak respon kalo apply,negatif,negatif
Pengguna Google,2024-11-07 07:42:09,lokernya gk respone,negatif,negatif
Pengguna Google,2024-11-07 05:55:17,pas kirim lamar maaf lamar karna atur negara udah gw atur mohon respons,positif,negatif
Pengguna Google,2024-11-06 22:31:35,udah kali kali coba login kaga,negatif,negatif
Pengguna Google,2024-11-06 20:44:30,bantu kerja,positif,positif
Pengguna Google,2024-11-06 13:18:03,sy sdh kirim lamar aplikasi sampe gak info gagal nya yg panggil palsu ruko ruko pt langsung aplikasi,negatif,negatif
Pengguna Google,2024-11-05 12:55:53,aplikasi cari kerja aplikasi cari uang yg tipu orang yg butuh kerja,negatif,positif
Pengguna Google,2024-11-05 12:17:16,diupdate log in akun stuck,negatif,negatif
Pengguna Google,2024-11-05 11:58:56,tipu najisss sedia aplikasi ga filter usaha benerpenipuan isi najissss,negatif,negatif
Pengguna Google,2024-11-05 09:48:31,tuhan kerja aplikasi inithx,positif,positif
Pengguna Google,2024-11-05 09:30:37,mantap caur,positif,positif
Pengguna Google,2024-11-05 08:39:34,stelah update gabisa log in by aplikasi langsung browser browser udah masuk aplikasi ga masuk,negatif,negatif
Pengguna Google,2024-11-05 06:07:14,kocak bener isi nya mafia dapet chat wa nama pt yg lamar untung searching2 chromemedsosternyata alamatny bodong smua,negatif,negatif
Pengguna Google,2024-11-04 22:23:18,login,negatif,negatif
Pengguna Google,2024-11-04 21:21:20,alam pakai apliaksi jobstreet bnyak lamar gagal boro2 liat hr info slalu tutup kawan2 jgn pakai aplikasi job steet ngga,negatif,negatif
Pengguna Google,2024-11-04 16:18:03,gk login ya pakai akun google fb daftar login,negatif,negatif
Pengguna Google,2024-11-04 13:35:49,terima kasih jobstreet,positif,positif
Pengguna Google,2024-11-04 13:16:10,aplikasi sampah tipu lowong kerja dasar apk sampah,negatif,negatif
Pengguna Google,2024-11-04 06:32:42,gimana jobstreetlowongan kedaluarsa pasang ajatolong bener klo pasang iklan lowong pekerjaanbukan lowong hoax lamar kerja yg lamarrata2 lowong sdh kedaluwarsasebagai cari kerja rua terang kecewa iklan lowong rekomendasi kerja palsu,negatif,negatif
Pengguna Google,2024-11-03 09:26:57,cari lokasi tangerang muncul jakarta hahaha lucu,negatif,negatif
Pengguna Google,2024-11-02 18:28:40,kalo sma ga ya,positif,negatif
Pengguna Google,2024-11-02 11:40:32,bantu cari kerja,positif,positif
Pengguna Google,2024-11-02 07:56:15,moga kerja,positif,positif
Pengguna Google,2024-11-01 19:36:35,update logout gak login,negatif,negatif
Pengguna Google,2024-11-01 19:30:16,terimakasih aplikasi jobstreet guna cari lowong kerja,positif,positif
Pengguna Google,2024-11-01 12:16:23,tolong diperbaikin lowong kerja banyak tipu korban nama pt uang,negatif,negatif
Pengguna Google,2024-10-31 19:14:20,jobstreet komplot tipu pencaker terima perecruitan anonim usaha yg verifikasi hatihati jobstreet ter afiliasi langsung tindak syarat yg perecruit nunggu dikit2 suruh laportapi tindak karna jobsreet,negatif,negatif
Pengguna Google,2024-10-31 14:01:42,tolong baik nulis alam kalo wiraswasta tulis nama usaha pribadi lisensi kalo nulis mini bootcamp upload bukti sertifikat lisensi,positif,positif
Pengguna Google,2024-10-31 11:46:57,ok,positif,positif
Pengguna Google,2024-10-30 22:06:00,jobstreet aplikasi baik teman titi rintis karir kurang hormat terima kasih sebesarbesarnya jobstreet is the best application,positif,positif
Pengguna Google,2024-10-30 17:34:34,apk tipu ga jamin,negatif,negatif
Pengguna Google,2024-10-30 07:17:16,alam bidang purniture perna sopasepringbedminimalis sales marketing,positif,positif
Pengguna Google,2024-10-30 00:24:45,saran tolong tambah opsi filter rentang alam,positif,positif
Pengguna Google,2024-10-29 23:37:33,ok,positif,positif
Pengguna Google,2024-10-29 20:28:07,aplikasi susah dipake,negatif,negatif
Pengguna Google,2024-10-29 15:07:13,tolong info yg akurat percaya informasi lowong kerja supir usaha pekanbaru riau terima kasih info yg moga manfaat sukses,positif,positif
Pengguna Google,2024-10-29 14:40:51,rekomendasi,positif,positif
Pengguna Google,2024-10-29 14:14:51,aplikasi cari kerja kualitas busuk lamar 2 pakai aplikasi satu yg panggil proses wawancara ngabisin kuota habisin scrol isi formulir lowker,negatif,negatif
Pengguna Google,2024-10-29 10:12:16,developer mohon baik apk nya usaha login pasuk email klik aplikasi gak,negatif,negatif
Pengguna Google,2024-10-29 07:09:21,the best,positif,positif
Pengguna Google,2024-10-28 17:28:38,good,positif,positif
Pengguna Google,2024-10-28 12:06:57,install ni aplikasi engga bantu banget mending lu cr web official usaha nya aja ni app database lu bocor kena spam wa dr orang nawarin kerja online yg gk tolong developer nya database lamar bocor kecewa,negatif,negatif
Pengguna Google,2024-10-28 11:35:11,sulit login akun username password tpi tdk login mohon evaluasi,negatif,negatif
Pengguna Google,2024-10-28 10:07:30,bantu,positif,positif
Pengguna Google,2024-10-27 12:32:48,baca ya developer jobstreet apk logout tiba2 udh coba login facebook lwt chrome laptop chrome android login gak login facebook apk nya udh klik lanjut dewa gede muncul maaf salah baik aplikasi bikin akun pake email,negatif,negatif
Pengguna Google,2024-10-26 17:06:45,tolol sign in diarahin web,negatif,negatif
Pengguna Google,2024-10-26 13:42:24,loker palsu sistem verikasi jobstreet tipu developer andal sistem report razia loker palsu,negatif,negatif
Pengguna Google,2024-10-25 22:11:54,gara apk gw tipu,negatif,negatif
Pengguna Google,2024-10-25 17:49:15,moga ponakan kerja,positif,positif
Pengguna Google,2024-10-24 17:25:49,lowong kerja palsu tulis benefit masuk akal interview rata2 banyak ruko kasi fresh graduate awam tolong ketat aplikasi,negatif,negatif
Pengguna Google,2024-10-24 12:49:36,good,positif,positif
Pengguna Google,2024-10-24 10:42:43,isi profil sulit lulus,negatif,negatif
Pengguna Google,2024-10-24 07:50:06,terimakasih aplikasinyateknik tani padi hasil memuaskanuntuk rakyat tani padiharap dipercepataku yg teknik itusiap ajar teknik singkatbiarpun anggar yg yg kaliharap dierbandinggkandengan hasilnya2252500sampai2757500investasi uang uang,positif,positif
Pengguna Google,2024-10-23 21:42:20,lamar kerja jobstreet ga jelas terima tidak minggu tunggu informasi lanjut,negatif,negatif
Pengguna Google,2024-10-23 13:14:15,pakai apk lamar kerja panggil,negatif,negatif
Pengguna Google,2024-10-23 09:05:10,apply nya gampang tolong filter lowong tipu palsu dll kasi cari kerja,positif,negatif
Pengguna Google,2024-10-23 08:59:25,masukin lamar 53 usaha satu blom yg panggil jgn2 fiktif smua,negatif,negatif
Pengguna Google,2024-10-23 08:06:15,bantu juang cari kerjaterimakasih jobstreet,positif,positif
Pengguna Google,2024-10-22 09:14:46,ok skrg min terima kasih,positif,positif
Pengguna Google,2024-10-21 18:32:35,masuk d jobstreet express pas ngisi alamat muter gimana ngelamar jobstreet ga,negatif,negatif
Pengguna Google,2024-10-21 16:52:39,bantu,positif,positif
Pengguna Google,2024-10-21 09:00:06,loker bodong hatiterus cari suka gak relevan yg ketik,negatif,negatif
Pengguna Google,2024-10-21 06:40:01,loker fiktif anonim tipu kasi lamar perhati selektif nyaring lowong kerja,negatif,negatif
Pengguna Google,2024-10-20 22:42:11,ok,positif,positif
Pengguna Google,2024-10-20 17:35:52,gila aplikasi gak susah dapet hasil positif apply lamar sekali dapet lokasi ruko usaha kait,negatif,negatif
