Label,text_tokens_stemmed,Label NB
positif,good,positif
positif,moga kerja,positif
negatif,kecewa lowong sedia orang milik tamat sarjana diploma tamat smk kali sulit cari loker sk isi minimal s1 tamat smasmk layak usaha moga aplikasi sikap buka kalang sarjana,negatif
positif,bantu,positif
positif,jobstreet bantu cari informasi lowong kerja,positif
positif,bantu,positif
positif,ok,positif
positif,guna meembantu cari job mohon tingkat,positif
positif,jobstreet bantu cari kerja sesuai jurus wilayah kerja asah karir,positif
positif,bantu cari kerja,positif
positif,nun,positif
positif,aplikasi jobstreet bantu kerja sesuai latar didik alam kerja milik,positif
positif,terimakasihsangat bantu,positif
positif,good,positif
positif,cari kerja murni,positif
negatif,tipu ngabisin ngisi panggil kagak,negatif
negatif,ratus kali lamar loker satu panggil kerja penuh syarat usaha butuh kerja,negatif
negatif,serius bete banget udah nyoba login kali tetep aja gabisa pake email gabisa pake google gabisa aneh,negatif
negatif,tolong fokus loker nama kotaaaa,negatif
negatif,jelek,negatif
negatif,apk sampah asw udh g buka apk tiba2 logout trus login lg g 5 kali g bisa2 developer payah,negatif
positif,mantap,positif
negatif,kecewa ga dapet kerja panggil aplikasi,negatif
negatif,bahasa inggris ga ngerti setel bahasa indonesia,negatif
negatif,asu,negatif
negatif,maaf tipu nomor sebar,negatif
negatif,tolong developer usaha wajib isi salarygaji usaha biar cari kerja cocok gaji usaha buka lowong wajib isi salary benefitnya hrd,negatif
negatif,wkwk aplikasi zoonk nya panggil interview kerja pt rusa loker wa email 8x tanggepi karna buka alamat goggle map nya isi 2 ubah beda usaha recomend bnget aplikasi terimakasih,negatif
negatif,jngn download buang wktu bnyk loker yg udh kadaluarsa msih d posting,negatif
positif,the best platform for job search and companies looking for workers,positif
negatif,hapus aja aplikasi nya orang kasihan interview kena tipu kerja bayar nyampek juta,negatif
negatif,update mulu loker hoax,negatif
positif,didik alam kerja sesuai ekspektasi lamar apply 1 2 jam diposting notif lamar sdh kirim usaha selang 1 2 minggu muncul notif lamar tutup cv diupdate ahli usaha memposting loker usaha yg syarat usia perhati usia tq,negatif
negatif,cari lokasi tentu keluar lokasi lowong tipu,negatif
negatif,loker jobstreet hoax udh naro lamar pt lamar kadaluarsa terima lamar lagipadahal tanggal pas buka nya loker pt tersebutbaru lamarbeberapa minggu terang nya terima lamar,negatif
positif,temu passion karir alam didik,positif
positif,bagus cari lowong kerja,positif
positif,manfaat aplikasi jobstreet manfaat cari kerja,positif
positif,moga aplikasi aktif maju kerja pindah 3 panggil kerja apk initerimakasih jobstreet,positif
positif,syukur terima kasih jobstreet mudah cari kerja,positif
negatif,tolong loker hoax mulu banyak,negatif
positif,gak admin jobstreet ngiklanin lowong kerja tolong serta nama usaha nya nama iklan anonimous kesan curiga takut tau usaha ngasih iklan lowong aja jobstreet depan nama usaha iklan biar gak kena tipu oknum pt gadungan thanks,negatif
positif,terimakasih jobstreetkarena jobstreet beban ortu,positif
positif,bantu informasi sy blm job sesuai spek yg milik,positif
negatif,tipu,negatif
negatif,tolong lapor tindak lanjut modus usaha pt visi cipta media cari kerja account executive freelance curi data client cari diam2 usaha tsb hubung proyek tahu modus rugi cari kerja jobstreet pakai buang gaji bulan komisi,negatif
positif,bagus cari tenaga kerja,positif
negatif,loker hoax,negatif
negatif,aply usaha satu direspon direspon itu usaha bodong indonesiacemas2024,negatif
positif,ok,positif
negatif,tolong ketat aman nya pt tipu masuk jobstreet iming admin seragam dll 17jt nama pt focus global logistik alamat nya jl raya bekas no36 rt10rw1 ujung menteng kec cakung kota jakarta timur daerah khusus ibukota jakarta 13960 awas tipu,negatif
negatif,banyak yg panggil usah yg ga jls interview nyah d ruko ruko,negatif
positif,bantu cari loker,positif
positif,respon admin cepat aplikasi masalah terimakasih,positif
negatif,heran puluh kali lamar via jobstreet gak satu telpon yg nyangkut lamar sesuai kualifikasi gak aneh aneh aplikasi kali langsung panggil aneh aplikasi,negatif
negatif,hati lowong palsu alias tipu usaha yg bodong hati data,negatif
positif,aplikasi keren usaha mudah kirim lamar sayang satu usaha kontak sayajadi kasih bintang krena,positif
negatif,jobstreet banget usaha bodongpenipuan cantum usaha anonim undang interview cek alamat google kantor kantor tipu mohon sortir masyarakat cari kerja tipu,negatif
negatif,aplikasi manfaat,positif
positif,aplikasi anjng nyebarin data sembarang masuk wa dr nomor2 gk dpt data dr sengaja kasi bintang 5 biar baca ama developer anjng,negatif
negatif,oknum yg manfaat aplikasi jobstreet penting pribadi panggil interview tp uang 17 jt,negatif
positif,good,positif
negatif,usaha bodong,negatif
positif,kali kali kerja aplikasi sesuai salary harap lulus s1 kuliah s2 kursus bahasa asing kursus pajak kursus akuntansi kursus networking kursus komputer butuh usaha terimakasih jobstreetsukses moga jaya jobstreet,positif
positif,bantu relevan terima kasih,positif
positif,bantu,positif
negatif,lokernya sih emang ratus lamar yg udh sya apply ga yg respon dri hrd nya sya coba dri apk sya panggil skrg sya apk sungguh cari kerja cari downloader apk,negatif
positif,bagus,positif
negatif,ga buka aplikasi,negatif
negatif,loker tipu mengatasnamakan usaha seleksi ketat hai jobstreet panggil ujung2nya tes ruko,negatif
negatif,not a al qaeda,negatif
negatif,no koment aza dech,negatif
negatif,honestly at first i was excited about this application but unfortunately after many times we actually get scammers from people who claim to be companies looking for workers i think this application is very unsafe it does not protect the user its so easy for fraudsters to impersonate labor recruitment companies and manipulate prospective employees,positif
positif,apk bagus manfaat cari kerja,positif
negatif,ngasih bintang 1 bocor nomor whatsapp nmr dikenalpenipu tipu kedok loker d egan iming2 gaji ga masuk akal,negatif
negatif,guna jobstreet th 2019 panggil jarang banget panggil interview banyak usaha tipu tawar kerja like sosmed artis gitu dah,negatif
positif,tolong tambah filter pengalama kerja,positif
positif,bagus panggil ya udh lamar usaha tambah masuk kualifikasi usaha yg dapet email lowong tutup,negatif
positif,bantu,positif
positif,5 thn driver,positif
negatif,gara gara aplikasi inidata pribadinomr hp sebar bnyk bnget usah bodong yg masuk,negatif
negatif,aplikasi tipu,negatif
negatif,banyak calo mintain duit pas dateng interview duit 10k,negatif
positif,nice,positif
positif,usaha bodong panggil interview daerah jakarta raya 3 usaha beda 1 lokasi aneh blum pure resmi dri usaha dapet panggil,negatif
positif,inovatif,positif
negatif,salam luckin news,positif
positif,bantu cari peluang2 kerja,positif
positif,tolong buat filter halaman applied viaa urut status yg terupdate trims klo bintang 5 hehe,positif
positif,mantap pp,positif
positif,bantu mantap,positif
negatif,iklan anonim blok banyak nipu kelas jobstreet menginklankan usaha yg kantor pt nya gak kasihyg korban coba selektif lg terima info loker yg sebar masukin info loker yg gak,negatif
negatif,periksa pt nyaa daftar panggil interview via wa isi nyaa pt bodong dateng suruh bayar kerjaa interview nyaa ruko periksa dahh pt rekrut kerja tiktok bangak keluh panggil interview jobstreet aplikasi harap cari kerja lohh gitu ajaa sihh,negatif
negatif,tolong perhati lagibanyak usaha tipu cari nama pt nya alamat nya google bikin website salah orang pt alamat penipuanbiar kena korban tipu usaha,negatif
positif,jobstreet for jobless,positif
positif,mantap jobstreet moga bantu cari kerja usaha moga lancar cari kerja jobstreet amin,positif
positif,bagus,positif
negatif,pt pt padu tidur cok gapernah liat lamar,negatif
positif,good,positif
positif,terima kasih hubung cari kerja beri kerja,positif
negatif,aplikasi nipu,negatif
negatif,tolong spam loker email kalo ujung lowong tutup gimmick doang pt kalo loker udah kandidat ordal post loker kasi ngarepin loker,negatif
negatif,akun tibatiba blokir masuk aplikasi website halhal aneh anya cari loker tolong baik,negatif
positif,aplikasi patut coba manfaat,positif
negatif,banyak upgret jelek sortir ga fungsi sotir daerah bekas jakarta bogor muncul usaha anonim block aja usaha nipu,negatif
negatif,ah useless jobstreet skrg loker tipu tipu informasi lowong kerja campur campur mending linked in,negatif
negatif,gx tau interview usaha real usaha bodong,negatif
negatif,muak aplikasi bantu isi calo yg bikin loker ajar kaya gitu ko gabisa saring apk nya,negatif
negatif,loker tutup kalah warung madura 24jam payah kalo emg galolos udh dapet kandidat langsung update,negatif
positif,bagus,positif
negatif,panggil interview keduayayasan usaha langsung,negatif
negatif,aplikasi ga update loker banyak s1 apply lamar ga panggil,negatif
negatif,tolong fitur searchnya bug cari a muncul b tolong ya,negatif
positif,instal panggil interview beda aplikasi belah interview cocok,negatif
positif,,positif
negatif,apaanngasih info lowong banget penipuansya dapet panggil interview ptfujitetsu autopart manufakturz jobstreetmalah uang sewa seragam 850ribualamat kantor green mansion blok b no 10 samping astra hondaada globallogistic ajabahaya nih ngelamar jobstreet,negatif
positif,top,positif
positif,aplikasi bagus kalo search loker lokasi ga akurat banyak loker yg kualifikasi berat,negatif
negatif,upload resume anj,negatif
negatif,jobstreet saking banyak lowong fiktif saking ga bedain lowong asli lowong palsu,negatif
negatif,apk kaga jelasngelamar kirain mah lowong bener semuapas diseriusin nipu,negatif
positif,bantu,positif
positif,bantu,positif
negatif,sengaja kasih bintang biar baca gin ya fitur lapor guna iklan coba tipu jobstreetnya ketat atur kait iklan loker coba bijak usaha identitas anonim tayang iklan identitas usaha wajib betulbetul verifikasi ngga orang naro iklan loker kasi awam,negatif
negatif,mohon developer perhati lokernya udah jadi dapet panggil interview tipu udah 3x dapet panggil tipu spam,negatif
negatif,gak buka loker fiktif info tutup trus gak lanjut ntah bener buka loker ntah gak ntah liat ntah statu update nya kasih tau harap platform cari yg aja,negatif
positif,aolikasi bagus,positif
negatif,mohon timbang karna tipu masuk jobsstreet ingat hati nama mhd express tipu yg asli ad ig lowong,negatif
positif,bantu dlm cari kerja,positif
positif,moga manfaat nyari kerja dapet,positif
positif,ok,positif
positif,done,positif
negatif,sortir apk mudah cari loker banyak loker kosong yg loker tipu cmn ambil data teliti developer apknya udh bagus bknnnya mudah sulit,negatif
negatif,banget undang interview bodong yg interview ruko ruko tolong jobstreet privasi cv yg brtanggung,negatif
positif,kerja aplikasi terimakasih,positif
negatif,error ya 2 loh gabisa akses,negatif
positif,okey,positif
positif,login technical eror tolong bantu,positif
positif,isi data pribadi gmna cv biodata surat lamar kerja mohon nya,negatif
negatif,dapet kerja ngga data bocor ngikutin arah saran apk tetep aja ngga panggil dapet email usaha tutup aplikasi formalitas buang,negatif
negatif,byk bahasa inggristidak terjemah,negatif
negatif,ga ngerti knpa blm oanggipan gitu udh hambis tahun pake apk cmn ga tau blmrezekinya kali yaa cmn gitu rezeki wkwk yaudah lag ga paksaain jdi hapus aja moga mnapun kerja,negatif
positif,team individu inteligency kelola emosional komitmen capai target trimakasih,positif
positif,ok,positif
negatif,gabisa buka sih tulis were working on it jelek bgt nih aplikasi,negatif
positif,server lg down ya,positif
positif,bantu banget,positif
negatif,apk banyak bug,negatif
positif,good job bantu cari kerja,positif
negatif,min ya apk nya aplikasi nya gabisa masuk ya mohon jawabnnya,negatif
negatif,apply loker gak tanggap usaha tolak terima buang2 lamar berhati2 usaha bodong kumpul data pribadi jelas,negatif
negatif,3 aplikasi jobstreet akses tanggal 22 agustus 2024 24 agustus 2024,negatif
negatif,ga login,negatif
positif,manfaat,positif
positif,bagus,positif
negatif,gak aplikasi nya ken ngeliat lamar gak buka,negatif
positif,keren,positif
positif,ya allah bgt loker palsu tipu ngeselin bgt yg nulis fasilitas gak ngotak serius deh jaman platform isi orang jahat tolong donk dimanage gimana gt biar yg naroh loker beneran usaha fiktif yg kalo dimasukin gmaps isi aneh2 developer gercep nanggepin,negatif
negatif,udah akun udh pake apk tp smlm pas login gabisa eror smpe skrg gabisa dipake akun cobq bkin akun gabisa aneh ni apk,negatif
negatif,kembang aplikasi merespon review topik robot fitur filter urut dasar tanggal postingsebaiknya tampil cari tolong tingkat kualitas isi lowong standar detail lokasi usaha,negatif
positif,bagusutk lamar kerja,positif
positif,keren lokernya masuk akal percaya,positif
positif,jobstreet kerja usaha internasional jaksel tunggu 1 dapetnya jobstreet bantu keren terima kasih,positif
positif,bantu,positif
positif,op alat berat,positif
positif,bantu,positif
positif,bantu,positif
negatif,aplikasi gak suruh masukin akun google error urus aplikasi nya bug,negatif
negatif,adminini gimana ya tdk login akunsudah diulang2 tdk bisajadinya hapus aplikasi download tdk ganti email login tdk masuk profil,negatif
positif,nice jobstree go to the my jobs,positif
positif,operator produksi pt cable ztt operator produksi pabrik spinning pt yamatex,positif
positif,manfaat,positif
positif,apliksi ya bagus batu,positif
positif,sandat manfaat,positif
positif,ok selesai,positif
positif,manfaat milik alam kerja good,positif
positif,ok coba proses nyata timbang perhati,positif
negatif,aplikasi jobstreet penipuankenapa kaga kaya ya cari kerja gampang aplikasi jobstreet,negatif
negatif,udah usaha apply kerja jobstreet gin hasilnyaselalu gak kabar jelas perusahaansudah capek lamar tunggu hasil terima tidaktapi ya beginimain tutuptutup aja perusahaannyasaya jujur aja sedih menang kecewa jobstreettidak jelas sekalisaya henti apps initidak bantu,negatif
negatif,udah lamar aplikasi alam gak panggil heran nyesel sih donwload,negatif
positif,lumayan bantu dlm cari job,positif
negatif,ngegelar lowong ujung tutup mulu orang yg harap kerja aplikasi loh,negatif
positif,mantap caur,positif
negatif,hati hati lamar dijobstreet tipu gaji yg tera sesuai pas jauh2 interview info gaji buang2 tipu,negatif
negatif,aplikasi gajelas yg lamar tutup trus ngapain posting mending aplikasi glints bagus real,negatif
negatif,error,negatif
negatif,temu usaha pt pabrik sawit indonesia pelosok2 karenah usaha yg jobstreet,positif
negatif,aplikasi bagus usaha bodongpenipuan ketatin proses buka lowong kerja usaha kena 2 usaha bodongpenipuan nama usaha jga beda untung cari tau dlu,negatif
negatif,ganti email daftar akun jobstreet,negatif
positif,moga bnyak yg kerja aplikasi,positif
positif,bagus 50 job scam,positif
positif,aplikasi jobstreet baguspenghubung cari kerja dgn perusahaantapi aplikasi jobstreet qu tdk login utk kirim lamar kerja,positif
positif,posisi hrga hc tmt group trakindi,positif
negatif,gajelas gapernah lanjut apply,negatif
positif,semangat cari kerja moga kuat jalan keras hidup salam sukses,positif
positif,oknum tipu lowong kerja beneran cari kerja harap dapet kerja allhasil tipu hmmm,positif
positif,cari kerja,positif
negatif,jobstreet jobstreet versi mending versi versi lowong palsuhoak,negatif
negatif,kagak ngerti gw,negatif
negatif,apk nya bagus tolong tingkat tambah opsi lokasi lowong kerja nya filter benarbenar kotaprovinsi yg cari loker nya nyari loker kota muncul nya kota prefer kota,negatif
negatif,tolong baik sistem nya bngt lowong tipu bngun kena tipu lowong mohon baik lgi,negatif
negatif,aplikasi jobstreet banget usaha tipu undang interview ruko ruko dapet email undang interview 3 usaha lokasi nya logistikcargoproduksi manufaktur restoran lokasi interview nya wkwkwk ujung ujung nya suruh bayar wkwkwk kocak,negatif
negatif,eror,negatif
positif,ok,positif
negatif,jobstreet lolos ya lowong nama nama pt tipu lowong tipu alamat nya masuk list tipu status usaha tutup apdet min biar ilang lamar terang nya tutup nya dapet dapet tipu moga depan jobstreet ketat apdet tetang info lowong kerja nya terimakasih,negatif
positif,we are engineer working not just by skill but just with believed with him,positif
negatif,gimana sih usaha kadaluwarsatapi nongol lagipayah g update,negatif
positif,vasilitas,positif
positif,bantu,positif
negatif,upload foto profil gimana si udah searching gaada bantu,negatif
negatif,jual data nomor hp orang2 yah knp chat wa yg tawar lowong kerja asalasalan,negatif
positif,hapussampa,positif
negatif,banya oknum tipu aplikasi,negatif
positif,tingkat kualitas,positif
positif,very well,positif
negatif,lamar kerja lamar apk jobstreet ijo kali donlod hadehhh,negatif
negatif,dear jobstreetsaya harap alih linkwebsite saat melamat pekerjaansaya jobstreet lamar kerja langsung masuk websitelink url usaha tsbanda antara lowong kerja informasikanjika trus guna langsung website usaha aplikasi jobstreet,negatif
positif,good,positif
positif,info lowong kerja usia atas 30th tolong info makasih,positif
negatif,hatihati data jual pihak,negatif
negatif,lowong langsung apply alih website jobstreet express,negatif
negatif,realisasi panggil,negatif
positif,alhamdulillah interview user tapiada gak interview,positif
positif,info loker update apply usah dapet email tutup,negatif
positif,info lowong kerja mudah akses,positif
negatif,kecewa sih daftar loker situtupini loker beneran ngak,negatif
positif,bagus,positif
negatif,dar nampilin loker doang udah apply gak progres sampe ber minggu loker udah posting,negatif
positif,usaha pialang loker hoax usaha asli ngga panggil tolong blokir tuh usaha pialangloker hoax,negatif
negatif,gak login minggu butuh banget cari kerja akun aktif suka cari loker minggu kemarin aja masalah gin baru cv kirain lupa password tau nya emg sana susah login tolong jgn susah login akun genting,negatif
positif,tingkatkankeakuratan yg,positif
negatif,data pribadi bocor,negatif
positif,alam sales engineer biasa identifikasi butuh customer lapang tawar b2b langsung customer,positif
negatif,respon usaha udah gitu data base nomor wa jebol kali dapet tawar kerja online bilang dapet data nya jobstreet mending ga pake apk deh cari apk jobseeker aja ya temen,negatif
positif,terimaksih bantu,positif
positif,aplikasi nya sih baguscuma lowong kerja yg kadaluarsa posting lagikalau baru ajatrima kasih,positif
positif,pt tunas mobilindo praksa marketing pt mandiri tunas finance head spv ar pt mayora garut sales to pt kb finansia head col,positif
negatif,uda nunggu tahun ga panggil panggil mudah sulit cari kerja,negatif
positif,senior mechanic heavy duty,positif
positif,siip,positif
positif,memposting lowong kerja,positif
positif,aplikasi udah bagus lowongan2nya dusta gak panggil wawancara menang mh ttep org dalem yg kerja,positif
negatif,loker fake,negatif
positif,ok,positif
negatif,many fake job vacancies,positif
negatif,pake apk ga da panggil ga da tipu loker udh 3 nganggur,negatif
negatif,tolong baik sistem nya lowong tipu yg cari kerja giur gaji yg tulis jobstreet panggil interview waemail mohon tempat coba search google fb curiga interview nya uang,negatif
negatif,maksud gimana nyoba daftar kaga suruh masuk akun jobstreet udah masuk akun jobstreet profil kaga suruh masuk akun kali masuk arahin google crome kecewa aplikasi,negatif
negatif,karna hp sya problem uninstal apk jobstreet stelah instal ulang pas bgian daftar login loading,negatif
positif,cocok cari kerja,positif
positif,good,positif
negatif,admin dkv 3 raya alf,positif
positif,lowong kerja lengkap no tipu tipu surabaya east java terimakasih jobstreet,negatif
positif,mantap,positif
positif,ya sy email tiba2 tdk trima info jobstreet,positif
negatif,aplikasi tolol tipu nya,negatif
negatif,loker bodong interview ruko,negatif
negatif,kbnykan lowong staf atas lowong driver khusunya dumptruk ga wilayah sulawesi tenggara,negatif
positif,bantu cari kerja tambah wawas,positif
positif,buka ad awat sistem,positif
negatif,versi versi bagus versi yg error gabisa lihat lamar update kembang lamar kadang kadang gaada sampe lamar expired usaha bodong bener mas yg bawah jg telp tipu sampe ganti no telp lamar tdk kembang harap platform buang rencana pindah platform,negatif
negatif,bagus aplikasi sayang manfaat usaha bodong yg bayar lamar dgn dalih yg,positif
negatif,30 usaha 70 relasi,negatif
positif,moga updateinfo,positif
negatif,bertahun2 pake aplikasi tdk satu ketrima usaha aplikasi,negatif
positif,kembang lamar kerja aplikasi berkalikali apply bulan tunggu ubah status lamar kirim lamar kerja tolak tim it tim kembang tolong status lamar kerja update jelas guna aplikasi,positif
positif,kasih rekrut resumecvlamaran kerja liat baca biar serius rekrut kerja karna kasi lamar siang malam liat lamar kerja baca rekrut tingkat layan jobstreet tolong kasih baca cvresumelamaran kerja lamar lamar rekrut cepat serius nya rekrut krna ad yg smpai 7 blm d baca,positif
negatif,chat hrd,positif
negatif,aneh bet nih aplikasi cari dasar kota tetep ajah kota tetep tampil 1 provinsi kota cari kota sukabumi tetep muncul depok bekas bandung dah cari cari lokasi sukabumi,negatif
negatif,aplikasi jobstret udah 3 kirim lamar blm yg nyakut d usah yg d bilang salah d file y sesuai yg d jobstret y yg d terima tipu d usah yg ngk yg ngabisin kouata internet ajamencari kerja susah banget sie,negatif
positif,tebantu terimakasih,positif
negatif,formalitas udah usaha lamar satu cuman liat nama nama usaha plus,negatif
positif,sistem tampil bagus lengkap mudah paham mudah cari kerja beri kerja,positif
positif,terima kasih jobstreet bantu,positif
positif,kerja pabrik,positif
positif,app nya bagus sihsangat membantutapi banyak yg cantum beri kerja umur yg diutamakanbukannya alam yg dicariindoneaia miris,positif
positif,mantul,positif
negatif,gak buka parah parah,negatif
negatif,70 isi loker nipu mending kelen hapus akun jobstreet ambil data pribadi doang,negatif
negatif,ketat iklan lokernya tipu loker lolossudah 6 kali dapet loker penipuanbuang ijin interview buang biaya interviewdah gitu aja,negatif
negatif,banyak loker palsu,negatif
negatif,percaya jobstreetbanyak tipu kerja salah satu tipu,negatif
negatif,data nomor daftar jobstreet privasi jaga rahasia wa orang kenal tawar kerja nggak informasi nomor wa data base jobstreet tolong,negatif
positif,mohon bantu upload resume file sesuai tentu format pdf ukur 178mb aplikasi update ponsel restart,positif
positif,lowong sih ya gak yg nyantol ya gimana nyantol ngeselinnya dpt buanyak email undang interview tipu alamat jl industri raya no 910 gunung sahari,negatif
positif,loker 30th,positif
negatif,knapa ya info lowong yg lamar yg kadaluarsa loh,negatif
negatif,mohon lowong kerja web gabung tera aplikasi jobstreet mengapply lowong kerja aplikasi jobstreet alih web bikin ruwet pindah web aplikasi jobstreet,negatif
positif,info lowong kerja mudah fitur lamar cepat nya,positif
negatif,info lowong banyak nipumereka pake usaha kedok nipu ratarata ruko hati hati,negatif
positif,bagus aplikasi guna cari kerja,positif
negatif,lowong kerja scam be carefull gaes kantor yg jadiin jobstreet brand awareness doang saran pakai platform aja,negatif
positif,ikut program ai,positif
positif,bantu cari kerja,positif
positif,kasih bintang 5 berkas lamar panggil,positif
positif,good,positif
positif,bantu,positif
negatif,aplikasi gak banget udah kirim lamar gak tindak,negatif
negatif,mohon maaf kembang aplikasi jobstreet ulas alam aplikasi jujur buka aplikasi jobstreet kecewa gusar lowong kerja tiga validitas resmi lembaga yayasan outsourcing bayar uang gabung,negatif
negatif,banyak loker jobstreet lamar 1 tiada manggil pemangilan kerja,negatif
positif,update perinci,positif
positif,ok,positif
positif,driver duta iraq,positif
positif,ucap terimakasih joobstreetsaya terima diperusahaansemakin bnyak lamar peluanguntuk interview offline teliti usah ajasaya syukur langsung interview tatap muka efisien memuaskanataupun interview online ikut prosedur tiap2 usaha nilai masing2 yg profesional jg semngt yaah yg,positif
negatif,banyakkkkkk banget loker nipu,negatif
negatif,gak jobstreet lowong rekomendasi basic kerja ngaco,negatif
positif,usaha abalabal tipu saran jobstreet ketat lagiagar usaha abalabal daftar jobstreet,negatif
positif,andal utama cari kerja,positif
positif,sebenernya aplikasi bagus ya scam gak jobstreet proses seleksi screening perusahaan2 posting info lowong jobstreet usaha abal2 masuk posting info lowong mohon ketat seleksi usaha posting lowong rugi cari kerja terima kasih,positif
positif,good,positif
negatif,asa nglamar aplikasi engga tipu eh tipu banget siang interview tipu 900000 bilang seragam kerja ga tahan ijazah dokumen seragam tanggung pribadi langsung tempat tanda tangan kontrak besok langsung masuk kerja eh pas tanda tangan kontrak point nyata suruh bayar 550000 lunasin 550 tanda tangan kontrak tempat,negatif
negatif,awas viral tipu jadi duren sawit pinta 17 juta,negatif
negatif,susah login,negatif
negatif,aplikasi gak lowong update 1hr 3hr info lowong sdh tutup kaya cv gak kirim jobstreet skrg gak bagus hapus,negatif
negatif,masukin cv jobstreet alhamdulillah emailwa panggil interview yg telusur tipu mohon baik,negatif
negatif,tipu aplikasi interview minta uang kisar sampe 18jt sedih kho kerja bayar ngeluarin uang bikin cv bayar transportasi tempat viral tiktok lapor ga tuh berita penakapan interview bodong miris,negatif
negatif,gajelas banget sumpah gua udah apply 1 ga respon panggil interview terang doang sampe tuh lowong tutup bodoh publik lol mending glints cepet,negatif
negatif,aplikasi bagus usaha dijobstreet banyak nipu panggil butik gitu pas dichat telegram konfirmasi pesan mana saldo top up kecewa sekali aplikasi ini bayang lowong palsu jobstreet mohon telusur lowong beneran cari kerja serius cari kerja main,negatif
negatif,aplikasi kocak panggil kerja yg aplikasi hoax gaada yg bener coba make apl 2021 tetep aja,negatif
positif,kecewa sih oknum tipu yg manfaat apk udah kali interview lolos ujung main uang pas calon yg tipu juta rupiah tolong tinjau oknum nakal harga yg serius cari kerja bantu orang tua,negatif
negatif,fu usaha buka lowong,negatif
negatif,hatihati lamar kerja online dijobstreet juni kemarin kena tipu lolos ya lowong bodong masuk aplikasi jobstreet,negatif
negatif,nyoba cuman trouble pas daftar masuk ntah,negatif
positif,muas,positif
negatif,berpuluh2 kali kirim lamar kerja blm panggil dri 2022 sd 2024 tolong baik jobstreet ya udah penuh syarat2nya sesuai yg butuh klo panggil says kasih bintang 5,negatif
