content,text_tokens_stemmed,Label,Label NB,Label NB Average
"Tiket masuk 70rb dewasa 50rb anak 2-6 tahun.
Free akses untuk akses pantai, animal show.
Untuk naik kuda nambah 25k, naik gajah 50k, naik unta 50k, masuk bird apa si itu ",tiket masuk 70rb dewasa 50rb anak 26 tahunfree akses akses pantai animal showuntuk kuda nambah 25k gajah 50k unta 50k masuk bird si,positif,positif,positif
"Kedua kalinya kesini, ternyata tempatnya masih saja ada pembangunan. Menurut saya ini cukup mengganggu sih, karena pengunjung harus jalan memutar, dan jalannya becek karena hujan. Kalau kesini jgn lupa pakai sepatu. Sebenarnya taman safari ",kali kesini tempat bangun ganggu sih unjung jalan putar jalan becek hujan kesini jgn lupa pakai sepatu taman safari,positif,positif,positif
"1. nggak all in.
di depann bgt ada tarikan uang 5k/org buat masuk ke pantai (gatau itu resmi atau nggak). ",1 nggak all indi depann bgt tari uang 5korg masuk pantai gatau resmi nggak,negatif,positif,positif
"Di paksa pakai gelang kertas tanda masuk di depan anak & istri serta keluarga besar sy, dari kecil sy gak suka pakai cincin atau gelang. Dan sy lihat ada beberapa pengunjung lain yg tidak pakai dan tdk di paksa pakai...",paksa pakai gelang kertas tanda masuk anak istri keluarga sy sy gak suka pakai cincin gelang sy lihat unjung yg pakai tdk paksa pakai,negatif,positif,positif
Tempat rekreasi pantai yg oke dan edukasi bermacam² binatang,rekreasi pantai yg oke edukasi binatang,positif,positif,positif
"Pantainya bersih, tarip wajar tetapi sayang ada pos retribusi masyarakat sebelum masuk lokasi.",pantai bersih tarip wajar sayang pos retribusi masyarakat masuk lokasi,positif,positif,positif
Ganti nama.??,ganti nama,positif,positif,positif
Kerenn,kerenn,positif,positif,positif
Terlalu mahal tiketnya sedangkan fasilitas belum selesai dikerjakan.,mahal tiket fasilitas selesai,positif,positif,positif
Tempat belum siap. Saat kami kunjungi. Nyamuk banyak sekali. Lumpur dan mbletok dimana mana.. akses manusia seperti off road.. ,kunjung nyamuk lumpur mbletok mana akses manusia off road,negatif,positif,positif
"Di rekomendasikan buat yg sayang dgn kluarga, ank2 dan org tersayang, untuk sgala kalangan,. Sahabat, rekan kntor ,.. , kalo ingin melihat pertunjukan lumba lumba di anjurkan datng jgn lwat dari jam 15:00pm(sore) krna show lumba2 tutup jam ",rekomendasi yg sayang dgn kluarga ank2 org sayang sgala kalang sahabat rekan kntor kalo tunjuk lumba lumba anjur datng jgn lwat jam 1500pmsore krna show lumba2 tutup jam,positif,positif,positif
Merupakan pengalaman yang baik untuk perjalanan sehari. Bersenang-senang dengan banyak kegiatan meskipun banyak kegiatan yang tutup.,alam jalan hari bersenangsenang giat giat tutup,positif,positif,positif
Enak bersih parkir luas..fasilitas musola kamar mandi bersih,enak bersih parkir luasfasilitas musola kamar mandi bersih,positif,positif,positif
"Secara keseluruhan solid, meski masih dalam tahap pengembangan.",solid tahap kembang,positif,positif,positif
"2 ajalah bintangnya. karena yg menarik di lumba²nya aja. daaaannn percuma kasih voucher sih menurutku, karena banyak syarat buat tukerinnya, harus yg ini itu, ngga boleh ini itu, berakhir ngga jd dipake vouchernya, mending ngga usah dikasih sekalian sih. padahal dulu gampang banget tuker voucher didalem, makanan minuman apapun.",2 aja bintang yg tarik lumbanya aja daaaannn kasih voucher sih turut syarat tukerinnya yg ngga ngga jd dipake vouchernya mending ngga kasih sih gampang banget tuker voucher dalem makan minum apa,negatif,positif,positif
"Bagus masih dalam proses pembangungan, hewan lumayan lah untuk makanan dan minuman sedikit pricey yaa",bagus proses pembangungan hewan lumayan makan minum pricey yaa,positif,positif,positif
"Safari Beach Jateng
Merupakan tempat wisata berupa pantai yang berada di Batang sekaligus sebagai ",safari beach jatengmerupakan wisata pantai batang,positif,positif,positif
"Lumayan jauh ya dari semarang kota, kesana pas direnovasi jadi kurang puas hehe.. tempat bagus nyaman banyak binatang di mini zoo nya.. kesana pas minggu tp kok sepi apa karna udh jam 4 sore ya jd sudah pada pulang.. toilet bersih, lumba2 ",lumayan ya semarang kota kesana pas renovasi puas hehe bagus nyaman binatang mini zoo nya kesana pas minggu tp sepi karna udh jam 4 sore ya jd pulang toilet bersih lumba2,positif,positif,positif
"Pas disana rasanya nggak pengin pulaaang....ramah semua, puas banget lihat atraksi lumba-lumbanya, pantainya sangat menyenangkan....terima kasih Beach Safari Batang....kapan kapan mau kesini lagiiii...?????",pas sana nggak pengin pulaaangramah puas banget lihat atraksi lumbalumbanya pantai menyenangkanterima kasih beach safari batangkapan kesini lagiiii,positif,positif,positif
"recomend bisa main air di pantai dan liat hewan"" di kebun binatang ,",recomend main air pantai liat hewan kebun binatang,positif,positif,positif
"Tempat luas, Nyaman ,bnyk tempat duduk, pohonnya rindang ada bnyk mkn jga",luas nyaman bnyk duduk pohon rindang bnyk mkn jga,positif,positif,positif
Oke,oke,positif,positif,positif
Masih proses pembangunan..trs sblm masuk ke area sini udh dimintain parkir sm pemda setempat..jd bayar parkir 2x..yg menarik dsna it pertunjukan lumba2..tiket masuk blm termasuk tiket naik hewan2 dsna atau feeding animal dsna,proses pembangunantrs sblm masuk area udh dimintain parkir sm pemda setempatjd bayar parkir 2xyg tarik dsna it tunjuk lumba2tiket masuk blm tiket hewan2 dsna feeding animal dsna,positif,positif,positif
"Bagusss, tempatnya dipinggri pantai, hewannya lumayann banyak",bagusss tempat dipinggri pantai hewan lumayann,positif,positif,positif
Tempat yang cocok untuk liburan keluarga..,cocok libur keluarga,positif,positif,positif
"Menurut saya pribadi  hewan nya sangat sedikit jadi kurang banget. Mungkin masih perlu pembenahan lagi
Menurut saya di bandingkan safari safari yg lain hanya safari beach jateng ini ",pribadi hewan nya banget benah lagimenurut banding safari safari yg safari beach jateng,positif,positif,positif
"Pertama kesini 2021 dan baru berkunjung lg Nov 24.
htm 65 dewasa, 45 anak², parkir mobil 10 untuk weekend. Kmrn sy beli tiket online dan ada potongan. Fasilitasnya banyak yg sdh dibenahi dan skrg ada restonya ",kesini 2021 kunjung lg nov 24htm 65 dewasa 45 anak parkir mobil 10 weekend kmrn sy beli tiket online potong fasilitas yg sdh benah skrg restonya,positif,positif,positif
"Sangat bermanfaat untuk anak² mengenal hewan² di sekitar.
.
Safari beach 2024 sangat banyak perubahan, dan lebih tertata. Baguss bangettt",manfaat anak kenal hewan sekitarsafari beach 2024 ubah tata baguss bangettt,positif,positif,positif
"Menyenangkan
Jarak tempuh dari kost Ridoi Illahi tali asih jatisari ke lokasi kira2 45 km
Mantap luar biasa",menyenangkanjarak tempuh kost ridoi illahi tali asih jatisari lokasi kira2 45 kmmantap,positif,positif,positif
Bagus sekali saya sukaa,bagus sukaa,positif,positif,positif
"Fasilitas kursi,musola,tempat bilas komplit tidak bayar.pantai bersih tertata.",fasilitas kursimusolatempat bilas komplit bayarpantai bersih tata,positif,positif,positif
"Tempat bertamasya yang asik untuk keluarga, ada mini zoo, dolphin show, pantai, tempat makan. Harga tiket dewasa 65rb, anak diatas 2 tahun 45rb, parkir 10rb, waktu kami ke sana dapat voucher makan 10rb per orang. Tiket termasuk nonton ",tamasya asik keluarga mini zoo dolphin show pantai makan harga tiket dewasa 65rb anak atas 2 45rb parkir 10rb voucher makan 10rb orang tiket nonton,positif,positif,positif
"Staff nya sangat ramah , kamar mandi bersih, ikan fresh ...
Mantabh !!!",staff nya ramah kamar mandi bersih ikan fresh mantabh,positif,positif,positif
"Kebun binatang dengan konsep berbeda, menggabungkan kebun binatang dengan wisata pantai.. keren sekali",kebun binatang konsep beda gabung kebun binatang wisata pantai keren,positif,positif,positif
Terima kasih,terima kasih,positif,positif,positif
Sebaiknya disediakan dan disewakan mobil golf atau apalah untuk mempermudah manula dan disabilitas,sedia sewa mobil golf apa mudah manula disabilitas,positif,positif,positif
"Tempat kebun binatangnya ngga terlalu luas jadi ga capek buat muter2, dan ga ngebosenin karna ada show yg menarik. ",kebun binatang ngga luas ga capek muter2 ga ngebosenin karna show yg tarik,positif,positif,positif
Taman safarinya jawa tengah yang ada di batang,taman safari jawa batang,positif,positif,positif
Sangat asyik dan seru,asyik seru,positif,positif,positif
"Dateng malam minggu nonton show nya, pretty entertaining. Suka! Semoga makin berkembang ya..",dateng malam minggu nonton show nya pretty entertaining suka moga kembang ya,positif,positif,positif
Keren... Toppp.. harus kesana buat yg belum pernah kesana.. Apalagi show Fire Dance nya keren...,keren toppp kesana yg kesana show fire dance nya keren,positif,positif,positif
menyesap,sesap,positif,positif,positif
"Kalau mau ke sini, lebih enak sih seharian sekalian.. Karena apa? Kalau cuman setengah hari anak2 kurang puas. Gak bisa main air dan lihat pertunjukan2 nya. Pagi nya bisa ke safari beach dulu.. Nanti sorean baru ke pantai sigandunya ",enak sih hari cuman anak2 puas gak main air lihat pertunjukan2 nya pagi nya safari beach sore pantai sigandunya,positif,positif,positif
"Tempatnya bersih, adem banyak angin dr pantai, seru!",tempat bersih adem angin dr pantai seru,positif,positif,positif
"Pertunjukan animal show,aerobik, lumba luma bagus tapi lokasi penonton lumba lumbanya itu berlawanan arah sama laut temboknya tinggi dan gaada kipas angin 1pun gerahh banget apalagi kita kesana waktu weekend jam 2siang pertunjukannya disitu ",tunjuk animal showaerobik lumba luma bagus lokasi tonton lumba lumbanya lawan arah laut tembok gaada kipas angin 1pun gerahh banget kesana weekend jam 2siang tunjuk situ,negatif,positif,positif
"Its a pleasant time to stoped by at bsbj.. Tujuan utama kami memang untuk dolphin show, mengenalkan ke anak kalau dolphin masih exist & dilindungi.. Untuk bagian zoo'nya mungkin bisa diplester karena bekas hujan tanahnya jd mengganggu untuk ",its a pleasant time to stoped by at bsbj tuju utama dolphin show kenal anak dolphin exist lindung zoonya plester bekas hujan tanah jd ganggu,positif,positif,positif
Nonton lumba2,nonton lumba2,positif,positif,positif
Menyukai,suka,positif,positif,positif
"Naik gajah 50rb
Padahal di tiket 20rb
Gilak ga lagi lagi dah",gajah 50rbpadahal tiket 20rbgilak ga dah,negatif,positif,positif
"Tiket masuk nya promo 40rb
Tiket naik gajah dari 20k di tutup kertas di ganti 50k ( sempet kaget karena udah 4x ke sini ) ",tiket masuk nya promo 40rbtiket gajah 20k tutup kertas ganti 50k sempet kaget udah 4x,negatif,positif,positif
Antrian nya panjang kalo weekend,antri nya kalo weekend,positif,positif,positif
"Tempatnya nyaman, tempat bilas setelah selesai main di pantai banyak....makan enak",tempat nyaman bilas selesai main pantai banyakmakan enak,positif,positif,positif
Atas,,positif,positif,positif
"Mantap aneka binatang, resto enak",mantap aneka binatang resto enak,positif,positif,positif
Saya ingin menonton pertunjukan lumba-lumba tetapi saya datang terlambat dan bahkan beberapa hewan sedang libur kerja. Saya hanya bisa minum kopi dan melihat laut.,tonton tunjuk lumbalumba lambat hewan libur kerja minum kopi laut,positif,positif,positif
"Pantainya bagus, bersih. Lengkap juga karena ada safari mini nya.",pantai bagus bersih lengkap safari mini nya,positif,positif,positif
Pegawainya ramah2 tempatnya bagus banget..,pegawai ramah2 tempat bagus banget,positif,positif,positif
Pantainya bagus. Ada toilet dan mushola. Ada spot foto yang menarik. Banyak penjual makanan. Pertunjukan lumba-lumbanya keren. Pertunjukan satwanya lucu. Harga tiket terjangkau. Namun perawatan & penataan zoo-nya masih perlu ditingkatkan.,pantai bagus toilet mushola spot foto tarik jual makan tunjuk lumbalumbanya keren tunjuk satwa lucu harga tiket jangkau awat tata zoonya tingkat,positif,positif,positif
"Lokasi pinggir pantai jadi selain bisa lihat binatang juga bisa main di pantai, tersedia banyak tempat duduk di pinggir pantai
Jenis binatang kurang variatif, semoga kedepannya diperbanyak lagi.. yg paling ",lokasi pinggir pantai lihat binatang main pantai sedia duduk pinggir pantaijenis binatang variatif moga depan banyak yg,positif,positif,positif
"So far Ok,
Anak2 senang lihat dolpin, antraksi animals, main pasir di pantai. Fun fact Pasir di sini tu beda sama pasir yang ga di area kawasan Safari beach nya Lo,pasir ",so far okanak2 senang lihat dolpin antraks animals main pasir pantai fun fact pasir tu beda pasir ga area kawasan safari beach nya lopasir,positif,positif,positif
Cocok untuk bersantai pantainya,cocok santa pantai,positif,positif,positif
SBJ berada di Pantai Sigandu Batang dan merupakan cabang dari Taman Safari Indonesia. Pertunjukan utamanya adalah lumba-lumba. Tapi banyak juga koleksi hewan yang ada pada mini zoo-nya ditambah dengan atraksi hewan yang menarik. Tiket masuk 60K.,sbj pantai sigandu batang cabang taman safari indonesia tunjuk utama lumbalumba koleksi hewan mini zoonya tambah atraksi hewan tarik tiket masuk 60k,positif,positif,positif
"Buktikan.!!!. Jangan hanya denger apa kata orang...
Datang langsung dan nikmati keindahan panorama alam pesisir pantai sembari berwisata edukasi tentang satwa bareng sama keluarga dan kerabat. Kita juga harus ",bukti denger orangdatang langsung nikmat indah panorama alam pesisir pantai sembari wisata edukasi satwa bareng keluarga kerabat,positif,positif,positif
Bagusss  pertahankan tingkatkan lagi pelayanan mgkn bisa tambah koleksi hewan hewannya untuk edukasi anak anak,bagusss tahan tingkat layan mgkn koleksi hewan hewan edukasi anak anak,positif,positif,positif
Bagus tpi syang tempat parkirnya panas,bagus tpi syang parkir panas,positif,positif,positif
"Tempatnya cocok buat keluarga yang punya anak kecil, pasangan yang lagi PDKT,  pantainya bersih, tersedia food court",tempat cocok keluarga anak pasang pdkt pantai bersih sedia food court,positif,positif,positif
Cukup bagus....,bagus,positif,positif,positif
"Karcisnya 40rb di hr minggu, sepadanlah sama gempatnya , bagus
?????????? Itu adalah ulasan sya 3th lalu. Kemarin saya kesana lagi, sya kasi bintang ",karcis 40rb hr minggu padan gempatnya bagus ulas sya 3th kemarin kesana sya kasi bintang,negatif,positif,positif
"Parkir mobil 10 k , tiket dewasa 65k , tidak ramah stroller anak kecil  karena jalannya berbatu dan kerikil tidak siap untuk taman safari , minimal modal pavibgblock untuk 1  ruas jalan ke  taman  nya , kudanilnya udah resign juga , kolam ",parkir mobil 10 k tiket dewasa 65k ramah stroller anak jalan batu kerikil taman safari minimal modal pavibgblock 1 ruas jalan taman nya kudanilnya udah resign kolam,positif,positif,positif
Seru..ternyata di semarang juga ada taman safari versi mini yg pantainya bersih dan nyaman untuk anak² dan keluarga..,seruternyata semarang taman safari versi mini yg pantai bersih nyaman anak keluarga,positif,positif,positif
"Weekday :
Child (2-6 th) 35rb
Adult 50rb ",weekday child 26 th 35rbadult 50rb,positif,positif,positif
Seru tempatnya dan hewannya juga pinter pinter mashaallah bener2 edukasi wisata buat anak2 saya,seru tempat hewan pinter pinter mashaallah bener2 edukasi wisata anak2,positif,positif,positif
"+Tempatnya teduh karena banyak pepohonan, sejuk angin sepoi-sepoi, banyak atraksi satwa, toilet bersih ",tempat teduh pohon sejuk angin sepoisepoi atraksi satwa toilet bersih,positif,positif,positif
parah...,parah,negatif,positif,positif
"Tidak tertata rapi, kandang banyak yang rusak, masuk ke  kandang aviary burung bayar lagi bukan sebagai kesatuan dari tiket utama yang sebenarnya lumayan mahal
Not recomended",tata rapi kandang rusak masuk kandang aviary burung bayar satu tiket utama lumayan mahalnot recomended,negatif,positif,positif
"Tempatnya oke.. tiket affordable, walau kandang binatang2nya perlu diupgrade.. jgn ketinggalan pertunjukan lumba2nya krn bagus.. restonya blu bagus.. nasi goreng, ayam gorengnya, dan ayam bakarnya enak.. harga jg oke",tempat oke tiket affordable kandang binatang2nya diupgrade jgn tinggal tunjuk lumba2nya krn bagus restonya blu bagus nasi goreng ayam goreng ayam bakar enak harga jg oke,positif,positif,positif
Anak2 sangattt happy dengan suasana dan hewan2nyaa..,anak2 sangattt happy suasana hewan2nyaa,positif,positif,positif
Lumanyun,lumanyun,positif,positif,positif
Safari prime sangat keren! Semua staf sangat baik,safari prime keren staf,positif,positif,positif
Wisata sekaligus belajar buat anak anak,wisata ajar anak anak,positif,positif,positif
"semoga semakin bertambah dengan atraksi2 binatang lainny
terutama binatang langkah",moga tambah atraksi2 binatang lainnyterutama binatang langkah,positif,positif,positif
Tempat nyaman,nyaman,positif,positif,positif
"Tiket masuk nya per orang 50k , dapet voucher potongan makanan 10k, bisa liat pertunjukan lumba-lumba sesuai jadwal. Luass banget tempat nya, cocok buat liburan & family time",tiket masuk nya orang 50k dapet voucher potong makan 10k liat tunjuk lumbalumba sesuai jadwal luass banget nya cocok libur family time,positif,positif,positif
"Bagus, banyak tempat duduk.",bagus duduk,positif,positif,positif
Keren bisa kasih makan hewan dan dekat pantai juga,keren kasih makan hewan pantai,positif,positif,positif
Baguss .,baguss,positif,positif,positif
Cukup bagus,bagus,positif,positif,positif
Ke sana cuma karena pengen lihat dolphin. Karena memang sesuka itu lihat dolphin. Datang mepet banget 3 menit sebelum show dimulai. Harga tiket include dolphin show cukup affordable. Karena kesorean setelah lihat show dolphin dan aneka ,ken lihat dolphin suka lihat dolphin mepet banget 3 menit show harga tiket include dolphin show affordable sore lihat show dolphin aneka,positif,positif,positif
Tempat yg asri dan adem karena masih banyak pohonnya,yg asri adem pohon,positif,positif,positif
Sebenarnya tempat ini menarik... Namun karena akses antar spot belum sepenuhnya jadi.. masih natural .. membuat proses menuju ke spot dolphin show jadi bikin kaki sakit dan mudah capek... Belum ada akses khusus. ,tarik akses spot sepenuh natural proses spot dolphin show bikin kaki sakit mudah capek akses khusus,positif,positif,positif
"Gilakkk nunggu kebab 1 doank sampe 1 jam... Dari no 34 sampe no 50 belum di bikin"" Tuh kebab",gilakkk nunggu kebab 1 doank sampe 1 jam no 34 sampe no 50 bikin tuh kebab,negatif,positif,positif
Pantainya tenang buat refleksi pikiran apalagi sore menjelanga malam,pantai tenang refleksi pikir sore menjelanga malam,positif,positif,positif
"Lumayan utk refreshing. Anak2 cukup antusias dg pertunjukan yg ada. Yg sedikit mengecewakan, saat kami difoto bersama lumba2, hasilnya kurang bagus. Dan saat makan di resto blu seafood waktu tunggu lebih dari 2 jam... Hehehe..",lumayan utk refreshing anak2 antusias dg tunjuk yg yg kecewa foto lumba2 hasil bagus makan resto blu seafood tunggu 2 jam hehehe,negatif,positif,positif
"06/08/2024
Dari Tegal ke Batang.",06082024dari tegal batang,positif,positif,positif
"Tiap pulang ke pekalongan pasti ajak mertua kesini, terakhir kesini ada resto nya bagus",pulang kalong ajak mertua kesini kesini resto nya bagus,positif,positif,positif
Tempat asyik untuk liburan keluarga mau liat pantai bersih cantik dengan pasir putih atau lihat aneka ragam binatang dari berbagai daerah semua dalam paket komplit hrga HTM pun trjangkau.. ,asyik libur keluarga liat pantai bersih cantik pasir putih lihat aneka ragam binatang daerah paket komplit hrga htm trjangkau,positif,positif,positif
Tdk boleh bawa makan/minum dari luar,tdk bawa makanminum,positif,positif,positif
Sangat familyfriendly,familyfriendly,positif,positif,positif
"Tiket akhir pekan 65k untuk dewasa.
Dan masih banyak pertunjukan dari binatang seperti lumba-lumba, burung dll.
Kebun binatang ini tidak terlalu besar namun memiliki beberapa hewan seperti ",tiket pekan 65k dewasadan tunjuk binatang lumbalumba burung dllkebun binatang milik hewan,positif,positif,positif
Mantap makanya beli di mitra komputer ajq,mantap beli mitra komputer ajq,positif,positif,positif
"Nice..
Ada live akustik
Ada resto ",niceada live akustikada resto,positif,positif,positif
"tempat tertata dengan rapi. tiket masuk bisa ditukar dengan makanan yang ada didalam. bagus sih ide nya buat perpaduan antara pantai dan binatang, yang mau bawa anak-anak aku rekomendasiin sih, adik aku dibawa kesini seneng banget bisa main sambil belajar. rekomended inii???????????? ",tata rapi tiket masuk tukar makan dalam bagus sih ide nya padu pantai binatang bawa anakanak rekomendasiin sih adik bawa kesini neng banget main ajar rekomended ini,positif,positif,positif
rekreasi keluarga,rekreasi keluarga,positif,positif,positif
Sangat puas di tempat wisata safari beach batang,puas wisata safari beach batang,positif,positif,positif
Pemandangan yang bagus,pandang bagus,positif,positif,positif
"Hewannya lumayan banyak tp sayang kurang lengkap, free vocer makan 10rb pertiket,",hewan lumayan tp sayang lengkap free vocer makan 10rb tiket,positif,positif,positif
Perjalanannya menyenangkan,jalan senang,positif,positif,positif
Awal masuk sdh jauh lebih baik dr yg dulu pernah ksna sii..tp sangat di sayangkan pas masuk ke t4 kebun binatang nya malah lbh kumuh ..jalanan nya jg byk yg rusak ..semoga pemerintah setempat bisa memperbaiki biar byk warga tertarik ke sana ,masuk sdh dr yg ksna siitp sayang pas masuk t4 kebun binatang nya lbh kumuh jalan nya jg byk yg rusak moga perintah baik biar byk warga tarik,positif,positif,positif
Bagus,bagus,positif,positif,positif
"Menurutku sih ini wisata pantai terbaik di pekalongan dan batang ya... Standardnya nasional, bersih, terawat ngga banyak sampah.
Suasana juga enak banget di sini, manajemen pengelolaannya juga bagus. ",turut sih wisata pantai baik kalong batang ya standardnya nasional bersih awat ngga sampahsuasana enak banget manajemen kelola bagus,positif,positif,positif
sangat recomended untuk di kunjungi,recomended kunjung,positif,positif,positif
"Makanan enak, tempat nyaman",makan enak nyaman,positif,positif,positif
Recommended bisa lihat satwa dan main di pantai,recommended lihat satwa main pantai,positif,positif,positif
"Tempat rekreasi keluarga yang bagus.. Ada pertunjukan aneka satwa, dan lumba2.. Berlajut santai ditepi pantai.. Anak-anak pasti suka..",rekreasi keluarga bagus tunjuk aneka satwa lumba2 berlajut santai tepi pantai anakanak suka,positif,positif,positif
"Berkunjung saat akhir pekan, hari Sabtu kami datang jam 09.10 an suasana masih sepi dan tidak antri. Harga tiket tergolong murah, 65rb dan free 10rb untuk pembelian makanan di food tenantpinggir pantai. Krn kami tidak membawa kendaraan ",kunjung pekan sabtu jam 0910 an suasana sepi antri harga tiket golong murah 65rb free 10rb beli makan food tenantpinggir pantai krn bawa kendara,positif,positif,positif
"Ombaknya aman, binatangnya lucu, seru, tapi mungkin perlu di perbarui lagi binatang2nya dan jalan jalan diperbaiki yang masih blm rata ?? ",ombak aman binatang lucu seru baru binatang2nya jalan jalan baik blm,positif,positif,positif
Sangat rekomendasi buat bawa anak ke pantai ini.,rekomendasi bawa anak pantai,positif,positif,positif
Anak anak selalu suka karena atraksi atraksinya....,anak anak suka atraksi atraksi,positif,positif,positif
Keren mini zoo dipinggir pantai dgn standar Taman Safari Indonesia,keren mini zoo pinggir pantai dgn standar taman safari indonesia,positif,positif,positif
"Nyaman ,dekat pantai,walau untuk hewan belum selengkap Safari yang di Bogor.",nyaman pantaiwalau hewan lengkap safari bogor,positif,positif,positif
"Tempatnya adem, sekarang setiap kandang hewan ada penjaganya, trus dapet voucher, 1 tiket 1 voucher yg bisa ditukar di stand makanan. Sayangnya makanannya kurang enak semua",tempat adem kandang hewan jaga trus dapet voucher 1 tiket 1 voucher yg tukar stand makan sayang makan enak,positif,positif,positif
Bagus tp kurang banyak wahana atraksinya plus Playgroundnya msh minim,bagus tp wahana atraksi plus playgroundnya msh minim,positif,positif,positif
"Datang kesini hari Sabtu.
Bayar masuk menuju lokasi, 5rb per orang dewasa.
Bayar tiket masuk 55rb per orang (dewasa dan anak 3thn ke atas) ",kesini sabtubayar masuk lokasi 5rb orang dewasabayar tiket masuk 55rb orang dewasa anak 3thn,positif,positif,positif
