,full_text,tweet_english
15,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well
16,yang bilang anies modal kata doang pacar eco park tebet musuhin,who said anies modal kata doang boyfriend eco park tebet musuhin
17,sayang banyak msh dukung anies dateng mas baru di lampung kemaren berani banget ya juga kayak bilang takut sih kalau hadepan lagisg buat desak anies wkwk,dear many MSH support anies dateng mas baru di lampung kemaren bravely ya also like to say scared if hadepan lagisg to urge anies wkwk
18,anies pks,anies pks
19,gerindaria bantah soal anies bilang bisnis macet gegara jadi oposaudarii,gerindaria argues about anies saying that the business is stuck in the country so oposaudarii
20,anies ikut kubur harun tahun 2019 berita apakah kata hoax padahal beliau ikut kubur,anies participates in harun's grave in 2019 what news is the word hoax even though he participates in the grave
21,anies baswedan jawab tanya debat bukti nyata kerja sangat muas,anies baswedan answered the debate the real proof of work is very sick
22,anies tuh cerdas utama soal janji transportasi jaklintidako mau rekrut pak iganisus pilih sudah banyak tadi nya kurang bijak bawa ulama gimana kalau pendetapastorpemimpin agama juga pertimbantidakan opini nya kenapa hanya cuman ulama,anies is the main intelligent about the promise of transportation jaklintidako want to recruit Mr. iganisus choose already a lot earlier it is not wise to bring scholars what if the detachment of religious leaders also consider their opinions why only scholars
23,karakter wowo vs anies jauh lah bangmbok legowo sajaanies simpati publik luas sedang wowo sebaliknyasesederhana dipahaminyajugan kita jd parasocial relationship disorder,character wowo vs anies away is bangmbok legowo sajaanies the sympathy of the wider public is wowo behind itsimply understoodjugan we also parasocial relationship disorder
24,kalau ga kerja bidang nya jago nyindir orang anies,if you don't work in the field you are good at insinuating people anies
25,paragraf satu udah dijelasin sama pa anies sendiri tonton geh video biar paham konteks ape2 ditelen mentah2 paragraf dua nama pamrih kata paling ikhlas ko diuntidakit ko nyapres paragraf tiga etika kata saudara awokwokwok mending ngaca dulu dah,paragraph one has been explained the same pa anies himself watch geh video so that he understands the context of ape2 telen raw2 paragraph two names of the most sincere words ko stalked ko nyapres paragraph three ethics word brother awokwokwok mending ngaca first
26,bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,speak according to the facts anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang good morning batter up 100m views choose well
27,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well
28,itu anak anies emang cantik banget senyum,that's really pretty anies kid smiling
29,anies selalu komitmen wujud ubah positif baik masayaarakatnya negara,anies is always committed to changing the positive form of both the people of the country
30,menang anies gub dki klaim penuh gerindaria baik dukung modal logistik sungguh sombong menghilantidakan jasa2 partai2 relawan2 rakyat dki pilagiub dki lebih jasa,win anies gub dki claim full of good gerindaria support capital logistics really arrogant demolish the services of the people's volunteer parties dki pilagiub dki more services
31,lama masa jabat gubernur anies pimpin bagai proyek bangun sejahtera rakyat,the long term of the governor anies lead like a project to build prosperous people
32,anies baswedan mengsajak warga tunjuk kuat bangsa semangat juang,anies baswedan invites residents to show strong national fighting spirit
33,pikir anies debat perdana sedikit mampu cipta ubah positif masayaarakat,thought anies the first debate was a little able to create positive changes in the community
34,anies antidakat alis adad pernah ada guna fakedeep aidasar buzzer polri suka buat fitnah,anies antidakat alis adad never existed for fakedeep aidasar buzzer polri likes to make slander
35,2019 anies jd gubernur ikut pilpres ada 2024 anies calon nasdem apa salah nasdem jeli negara butuh sosok anies rakyat ubah adil sosial seluruh rakyat indonesia,2019 anies jd governor took part in the presidential election there is 2024 anies nasdem candidate what is wrong nasdem jelly the state needs the figure of anies people change the social justice of all Indonesian people
36,bagai inisiatif mengembantidakan jakarta anies jadi contoh nyata banyak orang,like an initiative to implant Jakarta anies so a real example of many people
37,ordal anies profesional integritas,ordal anies professional integrity
38,anies baswedan muhaimin iskandar dong indonesia lebih baik,anies baswedan muhaimin iskandar dong indonesia better
39,debat banyak buah pikir anies pada akhir memang benarbenar manfaat cerdas warga negara,debate many pieces of thinking anies at the end is really the benefits of smart citizens
40,udah rahasia umum lah ga usah tutup bagaimana anies menikamuati politik identitas dia betulbetul ambil untung,"already an open secret, don't you need to close how anies marries his identity politics is really taking advantage"
41,anies baswedan tuding capres banyak janji timnas amin janji ukur,"anies baswedan pointed the finger at the presidential candidate, many promises from the national team, amen promise to measure"
42,org cerdas paham apa sampai pak anies klo otak cetek males mikir nilai njelimet,smart people understand what to pack anies clo shallow brain males think the value of njelimet
43,bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,speak according to the facts anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang good morning batter up 100m views choose well
44,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well
45,buzzerrp paslon no 2 habis akal amp narasi serang anies makanya pakai methode fitnah receh,buzzerrp paslon no. 2 is out of sense & narrative attack anies so use the method of slander for change
46,anies bangun jakarta lebih lanjut ramah lintidakungan pasti tumbuh kota beri manfaat seluruh warga,anies wake up jakarta further friendly lintidakungan sure to grow the city benefits all residents
47,janji tunai tidak nyapres lama masa jabat gub dki kalau selesai selesai janji mission accomplished samap kpn pak anies nyapres kl tiap priode kalah terus amp nyapres terus etika koyol tau,"the promise of cash is not the long term of office of the dki gub when it is finished the promise of mission accomplished even though kpn pak anies nyapres kl every priode loses, then amp nyapres continues to be ethical koyol tau"
48,foodeatate gagal pesawat tempur rongsokanhutang kemenhan trilyunan bentuk bengis 270 juta lebih rakyat indonesia saran tim tkn banyak cermin serang pak anies akhlak kalian pada benar,foodeatate failed wreckage fighter aircraft debts trillions of forms of cruelty 270 million more Indonesians team advice tkn many mirrors attack pak anies your morals on the right
49,ga bang aman anies pernah tegor rijik suruh bayar denda kok waktu buat kerumun pas covid bukti,ga bang aman anies once told Rijik to pay a fine for the complexity of the covid proof pass
50,lagi gak bahas dki debat jujur udah lunak sama anies siap terima kemuntidakinan jadi presiden ngomong gitu baca ttg berita kontrak politik anyway di twit awal dki negara,again not discussing dki honest debate is already soft with anies ready to accept luck so the president said that read about political contract news anyway in the initial tweet from the state
51,iya kok disurvey kok unggul,yes how come it's surveyed how come it's superior
52,buni yani kata potong video pidato ahok tim cybernya jadi ketimbang anies tak punya masa lebih bertanggungjawab yang gera kelompok brutal 212,buni yani said cut the video of the speech of ahok the cyber team so that instead of anies did not have more responsible time that the brutal group 212
53,la emang usung anies pkb nasdem oposaudarii,la emang usung anies pkb nasdem oposaudarii
54,buzzer anies follower ribu klo tweet bayar,buzzer anies follower thousand klo tweet pay
55,bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,speak according to the facts anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang good morning batter up 100m views choose well
56,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well
57,anies bagus sebenernya kunci sih ka belakang ga ngapa2in kalau aniesnya busuk baru bahaya kalau presiden skrg ga berani komen kasar khawatir kenapa2,"anies is good, actually, the key is that the back is not doing anything if the anies is rotten, then it's dangerous if the president doesn't dare to make rude comments and worry about why"
58,gak layak jadi presiden pantesan gak pernah menang dulu dukung hanya 2 pilih sekarang anies paling layak semua,unfit to be president of Pantesan never win first support only 2 vote now anies most feasible all
59,dulu sih 2 kali milih sekarang sih udah makin yakin pilih anies,i used to choose twice now already more sure to choose anies
60,anies baswedan tuding capres banyak janji timnas amin janji ukur,"anies baswedan pointed the finger at the presidential candidate, many promises from the national team, amen promise to measure"
61,anies baswedan tuding capres banyak janji timnas amin janji ukur,"anies baswedan pointed the finger at the presidential candidate, many promises from the national team, amen promise to measure"
62,wkwkwk dukung anies kek gin,wkwkwk support gin cake anies
63,waktu debat perdana pak anies tunjuk politis intelek setel jas peci,"at the time of the first debate, Mr. Anies pointed out the political intellect set suit capi"
64,sampai kiky malah bagus kok justru puji anies,until kiky is actually good how to actually praise anies
65,lihat debat anies selalu milik mampu rancang terap solusaudariolusi kreatif,see the anies debate always belongs to able to design a creative solution
66,lama debat anies milik banyak solusi kena masalah timpang jadi indonesia,long debate anies belong to many solutions hit by lame problems so Indonesia
67,bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,speak according to the facts anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang good morning batter up 100m views choose well
68,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well
69,lama debat nya anies kenal programprogram solusi masalah ada dalam penididikan transportasi lintidakungan,for a long time the debate anies know the problem solution program is in lintidakungan transportation education
70,seinget ku 212 yang datang makruf amin sama jokowi anies ga datang acara 212 monas,seinget ku 212 who came makruf amin sama jokowi anies ga come event 212 monas
71,anies dominasi debat pertama retorika baik nilai anies punya leluasa serang gagas kandidat karena usung visi ubah,anies dominance of the first debate good rhetoric the value of anies has the freedom to attack the candidate because the stretching vision changes
72,sama sama2 mantan napi korupsi jadi timses resamai nasional anies ga sih,together with ex-corruption inmates so the anies national resamai team
73,lama debat langsung anies tunjuk gambar diri orang terpelsajar,long live debate anies show a self-image of an intelligent person
74,haiii bestie saat debat perdana caprescawapres kemaren malam sisa momen dariamatis sang pangeran lupa kalau lagi ada area mimbar debat bukan tanding bola sang pangeran ngosngosan awokawokawok gaco anies semalem ordal,haiii bestie during the inaugural debate of the presidential candidate yesterday night the remaining moments of the prince's speech forgot that there was another area of the debate pulpit instead of the ball match of the prince ngosngosan awokawokokok gaco anies semalem ordal
75,anies si dablek habis uang negara 80 triliun tak atas polusi juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,anies the dablek ran out of state money 80 trillion over pollution juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views
76,ayo bli ketut maen2 lah jakarta biar rasa maju jakarta sejak pimpin anies,come on bli ketut maen2 lah jakarta let's feel forward jakarta since pimpin anies
77,lama debat anies tampil tenang jelas segala tanya atas masalah bahas debat,"for a long time, the anies debate appeared calm, clear, all questions on the issue of debate"
78,kasih fakta,love of facts
79,iya saya jdi malu cari presiden lo bukan ketua rt,yes i am too embarrassed to look for the president you are not the head of rt
80,debat anies hendak manfaat tren populer sosial media menyebarluaskan kritik utama kritik merdeka dapat,debate anies want the benefits of popular trends social media disseminate the main criticisms independent critics can
81,pak anies janji warga jakarta u jalan amanah samapai tuntas pimpin ibu kota jakarta apakh salah bang kl skrg pak anies niat bawa ubah apakh juga salah tidak etika bangrekam jejak bukti beliau tuntas amanah pimpin jkt,mr. Anies the promise of the citizens of Jakarta u Jalan Amanah until the completion of the leadership of the capital city of Jakarta Apakh is wrong to bang kl now Pak Anies the intention to change apakh is also wrong not to trace the ethics of his evidence to complete the mandate of Pimpin JKT
82,anies orang pimpin milik semangat luar biasa kenal solusi hadap bagai tantang,anies people lead belong to the extraordinary spirit know the solution to such a challenge
83,anies milik mampu eksekusi implementasi bijak laku sungguhsungguh capai hasil harap,anies belonging to able to execute the implementation of sage behavior really achieve the results hope
84,anies contoh nyata orang pimpin milik semangat tak goyah,anies a real example of a person who leads belongs to an unwavering spirit
85,analisa mu kalau jujur bkn benar benar pintar menganalisa demi si buah hati jadi sesuai hati nuranisebenarnya pa wowo emosi untuk tahan emosi nya ucap lah mas aniesamaas anies,"your analysis if you are honest, you are really smart to analyze for the sake of the baby so that it fits your conscience, actually pa wowo emotions to hold his emotions, say mas aniesamaas anies"
86,nilai anies hasil jelas masalah muncul dalam debat konkret,the value of anies the obvious result of the problem arising in the concrete debate
87,rekomendasi buku anak anak usia 17 tahun buku full gambarwarna buat koleksi tag besok senin selasa rabu kamis jumatberkah sabtu malam minggu malmingan selamat pagiii sarap makan selamat siang gaco anies surabaya gempa olivia hari ibu dana ginting desember,book recommendations for children aged 17 years old full-color picture books for tag collections tomorrow Monday Tuesday Friday Friday evening Sunday Malmingan good morningii sarap makan good afternoon gaco anies surabaya earthquake olivia mother's day dana ginting december
88,anies sosok milik tekad luar biasa hadap rintang menghadangnya,anies figure belonging to extraordinary determination to face the obstacles blocking him
89,anies selalu tunjuk teguh tekad luar biasa cari solusi wujud visi misi maju daerah,anies always shows great determination to find solutions to realize the vision and mission of advancing the region
90,pakar komunikasi politik universitas brawijaya verdi firmantoro nilai anies capres runut sampai materi debat,political communication expert brawijaya verdi university firmantoro value anies capres track to debate material
91,komitmen baik bangun anies cipta landas masa depan lebih baik,good commitment build anies create a better future
92,takut banget da anies jadi presiden yang darah sumbar malu sama kengototan bela,i'm really afraid of da anies being a president whose blood is a source of shame and defensiveness
93,waktu uas sadar kita pilih sandal jepit bakiak sama buruk harus tetap pilih sekarang anies lebih punya ide gagas sandal jepit tinggal,time uas aware we choose clog flip-flops just as bad must still choose now anies more have the idea of sticking flip-flops stay
94,lihat debat nilau anies pimpin selalu milik solusi hadap bagai rintang,see the debate of the value of anies pimpin always belongs to the solution facing like obstacles
95,sangat lihat debat capres 2024 anies baswedan capres bisa jawab tanya jawab muas,really see the 2024 presidential debate anies baswedan presidential candidate can answer questions and answers muas
96,gabisa cari salah anies sampe salah dukung cari mo milih presiden mo milih dukung,gabisa cari salah anies sampai salah dukung cari mo milih Presiden mo milih dukung
97,semua omong anies ngibul program program amburadul juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,all talk anies ngibul program amburadul program juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views
98,debat capres anies baswedan tanggap nyata argumen sangat bobot tentu muas rakyat,debate presidential candidate anies baswedan real responsiveness very weighty argument of course muas rakyat
99,klo ulama2 tahu jejak digital pak anies waktu wawancara najwa shihabselama pak nyapres tidak maju nyapresternyata waktu debat pojok pak mosok sih orang intidakar janji gitu dukung tak iye,klo ulama2 know the digital footprint of pak anies at the time of the interview najwa shihabas long as pak nyanyapres not advanced nyapresternyata time of debate corner pak mosok anyway intidakar people promise so support tak iye
100,hanya dapat anggota dpr psi jadi pegang yah wakakaka kamu tnton video fullnya youtube justru anies jegal anggar makanya tonton youtube selesai,can only be a member of dpr psi so hold it well wakakaka you tnton full video youtube actually anies jegal fencing so watch youtube finished
101,anies jago debat jago ngeles kalau tanya jawabanya mutar2 spy ngeles kata yang kerja bajing bohong etika yang usung jadi gubernur mata najwa janji calon diri jk juga mecalonkan diri,anies jago debat jago ngeles if the question and answer is mutar2 spy ngeles the word that works squirrels lies ethics that stretches so the governor of the eye promises that the candidate will also run for office
102,ahok produk masuk anies,ahok anies entry products
103,anies the legend of avathar sang kendali angin,anies the legend of avathar the wind control
104,iyaaasambil jilatin lubang pantatadmin socmed emang otak sentidaklek,iyaaasambil lickingin buttholeadmin socmed emang otak sentidaklek
105,kalau balik tanya pak bagaimana tanggap hadap anies jawab sorry ni ye asumsi awokwokwok,"if you ask back, sir, how to respond to anies, say sorry, this is the assumption of awokwokwok"
106,anies baswedan sebut tak tahan jadi oposaudarii perintah nyata lontar debat perdana capres ban partai gerindaria,anies baswedan said it could not stand to be an oposaudarii real order to throw the first debate of the presidential candidate tire party gerindaria
107,anies sindir tak tahan jadi oposaudarii nusron wahid rekonsiliasi nasional,anies sarcasm can't stand being oposaudarii nusron wahid national reconciliation
108,resamai dukung uas harus pakta integritas harus laksana anies baswedan,resamai dukung uas must pact integrity must be like anies baswedan
109,hari debat capres no urut 1 anies baswedan unjung ustadz abdul somad riau adapun capres nomor urut 2 subianto nyanyi joget sama alumni akamuil presiden ri 6 susilo bambang ysudahoyono,debate day presidential candidate no sequence 1 anies baswedan unjung ustadz abdul somad riau as for presidential candidate number sequence 2 subianto sing joget with alumni akamuil real president 6 susilo bambang ysudahoyono
110,antara anies ama wowo emang sama sama bego apa gimana tolak lupa,between anies ama wowo is the same as bego what about refusing to forget
111,serang balik anies strike,strike back anies strike
112,abraham samad gugat pilih jd presiden kelleher olivia anies adidas daesang gaco surabaya selamat pagi gempa ginting dana brighton moldova molly pilih baik first lady,abraham samad lawsuit choose jd president kelleher olivia anies adidas daesang gaco surabaya good morning earthquake ginting dana brighton moldova molly choose good first lady
113,biasaaa buzzer mahh kalau gak nemu lemah anies akhir bikin2 hasut kalau engga gak makan,biasaaa buzzer mahh if you don't find a weak anies end up making incitement if you don't eat
114,ibarat tanding sepak bola suporter kalah kecewangomel bahagia cari cari salah musuh yang alami kubu dukung team anies yng bahagia ini,is like a football match the supporters lose kecewangomel happy find one of the enemies who are natural strongholds to support this happy anies team
115,genuinely nanya misal aku pilih aniesamauhaimin aku ga pilih legislatif pks nasdem nya contoh pks ruu nya problematik gitu gimana,genuinely ask for example I choose aniesamauhaimin I don't choose the legislature pks nasdem his example pks ruu his problematic like that
116,jelas tak level laaah mbak pak anies tuuuh capres sedantidakan bang fahri cuman juru bicara kl buat tweet tuuuh pak baru tuuuh level pak aniessama2 capres cerdas dikit berhusnudzon napa siih mbak kata nya pilpres gembiralupa yaa gemoy,clearly not level laaah mbak pak anies tuuuh capres sedantidakan bang fahri cuman kl spokesman for tweet tuuuh pak baru tuuuh level pak aniessama2 little intelligent capres napa siih nudzon mbak kata nya pilpres gembiralupa yaa gemoy
117,anies antidakuh tega hukum padahal para dukung masalah berani tego gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,anies antidakuh tega hukum even though the supporters support the problem of dare tego gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose either melania bangtan debut
118,mmmmkayaknya ngga yakin sama kualitas capres dukung butuh bawa2 nama orang delusi anda lebih baik anies wake up saudara ikhlas hati baik indonesia seluruh biar baik yang pilih,"mmmm, I don't think I'm sure the quality of the presidential candidate support needs to bring the name of your delusional people better anies wake up brother sincerely good heart Indonesia all around so it's good to choose"
119,anies sosok capres tidak milik adab orang lebih tua gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,anies figure of the presidential candidate does not belong to the manners of older people gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose well melania bangtan debut
120,macam serang anies lalu anies nampol balik woiii,like attack anies then anies nampol back woiii
121,jadi anggota mrk yang bunuh kan 6 orang udah bunuh ga dapet jabat anies ga nolong klo mrk mau nyoblos dukung cm hak warga negara mau golput hak mrk lama mrk bukan genocide supporters or genocide actors gak kasih jabat mrk ga bsa buat ap2,being a member of MRK who killed 6 people already killed ga dapet jabat anies ga nolong klo mrk want nyoblos support cm citizen rights want golput rights mrk lama mrk not genocide supporters or genocide actors do not love jabat mrk ga bsa for ap2
122,anies selalu jebak asumsi pribadi ada dukung bukti fakta gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,anies always trap personal assumptions there is evidence supporting facts gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose well melania bangtan debut
123,ga yang peduli org2 kamu50 puja riziq soal ga usah turun suara anies org2 kaya riziq ikut,no one cares about your org250 puja riziq about not having to go down anies voice org2 rich in riziq come along
124,jugan suuzon bang orang paling ikhlas pak gak muntidakin main cara2 kotor itu pak ikhlas kalau tidak pilih pak ikhlas klo anies pilih tapi kok aku percaya 99 sama statemt abang,also suuzon bang the most sincere person sir not muntidakin playing dirty ways sir sincere if you don't choose sir sincere klo anies choose but why do I believe 99 is the same statemt brother
125,sukasuka orang lah mau milih anies kaga lucu banget dukung anies tukang guilttrip orang liat noh swing voters belum mau ngevote anies awokwok,sukasuka orang lah mau milih anies kaga really funny support anies tukang guilttrip orang liat noh swing voter tidak mau ngevote anies awokwok
126,anies lihat munafik kait sikap lanjut ikn gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,anies look hypocritical hook attitude further ikn gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose well melania bangtan debut
127,anies sama jadi seolah2 kerja sama padahal ngalir itu,anies is the same as if it were cooperation even though it flows
128,moga anies menang amin aamiin amin gaes,let's hope anies wins amen aamiin amen gaes
129,agama islam mengsajarkan untuk bakti dua orang tua dinding adidas karina surabaya anies daesang gempa islam,islamic religion aligns for the devotion of two parents adidas wall karina surabaya anies daesang earthquake islamic
130,akhir anies kena batu ucap kait udara ber ktapi gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,end anies hit a rock say air hook ber ktapi gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose well melania bangtan debut
131,celana panjang chino pria murah kualitas dapat cashback 40 shopee video anies gaco daesang surabaya gempa ayo lihat video shopee video,men's chino trousers cheap quality can cashback 40 shopee video anies gaco daesang surabaya earthquake let's see video shopee video
132,jelas lebih pantes anies,clearly more pantes anies
133,serang yang kerja si memed hari buzzer ayah semua medsos debat kpu serang kalap sekali rl nyata ada hasil cenderung negatif anies pelan2 banyak bicara semua kalangantitik cerah,attack that work memed day buzzer dad all medsos debate kpu attack once real rl there are results tend to be negative anies slowly talk a lot all bright kalangantitik
134,panggung debat panggung ny sama anies klo kalah panggung langsung ulti nya pake surat lah lah lah nyari kunci pokok hahahahaaa badut politik,stage debate stage ny sama anies klo lose stage directly ultinya use letter lah lah nyari key staple hahahahaaa political clown
135,tinggal dukung anies baswedan lebih mampu ayom rakyat indonesia depan,just support anies baswedan more able to ayom the people of Indonesia
136,singgung soal janji tak maju ada pilpres anies komitmen dki,allude to the promise of no progress there is a presidential election anies dki commitment
137,anies memang gak percaya kata2 nya tukang obral janji,"anies did not believe his words, the salesman promised"
138,parah banget cantik udah gitu keren dukung pak anies sempurna,"it's so beautiful, it's so cool to support Mr. Anies perfectly"
139,haha janji apa batas hak orang untuk abdi negara emang jamin hak hidup anies baswedan sedih sekali kualitas pikir makin turun,"haha promise what is the limit of people's rights for servants of the country, guarantee the right to life anies baswedan sadly the quality of thought is getting down"
140,fans bole otak pakai nyata jadi hoax hoax kalian buat jd nyata nonton bnyk,fans bole brains use real so hoax hoax you make jd real watch bnyk
141,main aman gimana jauh pikir awam itu jelas banget kok sikap anies ttg ikn apa lo doang ga faham,playing peacefully how far the public mind is clear how come the attitude of anies about what ikn lo doang don't understand
142,ayoviralkan rekam jejak anies rasayaid baswedan pimpin dki jkt,ayoviralkan track record anies rasayaid baswedan pimpin dki jkt
143,nama gerinda naik pdhl lebih 10th lalu pasang mega seolaholah gerindaria lebih kecil anies njirrtt,the name of the grinder goes up pdhl over 10th then installs mega as if the smaller grinder anies njirrtt
144,betulcocok jadi bapak bangsa king maker gak cocok jadi presidenpresiden biar cocok2 sajaanies,properly fit to be the father of the king maker nation is not suitable to be the president so that it matches the sajaanies
145,hatihatianies dekat abdsomad,hatihatianies near abdsomad
146,anies cerdas amp jujur fakta,anies intelligent & honest facts
147,pada takut sama fpi dah organisasi udah bubar kok takut sama ideologi emang power besar apa pas anies jabat jadi gub dki ngadain christmas carol gitu mantan pentol fpi rusuh aduh,in fear of the same fpi already the organization has disbanded why are you afraid of the same ideology emang great power what fits anies jabat so gub dki ngadain christmas carol so ex pentol fpi riot ouch
148,ampun ama ni orang benci fpi dan gerombol nya kena anies dulu kena tuduh mobilisasi 212 keluarga cikeas eh pangeran cikeas kalah putar pertama kena anies,sorry ama this people hate fpi and the horde got anies first got accused of mobilizing 212 families cikeas eh prince cikeas lost the first round of getting anies
149,lama tuan timbul hidup anies gausah nyapres gitu etika gak bicara2 soal etika kaya tuan plongo lebih fahan sudah menang 2x tuan timbul,old sir arise live anies gausah nyapres gitu ethic not talking about ethics rich sir plongo more fahan has won 2x sir arise
150,mentidakaitkan apbd dki puluh trilyun mampu anies atas polusi padahal masalah polusi jkt bukan soal duit tentang wenang perintah pusat stupid soal lintidakungan yang harus koreksi,disassociate apbd dki tens of trillions able to anies over pollution even though the problem of JKT pollution is not a matter of money about the authority of the stupid central order about lintidakungan that must be corrected
151,anies lbh baik dibandintidakan kamu hya dewan jilat amp munafik,anies lbh well dibandintidakan you hya hall lick amp hypocrite
152,hukum tegak semua capres anies singgung gibran papar visi misi soal tega hukum,"the law upholds all presidential candidates, anies alludes to gibran, explains the vision and mission of the law"
