full_text,tweet_english,klasifikasi
bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,speak according to the facts anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
buzzerrp paslon no 2 habis akal amp narasi serang anies makanya pakai methode fitnah receh,buzzerrp paslon no. 2 is out of sense & narrative attack anies so use the method of slander for change,Netral
anies bangun jakarta lebih lanjut ramah lintidakungan pasti tumbuh kota beri manfaat seluruh warga,anies wake up jakarta further friendly lintidakungan sure to grow the city benefits all residents,Positif
janji tunai tidak nyapres lama masa jabat gub dki kalau selesai selesai janji mission accomplished samap kpn pak anies nyapres kl tiap priode kalah terus amp nyapres terus etika koyol tau,"the promise of cash is not the long term of office of the dki gub when it is finished the promise of mission accomplished even though kpn pak anies nyapres kl every priode loses, then amp nyapres continues to be ethical koyol tau",Positif
foodeatate gagal pesawat tempur rongsokanhutang kemenhan trilyunan bentuk bengis 270 juta lebih rakyat indonesia saran tim tkn banyak cermin serang pak anies akhlak kalian pada benar,foodeatate failed wreckage fighter aircraft debts trillions of forms of cruelty 270 million more Indonesians team advice tkn many mirrors attack pak anies your morals on the right,Positif
ga bang aman anies pernah tegor rijik suruh bayar denda kok waktu buat kerumun pas covid bukti,ga bang aman anies once told Rijik to pay a fine for the complexity of the covid proof pass,Positif
lagi gak bahas dki debat jujur udah lunak sama anies siap terima kemuntidakinan jadi presiden ngomong gitu baca ttg berita kontrak politik anyway di twit awal dki negara,again not discussing dki honest debate is already soft with anies ready to accept luck so the president said that read about political contract news anyway in the initial tweet from the state,Positif
iya kok disurvey kok unggul,yes how come it's surveyed how come it's superior,Positif
buni yani kata potong video pidato ahok tim cybernya jadi ketimbang anies tak punya masa lebih bertanggungjawab yang gera kelompok brutal 212,buni yani said cut the video of the speech of ahok the cyber team so that instead of anies did not have more responsible time that the brutal group 212,Negatif
la emang usung anies pkb nasdem oposaudarii,la emang usung anies pkb nasdem oposaudarii,Netral
buzzer anies follower ribu klo tweet bayar,buzzer anies follower thousand klo tweet pay,Netral
bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,speak according to the facts anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
anies bagus sebenernya kunci sih ka belakang ga ngapa2in kalau aniesnya busuk baru bahaya kalau presiden skrg ga berani komen kasar khawatir kenapa2,"anies is good, actually, the key is that the back is not doing anything if the anies is rotten, then it's dangerous if the president doesn't dare to make rude comments and worry about why",Negatif
gak layak jadi presiden pantesan gak pernah menang dulu dukung hanya 2 pilih sekarang anies paling layak semua,unfit to be president of Pantesan never win first support only 2 vote now anies most feasible all,Positif
dulu sih 2 kali milih sekarang sih udah makin yakin pilih anies,i used to choose twice now already more sure to choose anies,Positif
anies baswedan tuding capres banyak janji timnas amin janji ukur,"anies baswedan pointed the finger at the presidential candidate, many promises from the national team, amen promise to measure",Positif
anies baswedan tuding capres banyak janji timnas amin janji ukur,"anies baswedan pointed the finger at the presidential candidate, many promises from the national team, amen promise to measure",Positif
wkwkwk dukung anies kek gin,wkwkwk support gin cake anies,Netral
waktu debat perdana pak anies tunjuk politis intelek setel jas peci,"at the time of the first debate, Mr. Anies pointed out the political intellect set suit capi",Positif
sampai kiky malah bagus kok justru puji anies,until kiky is actually good how to actually praise anies,Positif
lihat debat anies selalu milik mampu rancang terap solusaudariolusi kreatif,see the anies debate always belongs to able to design a creative solution,Positif
lama debat anies milik banyak solusi kena masalah timpang jadi indonesia,long debate anies belong to many solutions hit by lame problems so Indonesia,Negatif
bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,speak according to the facts anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
lama debat nya anies kenal programprogram solusi masalah ada dalam penididikan transportasi lintidakungan,for a long time the debate anies know the problem solution program is in lintidakungan transportation education,Negatif
seinget ku 212 yang datang makruf amin sama jokowi anies ga datang acara 212 monas,seinget ku 212 who came makruf amin sama jokowi anies ga come event 212 monas,Netral
anies dominasi debat pertama retorika baik nilai anies punya leluasa serang gagas kandidat karena usung visi ubah,anies dominance of the first debate good rhetoric the value of anies has the freedom to attack the candidate because the stretching vision changes,Positif
sama sama2 mantan napi korupsi jadi timses resamai nasional anies ga sih,together with ex-corruption inmates so the anies national resamai team,Netral
lama debat langsung anies tunjuk gambar diri orang terpelsajar,long live debate anies show a self-image of an intelligent person,Positif
haiii bestie saat debat perdana caprescawapres kemaren malam sisa momen dariamatis sang pangeran lupa kalau lagi ada area mimbar debat bukan tanding bola sang pangeran ngosngosan awokawokawok gaco anies semalem ordal,haiii bestie during the inaugural debate of the presidential candidate yesterday night the remaining moments of the prince's speech forgot that there was another area of the debate pulpit instead of the ball match of the prince ngosngosan awokawokokok gaco anies semalem ordal,Netral
anies si dablek habis uang negara 80 triliun tak atas polusi juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,anies the dablek ran out of state money 80 trillion over pollution juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,Netral
ayo bli ketut maen2 lah jakarta biar rasa maju jakarta sejak pimpin anies,come on bli ketut maen2 lah jakarta let's feel forward jakarta since pimpin anies,Netral
lama debat anies tampil tenang jelas segala tanya atas masalah bahas debat,"for a long time, the anies debate appeared calm, clear, all questions on the issue of debate",Positif
kasih fakta,love of facts,Positif
iya saya jdi malu cari presiden lo bukan ketua rt,yes i am too embarrassed to look for the president you are not the head of rt,Netral
debat anies hendak manfaat tren populer sosial media menyebarluaskan kritik utama kritik merdeka dapat,debate anies want the benefits of popular trends social media disseminate the main criticisms independent critics can,Positif
pak anies janji warga jakarta u jalan amanah samapai tuntas pimpin ibu kota jakarta apakh salah bang kl skrg pak anies niat bawa ubah apakh juga salah tidak etika bangrekam jejak bukti beliau tuntas amanah pimpin jkt,mr. Anies the promise of the citizens of Jakarta u Jalan Amanah until the completion of the leadership of the capital city of Jakarta Apakh is wrong to bang kl now Pak Anies the intention to change apakh is also wrong not to trace the ethics of his evidence to complete the mandate of Pimpin JKT,Negatif
anies orang pimpin milik semangat luar biasa kenal solusi hadap bagai tantang,anies people lead belong to the extraordinary spirit know the solution to such a challenge,Positif
anies milik mampu eksekusi implementasi bijak laku sungguhsungguh capai hasil harap,anies belonging to able to execute the implementation of sage behavior really achieve the results hope,Positif
anies contoh nyata orang pimpin milik semangat tak goyah,anies a real example of a person who leads belongs to an unwavering spirit,Positif
analisa mu kalau jujur bkn benar benar pintar menganalisa demi si buah hati jadi sesuai hati nuranisebenarnya pa wowo emosi untuk tahan emosi nya ucap lah mas aniesamaas anies,"your analysis if you are honest, you are really smart to analyze for the sake of the baby so that it fits your conscience, actually pa wowo emotions to hold his emotions, say mas aniesamaas anies",Positif
nilai anies hasil jelas masalah muncul dalam debat konkret,the value of anies the obvious result of the problem arising in the concrete debate,Positif
rekomendasi buku anak anak usia 17 tahun buku full gambarwarna buat koleksi tag besok senin selasa rabu kamis jumatberkah sabtu malam minggu malmingan selamat pagiii sarap makan selamat siang gaco anies surabaya gempa olivia hari ibu dana ginting desember,book recommendations for children aged 17 years old full-color picture books for tag collections tomorrow Monday Tuesday Friday Friday evening Sunday Malmingan good morningii sarap makan good afternoon gaco anies surabaya earthquake olivia mother's day dana ginting december,Positif
anies sosok milik tekad luar biasa hadap rintang menghadangnya,anies figure belonging to extraordinary determination to face the obstacles blocking him,Positif
anies selalu tunjuk teguh tekad luar biasa cari solusi wujud visi misi maju daerah,anies always shows great determination to find solutions to realize the vision and mission of advancing the region,Positif
pakar komunikasi politik universitas brawijaya verdi firmantoro nilai anies capres runut sampai materi debat,political communication expert brawijaya verdi university firmantoro value anies capres track to debate material,Netral
komitmen baik bangun anies cipta landas masa depan lebih baik,good commitment build anies create a better future,Positif
takut banget da anies jadi presiden yang darah sumbar malu sama kengototan bela,i'm really afraid of da anies being a president whose blood is a source of shame and defensiveness,Negatif
waktu uas sadar kita pilih sandal jepit bakiak sama buruk harus tetap pilih sekarang anies lebih punya ide gagas sandal jepit tinggal,time uas aware we choose clog flip-flops just as bad must still choose now anies more have the idea of sticking flip-flops stay,Positif
lihat debat nilau anies pimpin selalu milik solusi hadap bagai rintang,see the debate of the value of anies pimpin always belongs to the solution facing like obstacles,Negatif
sangat lihat debat capres 2024 anies baswedan capres bisa jawab tanya jawab muas,really see the 2024 presidential debate anies baswedan presidential candidate can answer questions and answers muas,Positif
gabisa cari salah anies sampe salah dukung cari mo milih presiden mo milih dukung,gabisa cari salah anies sampai salah dukung cari mo milih Presiden mo milih dukung,Netral
semua omong anies ngibul program program amburadul juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,all talk anies ngibul program amburadul program juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,Netral
debat capres anies baswedan tanggap nyata argumen sangat bobot tentu muas rakyat,debate presidential candidate anies baswedan real responsiveness very weighty argument of course muas rakyat,Positif
klo ulama2 tahu jejak digital pak anies waktu wawancara najwa shihabselama pak nyapres tidak maju nyapresternyata waktu debat pojok pak mosok sih orang intidakar janji gitu dukung tak iye,klo ulama2 know the digital footprint of pak anies at the time of the interview najwa shihabas long as pak nyanyapres not advanced nyapresternyata time of debate corner pak mosok anyway intidakar people promise so support tak iye,Negatif
hanya dapat anggota dpr psi jadi pegang yah wakakaka kamu tnton video fullnya youtube justru anies jegal anggar makanya tonton youtube selesai,can only be a member of dpr psi so hold it well wakakaka you tnton full video youtube actually anies jegal fencing so watch youtube finished,Positif
anies jago debat jago ngeles kalau tanya jawabanya mutar2 spy ngeles kata yang kerja bajing bohong etika yang usung jadi gubernur mata najwa janji calon diri jk juga mecalonkan diri,anies jago debat jago ngeles if the question and answer is mutar2 spy ngeles the word that works squirrels lies ethics that stretches so the governor of the eye promises that the candidate will also run for office,Netral
ahok produk masuk anies,ahok anies entry products,Netral
anies the legend of avathar sang kendali angin,anies the legend of avathar the wind control,Netral
iyaaasambil jilatin lubang pantatadmin socmed emang otak sentidaklek,iyaaasambil lickingin buttholeadmin socmed emang otak sentidaklek,Netral
kalau balik tanya pak bagaimana tanggap hadap anies jawab sorry ni ye asumsi awokwokwok,"if you ask back, sir, how to respond to anies, say sorry, this is the assumption of awokwokwok",Negatif
anies baswedan sebut tak tahan jadi oposaudarii perintah nyata lontar debat perdana capres ban partai gerindaria,anies baswedan said it could not stand to be an oposaudarii real order to throw the first debate of the presidential candidate tire party gerindaria,Positif
anies sindir tak tahan jadi oposaudarii nusron wahid rekonsiliasi nasional,anies sarcasm can't stand being oposaudarii nusron wahid national reconciliation,Netral
resamai dukung uas harus pakta integritas harus laksana anies baswedan,resamai dukung uas must pact integrity must be like anies baswedan,Netral
hari debat capres no urut 1 anies baswedan unjung ustadz abdul somad riau adapun capres nomor urut 2 subianto nyanyi joget sama alumni akamuil presiden ri 6 susilo bambang ysudahoyono,debate day presidential candidate no sequence 1 anies baswedan unjung ustadz abdul somad riau as for presidential candidate number sequence 2 subianto sing joget with alumni akamuil real president 6 susilo bambang ysudahoyono,Positif
antara anies ama wowo emang sama sama bego apa gimana tolak lupa,between anies ama wowo is the same as bego what about refusing to forget,Netral
serang balik anies strike,strike back anies strike,Netral
abraham samad gugat pilih jd presiden kelleher olivia anies adidas daesang gaco surabaya selamat pagi gempa ginting dana brighton moldova molly pilih baik first lady,abraham samad lawsuit choose jd president kelleher olivia anies adidas daesang gaco surabaya good morning earthquake ginting dana brighton moldova molly choose good first lady,Positif
biasaaa buzzer mahh kalau gak nemu lemah anies akhir bikin2 hasut kalau engga gak makan,biasaaa buzzer mahh if you don't find a weak anies end up making incitement if you don't eat,Negatif
ibarat tanding sepak bola suporter kalah kecewangomel bahagia cari cari salah musuh yang alami kubu dukung team anies yng bahagia ini,is like a football match the supporters lose kecewangomel happy find one of the enemies who are natural strongholds to support this happy anies team,Positif
genuinely nanya misal aku pilih aniesamauhaimin aku ga pilih legislatif pks nasdem nya contoh pks ruu nya problematik gitu gimana,genuinely ask for example I choose aniesamauhaimin I don't choose the legislature pks nasdem his example pks ruu his problematic like that,Positif
jelas tak level laaah mbak pak anies tuuuh capres sedantidakan bang fahri cuman juru bicara kl buat tweet tuuuh pak baru tuuuh level pak aniessama2 capres cerdas dikit berhusnudzon napa siih mbak kata nya pilpres gembiralupa yaa gemoy,clearly not level laaah mbak pak anies tuuuh capres sedantidakan bang fahri cuman kl spokesman for tweet tuuuh pak baru tuuuh level pak aniessama2 little intelligent capres napa siih nudzon mbak kata nya pilpres gembiralupa yaa gemoy,Positif
anies antidakuh tega hukum padahal para dukung masalah berani tego gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,anies antidakuh tega hukum even though the supporters support the problem of dare tego gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose either melania bangtan debut,Netral
mmmmkayaknya ngga yakin sama kualitas capres dukung butuh bawa2 nama orang delusi anda lebih baik anies wake up saudara ikhlas hati baik indonesia seluruh biar baik yang pilih,"mmmm, I don't think I'm sure the quality of the presidential candidate support needs to bring the name of your delusional people better anies wake up brother sincerely good heart Indonesia all around so it's good to choose",Positif
anies sosok capres tidak milik adab orang lebih tua gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,anies figure of the presidential candidate does not belong to the manners of older people gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose well melania bangtan debut,Positif
macam serang anies lalu anies nampol balik woiii,like attack anies then anies nampol back woiii,Netral
jadi anggota mrk yang bunuh kan 6 orang udah bunuh ga dapet jabat anies ga nolong klo mrk mau nyoblos dukung cm hak warga negara mau golput hak mrk lama mrk bukan genocide supporters or genocide actors gak kasih jabat mrk ga bsa buat ap2,being a member of MRK who killed 6 people already killed ga dapet jabat anies ga nolong klo mrk want nyoblos support cm citizen rights want golput rights mrk lama mrk not genocide supporters or genocide actors do not love jabat mrk ga bsa for ap2,Negatif
anies selalu jebak asumsi pribadi ada dukung bukti fakta gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,anies always trap personal assumptions there is evidence supporting facts gaco olivia jill biden daesang earthquake adidas surabaya batter up 100m views choose well melania bangtan debut,Positif
ga yang peduli org2 kamu50 puja riziq soal ga usah turun suara anies org2 kaya riziq ikut,no one cares about your org250 puja riziq about not having to go down anies voice org2 rich in riziq come along,Positif
jugan suuzon bang orang paling ikhlas pak gak muntidakin main cara2 kotor itu pak ikhlas kalau tidak pilih pak ikhlas klo anies pilih tapi kok aku percaya 99 sama statemt abang,also suuzon bang the most sincere person sir not muntidakin playing dirty ways sir sincere if you don't choose sir sincere klo anies choose but why do I believe 99 is the same statemt brother,Positif
sukasuka orang lah mau milih anies kaga lucu banget dukung anies tukang guilttrip orang liat noh swing voters belum mau ngevote anies awokwok,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  09 HOURS 24 MINUTES 11 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,Positif
anies lihat munafik kait sikap lanjut ikn gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  09 HOURS 24 MINUTES 09 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,Positif
anies sama jadi seolah2 kerja sama padahal ngalir itu,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  09 HOURS 24 MINUTES 08 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,Positif
moga anies menang amin aamiin amin gaes,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  09 HOURS 24 MINUTES 07 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,Positif
agama islam mengsajarkan untuk bakti dua orang tua dinding adidas karina surabaya anies daesang gempa islam,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  09 HOURS 24 MINUTES 05 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,Positif
akhir anies kena batu ucap kait udara ber ktapi gaco olivia jill biden daesang gempa adidas surabaya batter up 100m views pilih baik melania bangtan debut,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  09 HOURS 24 MINUTES 04 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,Positif
celana panjang chino pria murah kualitas dapat cashback 40 shopee video anies gaco daesang surabaya gempa ayo lihat video shopee video,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  09 HOURS 24 MINUTES 03 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,Positif
jelas lebih pantes anies,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  09 HOURS 24 MINUTES 02 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,Positif
serang yang kerja si memed hari buzzer ayah semua medsos debat kpu serang kalap sekali rl nyata ada hasil cenderung negatif anies pelan2 banyak bicara semua kalangantitik cerah,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  09 HOURS 24 MINUTES 00 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,Positif
panggung debat panggung ny sama anies klo kalah panggung langsung ulti nya pake surat lah lah lah nyari kunci pokok hahahahaaa badut politik,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  09 HOURS 23 MINUTES 59 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,Positif
tinggal dukung anies baswedan lebih mampu ayom rakyat indonesia depan,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  09 HOURS 23 MINUTES 58 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,Positif
