userName,score,at,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label
Pengguna Google,1,2024-12-30 23:58:43,"Kurir J&T rekomendasi dari aplikasi ini, setiap kirim barang selalu ditanya apa isinya.... Pada awalnya lancar jaya kirim ke daerah tidak ada masalah, tp untuk bbrp kali ini J&T tidak memberikan struk dan pakat diminta taruh begitu saja & di pickup setelah beberapa jam. Yg jadi masalah sekarang paket saya tidak sampai kepada pembeli dan akan di kembalikan ke penjual yaitu saya, setelah masuk minggu kedua paket dibatalkan sistem padahal saya belum terima paket yg akan dikembalikan.. Bagaimana ini",kurir jt rekomendasi dari aplikasi ini setiap kirim barang selalu ditanya apa isinya pada awalnya lancar jaya kirim ke daerah tidak ada masalah tp untuk bbrp kali ini jt tidak memberikan struk dan pakat diminta taruh begitu saja  di pickup setelah beberapa jam yg jadi masalah sekarang paket saya tidak sampai kepada pembeli dan akan di kembalikan ke penjual yaitu saya setelah masuk minggu kedua paket dibatalkan sistem padahal saya belum terima paket yg akan dikembalikan bagaimana ini,kurir jt rekomendasi aplikasi kirim barang isinya lancar jaya kirim daerah tp bbrp kali jt struk pakat taruh pickup jam yg paket pembeli kembalikan penjual masuk minggu paket dibatalkan sistem terima paket yg dikembalikan,"['kurir', 'jt', 'rekomendasi', 'aplikasi', 'kirim', 'barang', 'isinya', 'lancar', 'jaya', 'kirim', 'daerah', 'tp', 'bbrp', 'kali', 'jt', 'struk', 'pakat', 'taruh', 'pickup', 'jam', 'yg', 'paket', 'pembeli', 'kembalikan', 'penjual', 'masuk', 'minggu', 'paket', 'dibatalkan', 'sistem', 'terima', 'paket', 'yg', 'dikembalikan']",kurir jt rekomendasi aplikasi kirim barang isi lancar jaya kirim daerah tp bbrp kali jt struk pakat taruh pickup jam yg paket beli kembali jual masuk minggu paket batal sistem terima paket yg kembali,negatif
Pengguna Google,5,2024-12-30 23:51:40,Ok,ok,ok,['ok'],ok,positif
Pengguna Google,5,2024-12-30 23:47:18,Good job ya,good job ya,good job ya,"['good', 'job', 'ya']",good job ya,positif
Pengguna Google,4,2024-12-30 22:42:39,Ok,ok,ok,['ok'],ok,positif
Pengguna Google,5,2024-12-30 20:33:22,Sangat membantu,sangat membantu,membantu,['membantu'],bantu,positif
Pengguna Google,5,2024-12-30 20:16:01,Apk nya mantap sangat recommended buat calon miliarder,apk nya mantap sangat recommended buat calon miliarder,apk nya mantap recommended calon miliarder,"['apk', 'nya', 'mantap', 'recommended', 'calon', 'miliarder']",apk nya mantap recommended calon miliarder,positif
Pengguna Google,4,2024-12-30 20:09:49,"Sementara 4 dulu bintangnya, kalo udah jalan dengan baik bisa dibtambah lagi 1 bintangnya.",sementara 4 dulu bintangnya kalo udah jalan dengan baik bisa dibtambah lagi 1 bintangnya,4 bintangnya kalo udah jalan dibtambah 1 bintangnya,"['4', 'bintangnya', 'kalo', 'udah', 'jalan', 'dibtambah', '1', 'bintangnya']",4 bintang kalo udah jalan dibtambah 1 bintang,positif
Pengguna Google,5,2024-12-30 20:02:58,"Sangat puas, dan sangat mmbantu",sangat puas dan sangat mmbantu,puas mmbantu,"['puas', 'mmbantu']",puas mmbantu,positif
Pengguna Google,5,2024-12-30 19:03:55,Senang sekali menggunakannya,senang sekali menggunakannya,senang menggunakannya,"['senang', 'menggunakannya']",senang guna,positif
Pengguna Google,5,2024-12-30 18:22:55,Baik,baik,,[],,positif
Pengguna Google,5,2024-12-30 17:28:33,Sangat membantu,sangat membantu,membantu,['membantu'],bantu,positif
Pengguna Google,5,2024-12-30 16:16:58,Baguss,baguss,baguss,['baguss'],baguss,positif
Pengguna Google,5,2024-12-30 16:14:45,Gooddd,gooddd,gooddd,['gooddd'],gooddd,positif
Pengguna Google,5,2024-12-30 15:56:17,Puas,puas,puas,['puas'],puas,positif
Pengguna Google,5,2024-12-30 15:34:19,kenapa proses penarikan dananya lama sekali🥺🥺,kenapa proses penarikan dananya lama sekali,proses penarikan dananya,"['proses', 'penarikan', 'dananya']",proses tari dana,positif
Pengguna Google,1,2024-12-30 15:32:34,"Pelayanan makin jelek, biaya admin makin gede. Masih lebih baik shopee ketimbang ini, cs ga ngasih solusi. Jelek bgt pelayanannya. Ga banget.",pelayanan makin jelek biaya admin makin gede masih lebih baik shopee ketimbang ini cs ga ngasih solusi jelek bgt pelayanannya ga banget,pelayanan jelek biaya admin gede shopee ketimbang cs ga ngasih solusi jelek bgt pelayanannya ga banget,"['pelayanan', 'jelek', 'biaya', 'admin', 'gede', 'shopee', 'ketimbang', 'cs', 'ga', 'ngasih', 'solusi', 'jelek', 'bgt', 'pelayanannya', 'ga', 'banget']",layan jelek biaya admin gede shopee ketimbang cs ga ngasih solusi jelek bgt layan ga banget,negatif
Pengguna Google,5,2024-12-30 14:32:52,Mudah di gunakan👍👍👍,mudah di gunakan,mudah,['mudah'],mudah,positif
Pengguna Google,5,2024-12-30 14:22:12,mantap,mantap,mantap,['mantap'],mantap,positif
Pengguna Google,1,2024-12-30 13:45:31,Parah ni sekarang tokopedia seller Lemot dan sering error. Chat CS jg makin lama. Walo potongan semakin tinggi,parah ni sekarang tokopedia seller lemot dan sering error chat cs jg makin lama walo potongan semakin tinggi,parah ni tokopedia seller lemot error chat cs jg walo potongan,"['parah', 'ni', 'tokopedia', 'seller', 'lemot', 'error', 'chat', 'cs', 'jg', 'walo', 'potongan']",parah ni tokopedia seller lot error chat cs jg walo potong,negatif
Pengguna Google,5,2024-12-30 12:09:44,mantab,mantab,mantab,['mantab'],mantab,positif
Pengguna Google,5,2024-12-30 11:42:08,Ok,ok,ok,['ok'],ok,positif
Pengguna Google,5,2024-12-30 11:40:51,semoga jualan nya berkah selalu,semoga jualan nya berkah selalu,semoga jualan nya berkah,"['semoga', 'jualan', 'nya', 'berkah']",moga jual nya berkah,positif
Pengguna Google,5,2024-12-30 10:22:07,Patah2 .......,patah2 ,patah2,['patah2'],patah2,positif
Pengguna Google,4,2024-12-30 09:34:08,"Cukup membantu bagi saya, karena pitur nya mudah di gunakan dan di pahami",cukup membantu bagi saya karena pitur nya mudah di gunakan dan di pahami,membantu pitur nya mudah pahami,"['membantu', 'pitur', 'nya', 'mudah', 'pahami']",bantu pitur nya mudah paham,positif
Pengguna Google,5,2024-12-30 09:30:35,Ukuran berat tolong dikasih pilihan ke Kg,ukuran berat tolong dikasih pilihan ke kg,ukuran berat tolong dikasih pilihan kg,"['ukuran', 'berat', 'tolong', 'dikasih', 'pilihan', 'kg']",ukur berat tolong kasih pilih kg,positif
Pengguna Google,5,2024-12-30 07:55:29,Mantap,mantap,mantap,['mantap'],mantap,positif
Pengguna Google,2,2024-12-30 06:51:26,"POTONGAN NYA GEDE BANGET 🤧🤧 PERTIMBANGKAN LAGI DONG , TOKOPEFIA PALING GEDE LOH , AYOLAH BISA BUAT NGEBANTU UMKM LOKAL JNGN MALAH DI NAIKIN POTONGAN NYA",potongan nya gede banget  pertimbangkan lagi dong  tokopefia paling gede loh  ayolah bisa buat ngebantu umkm lokal jngn malah di naikin potongan nya,potongan nya gede banget pertimbangkan tokopefia gede loh ayolah ngebantu umkm lokal jngn naikin potongan nya,"['potongan', 'nya', 'gede', 'banget', 'pertimbangkan', 'tokopefia', 'gede', 'loh', 'ayolah', 'ngebantu', 'umkm', 'lokal', 'jngn', 'naikin', 'potongan', 'nya']",potong nya gede banget timbang tokopefia gede loh ayo ngebantu umkm lokal jngn naikin potong nya,negatif
Pengguna Google,1,2024-12-30 06:32:13,"Jelek, jelel, jelek",jelek jelel jelek,jelek jelel jelek,"['jelek', 'jelel', 'jelek']",jelek jel jelek,negatif
Pengguna Google,5,2024-12-29 20:29:01,Good,good,good,['good'],good,positif
Pengguna Google,4,2024-12-29 18:47:49,Terimakasih,terimakasih,terimakasih,['terimakasih'],terimakasih,positif
Pengguna Google,4,2024-12-29 17:41:21,"Etalase toko tidak bisa diedit, tidak bisa ditambah, tidak bisa dihapus. Notifikasinya ada update aplikasi, tapi ketika dicek tidak ada update.",etalase toko tidak bisa diedit tidak bisa ditambah tidak bisa dihapus notifikasinya ada update aplikasi tapi ketika dicek tidak ada update,etalase toko diedit ditambah dihapus notifikasinya update aplikasi dicek update,"['etalase', 'toko', 'diedit', 'ditambah', 'dihapus', 'notifikasinya', 'update', 'aplikasi', 'dicek', 'update']",etalase toko edit tambah hapus notifikasi update aplikasi cek update,positif
Pengguna Google,5,2024-12-29 17:37:50,mantappp baguus sangat membantu,mantappp baguus sangat membantu,mantappp baguus membantu,"['mantappp', 'baguus', 'membantu']",mantappp baguus bantu,positif
Pengguna Google,5,2024-12-29 16:16:15,Semoga jadi jalan keberkahan amin,semoga jadi jalan keberkahan amin,semoga jalan keberkahan amin,"['semoga', 'jalan', 'keberkahan', 'amin']",moga jalan berkah amin,positif
Pengguna Google,5,2024-12-29 15:38:20,Good,good,good,['good'],good,positif
Pengguna Google,4,2024-12-29 14:09:13,Sepertinya ini aplikasi mengantarkan ku ke masa depan,sepertinya ini aplikasi mengantarkan ku ke masa depan,aplikasi mengantarkan ku,"['aplikasi', 'mengantarkan', 'ku']",aplikasi antar ku,positif
Pengguna Google,5,2024-12-29 13:25:09,Masih bingung dan tidak tau cara mengubah nada pesan notifikasi di aplikasi ini..,masih bingung dan tidak tau cara mengubah nada pesan notifikasi di aplikasi ini,bingung tau mengubah nada pesan notifikasi aplikasi,"['bingung', 'tau', 'mengubah', 'nada', 'pesan', 'notifikasi', 'aplikasi']",bingung tau ubah nada pesan notifikasi aplikasi,positif
Pengguna Google,1,2024-12-29 12:55:26,"Pihak tokopedia terlalu pro kepada pembeli. sya menjual barang elektronik dan sudah di tes ada vidio juga namun pas sampai barang rusak,namun pihak tokopedia tidak melakukan banding dengan adil dan merugikan pihak pembeli",pihak tokopedia terlalu pro kepada pembeli sya menjual barang elektronik dan sudah di tes ada vidio juga namun pas sampai barang rusaknamun pihak tokopedia tidak melakukan banding dengan adil dan merugikan pihak pembeli,tokopedia pro pembeli sya menjual barang elektronik tes vidio pas barang rusaknamun tokopedia banding adil merugikan pembeli,"['tokopedia', 'pro', 'pembeli', 'sya', 'menjual', 'barang', 'elektronik', 'tes', 'vidio', 'pas', 'barang', 'rusaknamun', 'tokopedia', 'banding', 'adil', 'merugikan', 'pembeli']",tokopedia pro beli sya jual barang elektronik tes vidio pas barang rusaknamun tokopedia banding adil rugi beli,negatif
Pengguna Google,5,2024-12-29 11:54:48,Aplikasi yang sangat membantu penjualan 👍,aplikasi yang sangat membantu penjualan ,aplikasi membantu penjualan,"['aplikasi', 'membantu', 'penjualan']",aplikasi bantu jual,positif
Pengguna Google,5,2024-12-29 11:54:01,Baru Pertama Pakai App Ini,baru pertama pakai app ini,pakai app,"['pakai', 'app']",pakai app,positif
Pengguna Google,5,2024-12-29 03:53:07,Topp,topp,topp,['topp'],topp,positif
Pengguna Google,5,2024-12-28 23:18:49,Mantap,mantap,mantap,['mantap'],mantap,positif
Pengguna Google,5,2024-12-28 22:47:29,Tokopedia aman dan terpercaya,tokopedia aman dan terpercaya,tokopedia aman terpercaya,"['tokopedia', 'aman', 'terpercaya']",tokopedia aman percaya,positif
Pengguna Google,5,2024-12-28 22:16:57,Baik,baik,,[],,positif
Pengguna Google,5,2024-12-28 21:55:14,Yaa,yaa,yaa,['yaa'],yaa,positif
Pengguna Google,5,2024-12-28 21:50:41,Aplikasi ter the best,aplikasi ter the best,aplikasi ter the best,"['aplikasi', 'ter', 'the', 'best']",aplikasi ter the best,positif
Pengguna Google,5,2024-12-28 20:52:48,Hanya di toko Djawstore yang murah hihi,hanya di toko djawstore yang murah hihi,toko djawstore murah hihi,"['toko', 'djawstore', 'murah', 'hihi']",toko djawstore murah hihi,positif
Pengguna Google,5,2024-12-28 20:38:54,"Terbaik, gak kayak sebeleh terlalu kaku, main hapus aku",terbaik gak kayak sebeleh terlalu kaku main hapus aku,terbaik gak kayak sebeleh kaku main hapus,"['terbaik', 'gak', 'kayak', 'sebeleh', 'kaku', 'main', 'hapus']",baik gak kayak sebeleh kaku main hapus,positif
Pengguna Google,5,2024-12-28 19:27:54,untuk pembeli siih nyaman..sayangnya untuk penjual butuh kesabaran ekstra ..karena proses penarikan dananya lumayan lama dan bertele tele..beda dg shopee ..kalau shopee penarikan dana mudah...harap di updete siatem biar cepet untuk penarikan dananya..krn dana penjual kan untuk beli barang dagangan lagi..jd terhambat kalau modal kecil..harus nunggu proses penarikan yg lama dulu baru bisa beli lagi barang dagangan yg mau di jual,untuk pembeli siih nyamansayangnya untuk penjual butuh kesabaran ekstra karena proses penarikan dananya lumayan lama dan bertele telebeda dg shopee kalau shopee penarikan dana mudahharap di updete siatem biar cepet untuk penarikan dananyakrn dana penjual kan untuk beli barang dagangan lagijd terhambat kalau modal kecilharus nunggu proses penarikan yg lama dulu baru bisa beli lagi barang dagangan yg mau di jual,pembeli siih nyamansayangnya penjual butuh kesabaran ekstra proses penarikan dananya lumayan bertele telebeda dg shopee shopee penarikan dana mudahharap updete siatem biar cepet penarikan dananyakrn dana penjual beli barang dagangan lagijd terhambat modal kecilharus nunggu proses penarikan yg beli barang dagangan yg jual,"['pembeli', 'siih', 'nyamansayangnya', 'penjual', 'butuh', 'kesabaran', 'ekstra', 'proses', 'penarikan', 'dananya', 'lumayan', 'bertele', 'telebeda', 'dg', 'shopee', 'shopee', 'penarikan', 'dana', 'mudahharap', 'updete', 'siatem', 'biar', 'cepet', 'penarikan', 'dananyakrn', 'dana', 'penjual', 'beli', 'barang', 'dagangan', 'lagijd', 'terhambat', 'modal', 'kecilharus', 'nunggu', 'proses', 'penarikan', 'yg', 'beli', 'barang', 'dagangan', 'yg', 'jual']",beli siih nyamansayangnya jual butuh sabar ekstra proses tari dana lumayan tele telebeda dg shopee shopee tari dana mudahharap updete siatem biar cepet tari dananyakrn dana jual beli barang dagang lagijd hambat modal kecilharus nunggu proses tari yg beli barang dagang yg jual,positif
Pengguna Google,5,2024-12-28 18:43:29,Real,real,real,['real'],real,positif
Pengguna Google,5,2024-12-28 18:13:04,"Aplikasinya ok, dana penjualan bisa langsung dicairkan ke rekening",aplikasinya ok dana penjualan bisa langsung dicairkan ke rekening,aplikasinya ok dana penjualan langsung dicairkan rekening,"['aplikasinya', 'ok', 'dana', 'penjualan', 'langsung', 'dicairkan', 'rekening']",aplikasi ok dana jual langsung cair rekening,positif
Pengguna Google,5,2024-12-28 16:42:05,Bagaimana cara untuk memunculkan kembali produk yang telah saya hapus? Terima kasih,bagaimana cara untuk memunculkan kembali produk yang telah saya hapus terima kasih,memunculkan produk hapus terima kasih,"['memunculkan', 'produk', 'hapus', 'terima', 'kasih']",muncul produk hapus terima kasih,positif
Pengguna Google,4,2024-12-28 16:32:15,"Tolong di perbaiki lagi forum diskusinya, gak bisa di buka. Terima kasih",tolong di perbaiki lagi forum diskusinya gak bisa di buka terima kasih,tolong perbaiki forum diskusinya gak buka terima kasih,"['tolong', 'perbaiki', 'forum', 'diskusinya', 'gak', 'buka', 'terima', 'kasih']",tolong baik forum diskusi gak buka terima kasih,positif
Pengguna Google,1,2024-12-28 16:26:20,Biaya admin memberatkan seller,biaya admin memberatkan seller,biaya admin memberatkan seller,"['biaya', 'admin', 'memberatkan', 'seller']",biaya admin berat seller,negatif
Pengguna Google,5,2024-12-28 16:01:47,"Alhamdulillah.. mantap kak, terima kasih..",alhamdulillah mantap kak terima kasih,alhamdulillah mantap kak terima kasih,"['alhamdulillah', 'mantap', 'kak', 'terima', 'kasih']",alhamdulillah mantap kak terima kasih,positif
Pengguna Google,5,2024-12-28 15:49:38,Membantu jualan,membantu jualan,membantu jualan,"['membantu', 'jualan']",bantu jual,positif
Pengguna Google,5,2024-12-28 14:19:04,"Sangan memudahkan transaksi pembelian,. Maksi tokped🥰",sangan memudahkan transaksi pembelian maksi tokped,sangan memudahkan transaksi pembelian maksi tokped,"['sangan', 'memudahkan', 'transaksi', 'pembelian', 'maksi', 'tokped']",sangan mudah transaksi beli maksi tokped,positif
Pengguna Google,5,2024-12-28 14:09:25,Puas banget dengan tokopedia seller ini,puas banget dengan tokopedia seller ini,puas banget tokopedia seller,"['puas', 'banget', 'tokopedia', 'seller']",puas banget tokopedia seller,positif
Pengguna Google,5,2024-12-28 13:05:15,"Tolong aplikasi tokopedia di perbaiki sering berkendala dan admin tokopedia juga bales chat bisa 3 jam, jgn banyak menu yg membuat seller rugi atau keluar biaya, sudah jualan sepi pengeluaran besar buat rugi",tolong aplikasi tokopedia di perbaiki sering berkendala dan admin tokopedia juga bales chat bisa 3 jam jgn banyak menu yg membuat seller rugi atau keluar biaya sudah jualan sepi pengeluaran besar buat rugi,tolong aplikasi tokopedia perbaiki berkendala admin tokopedia bales chat 3 jam jgn menu yg seller rugi biaya jualan sepi pengeluaran rugi,"['tolong', 'aplikasi', 'tokopedia', 'perbaiki', 'berkendala', 'admin', 'tokopedia', 'bales', 'chat', '3', 'jam', 'jgn', 'menu', 'yg', 'seller', 'rugi', 'biaya', 'jualan', 'sepi', 'pengeluaran', 'rugi']",tolong aplikasi tokopedia baik kendala admin tokopedia bales chat 3 jam jgn menu yg seller rugi biaya jual sepi keluar rugi,positif
Pengguna Google,5,2024-12-28 12:49:00,Semoga toko saya rame yang beli aminn,semoga toko saya rame yang beli aminn,semoga toko rame beli aminn,"['semoga', 'toko', 'rame', 'beli', 'aminn']",moga toko rame beli aminn,positif
Pengguna Google,5,2024-12-28 12:46:36,Ok aja ... Update kali ini terdapat fungsi yg tidak berfungsi ... Seperti tidak bisa membalas chat diskusi,ok aja  update kali ini terdapat fungsi yg tidak berfungsi  seperti tidak bisa membalas chat diskusi,ok aja update kali fungsi yg berfungsi membalas chat diskusi,"['ok', 'aja', 'update', 'kali', 'fungsi', 'yg', 'berfungsi', 'membalas', 'chat', 'diskusi']",ok aja update kali fungsi yg fungsi balas chat diskusi,positif
Pengguna Google,5,2024-12-28 12:33:00,Semoga makin jaya,semoga makin jaya,semoga jaya,"['semoga', 'jaya']",moga jaya,positif
Pengguna Google,5,2024-12-28 12:21:44,Mantaaaab,mantaaaab,mantaaaab,['mantaaaab'],mantaaaab,positif
Pengguna Google,5,2024-12-28 12:03:52,keren,keren,keren,['keren'],keren,positif
Pengguna Google,1,2024-12-28 11:42:07,"Tokopedia mulai serakah masak potongan hampir 15 persen dari omzet ,mending beralih ke yang lain",tokopedia mulai serakah masak potongan hampir 15 persen dari omzet mending beralih ke yang lain,tokopedia serakah masak potongan 15 persen omzet mending beralih,"['tokopedia', 'serakah', 'masak', 'potongan', '15', 'persen', 'omzet', 'mending', 'beralih']",tokopedia serakah masak potong 15 persen omzet mending alih,negatif
Pengguna Google,5,2024-12-28 10:32:13,Good la,good la,good la,"['good', 'la']",good la,positif
Pengguna Google,5,2024-12-28 09:50:51,Filter chat nya bermasalah,filter chat nya bermasalah,filter chat nya bermasalah,"['filter', 'chat', 'nya', 'bermasalah']",filter chat nya masalah,positif
Pengguna Google,5,2024-12-28 09:13:41,Bagus,bagus,bagus,['bagus'],bagus,positif
Pengguna Google,5,2024-12-28 04:54:45,Sangat puas dan senang bisa buka toko di tokopedia,sangat puas dan senang bisa buka toko di tokopedia,puas senang buka toko tokopedia,"['puas', 'senang', 'buka', 'toko', 'tokopedia']",puas senang buka toko tokopedia,positif
Pengguna Google,5,2024-12-28 00:35:33,Mohon agar ditambah telepon dalam pusat bantuannya agar lebih memudahkan seller atau pelanggan,mohon agar ditambah telepon dalam pusat bantuannya agar lebih memudahkan seller atau pelanggan,mohon ditambah telepon pusat bantuannya memudahkan seller pelanggan,"['mohon', 'ditambah', 'telepon', 'pusat', 'bantuannya', 'memudahkan', 'seller', 'pelanggan']",mohon tambah telepon pusat bantu mudah seller langgan,positif
Pengguna Google,1,2024-12-27 23:55:39,"Ingin berkeluh kesah terkait pesanan yang tidak jelas l, 1 bulan lebih Ke Tokopedia care, eh ternyata pelayanan nya lama, berbelit-belit, investigasi katanya, suruh klaim, tapi tetep aja ga ada kejelasan. Barang ga kembali, uangpun entah",ingin berkeluh kesah terkait pesanan yang tidak jelas l 1 bulan lebih ke tokopedia care eh ternyata pelayanan nya lama berbelitbelit investigasi katanya suruh klaim tapi tetep aja ga ada kejelasan barang ga kembali uangpun entah,berkeluh kesah terkait pesanan l 1 tokopedia care eh pelayanan nya berbelitbelit investigasi suruh klaim tetep aja ga kejelasan barang ga uangpun,"['berkeluh', 'kesah', 'terkait', 'pesanan', 'l', '1', 'tokopedia', 'care', 'eh', 'pelayanan', 'nya', 'berbelitbelit', 'investigasi', 'suruh', 'klaim', 'tetep', 'aja', 'ga', 'kejelasan', 'barang', 'ga', 'uangpun']",keluh kesah kait pesan l 1 tokopedia care eh layan nya berbelitbelit investigasi suruh klaim tetep aja ga jelas barang ga uang,negatif
Pengguna Google,5,2024-12-27 23:25:53,Mantap membantu dlm oenjualan,mantap membantu dlm oenjualan,mantap membantu dlm oenjualan,"['mantap', 'membantu', 'dlm', 'oenjualan']",mantap bantu dlm oenjualan,positif
Pengguna Google,1,2024-12-27 22:32:09,"SAYA KESEL PAKAI TOKPED, PADAHAL JELAS OFF SEMUA JNE TAPI TETEP AJA KENA JNE. UDAH TAU SELLER GA KEJANGKAU KALAU JNE, JADI SAYANG BANYAK ORDERAN KE CANCEL. MAKIN NYEBELIN!!! Lain kali kalau seller chat jangan bales BoT terus, capek minta off JNE tetep aja kena",saya kesel pakai tokped padahal jelas off semua jne tapi tetep aja kena jne udah tau seller ga kejangkau kalau jne jadi sayang banyak orderan ke cancel makin nyebelin lain kali kalau seller chat jangan bales bot terus capek minta off jne tetep aja kena,kesel pakai tokped off jne tetep aja kena jne udah tau seller ga kejangkau jne sayang orderan cancel nyebelin kali seller chat bales bot capek off jne tetep aja kena,"['kesel', 'pakai', 'tokped', 'off', 'jne', 'tetep', 'aja', 'kena', 'jne', 'udah', 'tau', 'seller', 'ga', 'kejangkau', 'jne', 'sayang', 'orderan', 'cancel', 'nyebelin', 'kali', 'seller', 'chat', 'bales', 'bot', 'capek', 'off', 'jne', 'tetep', 'aja', 'kena']",kesel pakai tokped off jne tetep aja kena jne udah tau seller ga jangkau jne sayang order cancel nyebelin kali seller chat bales bot capek off jne tetep aja kena,negatif
Pengguna Google,2,2024-12-27 21:40:06,Aju banding disini meringakan pembeli.kesal jualan disini,aju banding disini meringakan pembelikesal jualan disini,aju banding meringakan pembelikesal jualan,"['aju', 'banding', 'meringakan', 'pembelikesal', 'jualan']",aju banding meringakan pembelikesal jual,negatif
Pengguna Google,5,2024-12-27 20:50:20,Oke bangeeeet,oke bangeeeet,oke bangeeeet,"['oke', 'bangeeeet']",oke bangeeeet,positif
