content,score,clean_text,token,stopword_removal,stemming
Seumur umur pake aplikasi ini belum pernah dapet kerjaan jangan kerjaan dipanggil aja kagak!!,2,seumur umur pake aplikasi ini belum pernah dapet kerjaan jangan kerjaan dipanggil aja kagak,"['seumur', 'umur', 'pake', 'aplikasi', 'ini', 'belum', 'pernah', 'dapet', 'kerjaan', 'jangan', 'kerjaan', 'dipanggil', 'aja', 'kagak']","['seumur', 'umur', 'pake', 'aplikasi', 'pernah', 'dapet', 'kerjaan', 'jangan', 'kerjaan', 'dipanggil', 'aja', 'kagak']","['umur', 'umur', 'pake', 'aplikasi', 'pernah', 'dapet', 'kerja', 'jangan', 'kerja', 'panggil', 'aja', 'kagak']"
Suka,5,suka,['suka'],['suka'],['suka']
Bismillah semoga dapet kerja,5,bismillah semoga dapet kerja,"['bismillah', 'semoga', 'dapet', 'kerja']","['bismillah', 'semoga', 'dapet', 'kerja']","['bismillah', 'moga', 'dapet', 'kerja']"
"Sbenernya bagus cuma saran ku lebh di filter buat loker nya, banyak banget perusahaan bodong yang nawarin loker tapi palsu",1,sbenernya bagus cuma saran ku lebh di filter buat loker nya banyak banget perusahaan bodong yang nawarin loker tapi palsu,"['sbenernya', 'bagus', 'cuma', 'saran', 'ku', 'lebh', 'di', 'filter', 'buat', 'loker', 'nya', 'banyak', 'banget', 'perusahaan', 'bodong', 'yang', 'nawarin', 'loker', 'tapi', 'palsu']","['sbenernya', 'bagus', 'cuma', 'saran', 'ku', 'lebh', 'filter', 'buat', 'loker', 'nya', 'banyak', 'banget', 'perusahaan', 'bodong', 'nawarin', 'loker', 'palsu']","['sbenernya', 'bagus', 'cuma', 'saran', 'ku', 'lebh', 'filter', 'buat', 'loker', 'nya', 'banyak', 'banget', 'usaha', 'bodong', 'nawarin', 'loker', 'palsu']"
Bagus memberi info,5,bagus memberi info,"['bagus', 'memberi', 'info']","['bagus', 'memberi', 'info']","['bagus', 'beri', 'info']"
Harusnya loker²penipuwan itu jangan di masukan juga masa iya sekelas jobstreet tida bisa membajak akun²penipu,2,harusnya loker²penipuwan itu jangan di masukan juga masa iya sekelas jobstreet tida bisa membajak akun²penipu,"['harusnya', 'loker²penipuwan', 'itu', 'jangan', 'di', 'masukan', 'juga', 'masa', 'iya', 'sekelas', 'jobstreet', 'tida', 'bisa', 'membajak', 'akun²penipu']","['harusnya', 'loker²penipuwan', 'jangan', 'masukan', 'masa', 'iya', 'sekelas', 'jobstreet', 'tida', 'membajak', 'akun²penipu']","['harus', 'loker penipuwan', 'jangan', 'masuk', 'masa', 'iya', 'kelas', 'jobstreet', 'tida', 'bajak', 'akun tipu']"
Semoga cepat dapat kerja,5,semoga cepat dapat kerja,"['semoga', 'cepat', 'dapat', 'kerja']","['semoga', 'cepat', 'kerja']","['moga', 'cepat', 'kerja']"
Sulit,1,sulit,['sulit'],['sulit'],['sulit']
"Apk taik banyak loker palsu, loker penipuan, loker ga jelas loker formalitas aja disini banyak loker fiktif",1,apk taik banyak loker palsu loker penipuan loker ga jelas loker formalitas aja disini banyak loker fiktif,"['apk', 'taik', 'banyak', 'loker', 'palsu', 'loker', 'penipuan', 'loker', 'ga', 'jelas', 'loker', 'formalitas', 'aja', 'disini', 'banyak', 'loker', 'fiktif']","['apk', 'taik', 'banyak', 'loker', 'palsu', 'loker', 'penipuan', 'loker', 'ga', 'jelas', 'loker', 'formalitas', 'aja', 'disini', 'banyak', 'loker', 'fiktif']","['apk', 'taik', 'banyak', 'loker', 'palsu', 'loker', 'tipu', 'loker', 'ga', 'jelas', 'loker', 'formalitas', 'aja', 'sini', 'banyak', 'loker', 'fiktif']"
Cuma PHP doang,1,cuma php doang,"['cuma', 'php', 'doang']","['cuma', 'php', 'doang']","['cuma', 'php', 'doang']"
Bagus,5,bagus,['bagus'],['bagus'],['bagus']
Sangat membantu loker nasional,5,sangat membantu loker nasional,"['sangat', 'membantu', 'loker', 'nasional']","['sangat', 'membantu', 'loker', 'nasional']","['sangat', 'bantu', 'loker', 'nasional']"
"Pihak yg ngadain event seminar ga ada kelanjutannya soal reward berupa e-wallet, yg katanya harus tunggu sampai h+14 sampe sekarang h+21.. Hahahaha ga amanah yaa",1,pihak yg ngadain event seminar ga ada kelanjutannya soal reward berupa ewallet yg katanya harus tunggu sampai h sampe sekarang h hahahaha ga amanah yaa,"['pihak', 'yg', 'ngadain', 'event', 'seminar', 'ga', 'ada', 'kelanjutannya', 'soal', 'reward', 'berupa', 'ewallet', 'yg', 'katanya', 'harus', 'tunggu', 'sampai', 'h', 'sampe', 'sekarang', 'h', 'hahahaha', 'ga', 'amanah', 'yaa']","['pihak', 'yg', 'ngadain', 'event', 'seminar', 'ga', 'kelanjutannya', 'soal', 'reward', 'berupa', 'ewallet', 'yg', 'katanya', 'tunggu', 'h', 'sampe', 'sekarang', 'h', 'hahahaha', 'ga', 'amanah', 'yaa']","['pihak', 'yg', 'ngadain', 'event', 'seminar', 'ga', 'lanjut', 'soal', 'reward', 'upa', 'ewallet', 'yg', 'kata', 'tunggu', 'h', 'sampe', 'sekarang', 'h', 'hahahaha', 'ga', 'amanah', 'yaa']"
"Ga dapet"" kerjaan dari sini",1,ga dapet kerjaan dari sini,"['ga', 'dapet', 'kerjaan', 'dari', 'sini']","['ga', 'dapet', 'kerjaan', 'sini']","['ga', 'dapet', 'kerja', 'sini']"
Gabisa login loading mulu,1,gabisa login loading mulu,"['gabisa', 'login', 'loading', 'mulu']","['gabisa', 'login', 'loading', 'mulu']","['gabisa', 'login', 'loading', 'mulu']"
versi ini lagi banyak bug. gk bisa akses semua menu kecuali home.,1,versi ini lagi banyak bug gk bisa akses semua menu kecuali home,"['versi', 'ini', 'lagi', 'banyak', 'bug', 'gk', 'bisa', 'akses', 'semua', 'menu', 'kecuali', 'home']","['versi', 'banyak', 'bug', 'gk', 'akses', 'semua', 'menu', 'home']","['versi', 'banyak', 'bug', 'gk', 'akses', 'semua', 'menu', 'home']"
Makin kesini makin buruk soalnya bnyk loker palsu/bodong,2,makin kesini makin buruk soalnya bnyk loker palsubodong,"['makin', 'kesini', 'makin', 'buruk', 'soalnya', 'bnyk', 'loker', 'palsubodong']","['makin', 'kesini', 'makin', 'buruk', 'soalnya', 'bnyk', 'loker', 'palsubodong']","['makin', 'kesini', 'makin', 'buruk', 'soal', 'bnyk', 'loker', 'palsubodong']"
"Lowongan expayed, nglamar tak ada pernah ada panggilan apapun",1,lowongan expayed nglamar tak ada pernah ada panggilan apapun,"['lowongan', 'expayed', 'nglamar', 'tak', 'ada', 'pernah', 'ada', 'panggilan', 'apapun']","['lowongan', 'expayed', 'nglamar', 'tak', 'pernah', 'panggilan', 'apapun']","['lowong', 'expayed', 'nglamar', 'tak', 'pernah', 'panggil', 'apa']"
Aplikasi yang sangat bermanfaat.,5,aplikasi yang sangat bermanfaat,"['aplikasi', 'yang', 'sangat', 'bermanfaat']","['aplikasi', 'sangat', 'bermanfaat']","['aplikasi', 'sangat', 'manfaat']"
Saya sangat senang menggunakan aplikasi ini karena mudah mendapatkan informasi lowongan kerja terbaru dengan mudah,5,saya sangat senang menggunakan aplikasi ini karena mudah mendapatkan informasi lowongan kerja terbaru dengan mudah,"['saya', 'sangat', 'senang', 'menggunakan', 'aplikasi', 'ini', 'karena', 'mudah', 'mendapatkan', 'informasi', 'lowongan', 'kerja', 'terbaru', 'dengan', 'mudah']","['sangat', 'senang', 'menggunakan', 'aplikasi', 'mudah', 'mendapatkan', 'informasi', 'lowongan', 'kerja', 'terbaru', 'mudah']","['sangat', 'senang', 'guna', 'aplikasi', 'mudah', 'dapat', 'informasi', 'lowong', 'kerja', 'baru', 'mudah']"
saya hanya lulusan sma sederajat pingin masuk kerja di avian apakah bisa dengan hanya pengalaman marketing dan spv,5,saya hanya lulusan sma sederajat pingin masuk kerja di avian apakah bisa dengan hanya pengalaman marketing dan spv,"['saya', 'hanya', 'lulusan', 'sma', 'sederajat', 'pingin', 'masuk', 'kerja', 'di', 'avian', 'apakah', 'bisa', 'dengan', 'hanya', 'pengalaman', 'marketing', 'dan', 'spv']","['lulusan', 'sma', 'sederajat', 'pingin', 'masuk', 'kerja', 'avian', 'pengalaman', 'marketing', 'spv']","['lulus', 'sma', 'derajat', 'pingin', 'masuk', 'kerja', 'avian', 'alam', 'marketing', 'spv']"
Good luck,5,good luck,"['good', 'luck']","['good', 'luck']","['good', 'luck']"
"Apk sdh diupdate 2hari ini tidak bisa login, kenapa Min?",1,apk sdh diupdate hari ini tidak bisa login kenapa min,"['apk', 'sdh', 'diupdate', 'hari', 'ini', 'tidak', 'bisa', 'login', 'kenapa', 'min']","['apk', 'sdh', 'diupdate', 'hari', 'login', 'min']","['apk', 'sdh', 'diupdate', 'hari', 'login', 'min']"
"Ga jelas ,dari dulu Ampe sekarang ga pernah nyangkut ga pernah ada panggilan kerja ,giliran pake aplikasi sebelah baru beneran ada loker ada panggilan",1,ga jelas dari dulu ampe sekarang ga pernah nyangkut ga pernah ada panggilan kerja giliran pake aplikasi sebelah baru beneran ada loker ada panggilan,"['ga', 'jelas', 'dari', 'dulu', 'ampe', 'sekarang', 'ga', 'pernah', 'nyangkut', 'ga', 'pernah', 'ada', 'panggilan', 'kerja', 'giliran', 'pake', 'aplikasi', 'sebelah', 'baru', 'beneran', 'ada', 'loker', 'ada', 'panggilan']","['ga', 'jelas', 'dulu', 'ampe', 'sekarang', 'ga', 'pernah', 'nyangkut', 'ga', 'pernah', 'panggilan', 'kerja', 'giliran', 'pake', 'aplikasi', 'sebelah', 'baru', 'beneran', 'loker', 'panggilan']","['ga', 'jelas', 'dulu', 'ampe', 'sekarang', 'ga', 'pernah', 'nyangkut', 'ga', 'pernah', 'panggil', 'kerja', 'gilir', 'pake', 'aplikasi', 'belah', 'baru', 'beneran', 'loker', 'panggil']"
"Aplikasi samaph banyak penipu mengatasnamakan perusahan, juga banyk perusahaan fiktif. Developer tomlol cari untung doang, benerin soal persyaratan pembuatan akun juga postingan² info loker nya. Kya gini sya juga bisa jdi HRD modal bayar buat iklhan mengatasnamakan perusahan fiktif.",1,aplikasi samaph banyak penipu mengatasnamakan perusahan juga banyk perusahaan fiktif developer tomlol cari untung doang benerin soal persyaratan pembuatan akun juga postingan² info loker nya kya gini sya juga bisa jdi hrd modal bayar buat iklhan mengatasnamakan perusahan fiktif,"['aplikasi', 'samaph', 'banyak', 'penipu', 'mengatasnamakan', 'perusahan', 'juga', 'banyk', 'perusahaan', 'fiktif', 'developer', 'tomlol', 'cari', 'untung', 'doang', 'benerin', 'soal', 'persyaratan', 'pembuatan', 'akun', 'juga', 'postingan²', 'info', 'loker', 'nya', 'kya', 'gini', 'sya', 'juga', 'bisa', 'jdi', 'hrd', 'modal', 'bayar', 'buat', 'iklhan', 'mengatasnamakan', 'perusahan', 'fiktif']","['aplikasi', 'samaph', 'banyak', 'penipu', 'mengatasnamakan', 'perusahan', 'banyk', 'perusahaan', 'fiktif', 'developer', 'tomlol', 'cari', 'untung', 'doang', 'benerin', 'soal', 'persyaratan', 'pembuatan', 'akun', 'postingan²', 'info', 'loker', 'nya', 'kya', 'gini', 'sya', 'jdi', 'hrd', 'modal', 'bayar', 'buat', 'iklhan', 'mengatasnamakan', 'perusahan', 'fiktif']","['aplikasi', 'samaph', 'banyak', 'tipu', 'mengatasnamakan', 'usah', 'banyk', 'usaha', 'fiktif', 'developer', 'tomlol', 'cari', 'untung', 'doang', 'benerin', 'soal', 'syarat', 'buat', 'akun', 'postingan', 'info', 'loker', 'nya', 'kya', 'gin', 'sya', 'jdi', 'hrd', 'modal', 'bayar', 'buat', 'iklhan', 'mengatasnamakan', 'usah', 'fiktif']"
Di perbarui ga bisa log in,3,di perbarui ga bisa log in,"['di', 'perbarui', 'ga', 'bisa', 'log', 'in']","['perbarui', 'ga', 'log', 'in']","['baru', 'ga', 'log', 'in']"
mmqntap,5,mmqntap,['mmqntap'],['mmqntap'],['mmqntap']
"Loker banyak yang hoax panggilan ruko"" terus kalo dapet",1,loker banyak yang hoax panggilan ruko terus kalo dapet,"['loker', 'banyak', 'yang', 'hoax', 'panggilan', 'ruko', 'terus', 'kalo', 'dapet']","['loker', 'banyak', 'hoax', 'panggilan', 'ruko', 'terus', 'kalo', 'dapet']","['loker', 'banyak', 'hoax', 'panggil', 'ruko', 'terus', 'kalo', 'dapet']"
sangat informatif..semoga ada lamaran nyantol..,5,sangat informatifsemoga ada lamaran nyantol,"['sangat', 'informatifsemoga', 'ada', 'lamaran', 'nyantol']","['sangat', 'informatifsemoga', 'lamaran', 'nyantol']","['sangat', 'informatifsemoga', 'lamar', 'nyantol']"
Pengalaman kerja di bidang marketing penjualan dan pemasaran juga bagian promosi.,5,pengalaman kerja di bidang marketing penjualan dan pemasaran juga bagian promosi,"['pengalaman', 'kerja', 'di', 'bidang', 'marketing', 'penjualan', 'dan', 'pemasaran', 'juga', 'bagian', 'promosi']","['pengalaman', 'kerja', 'bidang', 'marketing', 'penjualan', 'pemasaran', 'bagian', 'promosi']","['alam', 'kerja', 'bidang', 'marketing', 'jual', 'pasar', 'bagi', 'promosi']"
"Pada enggak jelas semua,masih banyak calo",1,pada enggak jelas semuamasih banyak calo,"['pada', 'enggak', 'jelas', 'semuamasih', 'banyak', 'calo']","['enggak', 'jelas', 'semuamasih', 'banyak', 'calo']","['enggak', 'jelas', 'semuamasih', 'banyak', 'calo']"
"Bukannya dapat pekerjaan malah data saya yg tersebar terutama whatsapp, tiba² ditawarin kerja padahal saya tidak apply di perusahaan tsb. Setelah saya cek ternyata perusahaan palsu/penipu",2,bukannya dapat pekerjaan malah data saya yg tersebar terutama whatsapp tiba² ditawarin kerja padahal saya tidak apply di perusahaan tsb setelah saya cek ternyata perusahaan palsupenipu,"['bukannya', 'dapat', 'pekerjaan', 'malah', 'data', 'saya', 'yg', 'tersebar', 'terutama', 'whatsapp', 'tiba²', 'ditawarin', 'kerja', 'padahal', 'saya', 'tidak', 'apply', 'di', 'perusahaan', 'tsb', 'setelah', 'saya', 'cek', 'ternyata', 'perusahaan', 'palsupenipu']","['bukannya', 'pekerjaan', 'malah', 'data', 'yg', 'tersebar', 'terutama', 'whatsapp', 'tiba²', 'ditawarin', 'kerja', 'padahal', 'apply', 'perusahaan', 'tsb', 'cek', 'ternyata', 'perusahaan', 'palsupenipu']","['bukan', 'kerja', 'malah', 'data', 'yg', 'sebar', 'utama', 'whatsapp', 'tiba', 'ditawarin', 'kerja', 'padahal', 'apply', 'usaha', 'tsb', 'cek', 'nyata', 'usaha', 'palsupenipu']"
"Pendidikan saya saat ini S CINGCAU dan menuju S DAWET,berkat aplikasi ini saya dengan mudah mendapatkan pekerjaan yang sesuai dengan keinginan saya. Terimakasih Jobstreet!",1,pendidikan saya saat ini s cingcau dan menuju s dawetberkat aplikasi ini saya dengan mudah mendapatkan pekerjaan yang sesuai dengan keinginan saya terimakasih jobstreet,"['pendidikan', 'saya', 'saat', 'ini', 's', 'cingcau', 'dan', 'menuju', 's', 'dawetberkat', 'aplikasi', 'ini', 'saya', 'dengan', 'mudah', 'mendapatkan', 'pekerjaan', 'yang', 'sesuai', 'dengan', 'keinginan', 'saya', 'terimakasih', 'jobstreet']","['pendidikan', 's', 'cingcau', 'menuju', 's', 'dawetberkat', 'aplikasi', 'mudah', 'mendapatkan', 'pekerjaan', 'sesuai', 'keinginan', 'terimakasih', 'jobstreet']","['didik', 's', 'cingcau', 'tuju', 's', 'dawetberkat', 'aplikasi', 'mudah', 'dapat', 'kerja', 'sesuai', 'ingin', 'terimakasih', 'jobstreet']"
bekerja selama 10 tahun dikebun kakao bekerja selama 15 tahun dikebun kelapa sawit sbg asisten tanaman,5,bekerja selama  tahun dikebun kakao bekerja selama  tahun dikebun kelapa sawit sbg asisten tanaman,"['bekerja', 'selama', 'tahun', 'dikebun', 'kakao', 'bekerja', 'selama', 'tahun', 'dikebun', 'kelapa', 'sawit', 'sbg', 'asisten', 'tanaman']","['bekerja', 'selama', 'tahun', 'dikebun', 'kakao', 'bekerja', 'selama', 'tahun', 'dikebun', 'kelapa', 'sawit', 'sbg', 'asisten', 'tanaman']","['kerja', 'lama', 'tahun', 'kebun', 'kakao', 'kerja', 'lama', 'tahun', 'kebun', 'kelapa', 'sawit', 'sbg', 'asisten', 'tanam']"
Ok,5,ok,['ok'],[],[]
Terlalu banyak penipuan lowongan di apk ini,2,terlalu banyak penipuan lowongan di apk ini,"['terlalu', 'banyak', 'penipuan', 'lowongan', 'di', 'apk', 'ini']","['terlalu', 'banyak', 'penipuan', 'lowongan', 'apk']","['terlalu', 'banyak', 'tipu', 'lowong', 'apk']"
Aplikasi kontil Ngelamar bolak balik gk ada update progressnya Gk pernah dipanggil sekalipun,1,aplikasi kontil ngelamar bolak balik gk ada update progressnya gk pernah dipanggil sekalipun,"['aplikasi', 'kontil', 'ngelamar', 'bolak', 'balik', 'gk', 'ada', 'update', 'progressnya', 'gk', 'pernah', 'dipanggil', 'sekalipun']","['aplikasi', 'kontil', 'ngelamar', 'bolak', 'balik', 'gk', 'update', 'progressnya', 'gk', 'pernah', 'dipanggil', 'sekalipun']","['aplikasi', 'kontil', 'ngelamar', 'bolak', 'balik', 'gk', 'update', 'progressnya', 'gk', 'pernah', 'panggil', 'sekalipun']"
wadah yang baik untuk pencari kerja. Semoga kedepan lebih baik lagi aplikasinya dalam penyediaan tenaga kerja,5,wadah yang baik untuk pencari kerja semoga kedepan lebih baik lagi aplikasinya dalam penyediaan tenaga kerja,"['wadah', 'yang', 'baik', 'untuk', 'pencari', 'kerja', 'semoga', 'kedepan', 'lebih', 'baik', 'lagi', 'aplikasinya', 'dalam', 'penyediaan', 'tenaga', 'kerja']","['wadah', 'baik', 'pencari', 'kerja', 'semoga', 'kedepan', 'lebih', 'baik', 'aplikasinya', 'penyediaan', 'tenaga', 'kerja']","['wadah', 'baik', 'cari', 'kerja', 'moga', 'depan', 'lebih', 'baik', 'aplikasi', 'sedia', 'tenaga', 'kerja']"
Bagus apk e tapi yaa sulit banget sekarang cari kerja Yaa Allah tolonglah hambamu inii,5,bagus apk e tapi yaa sulit banget sekarang cari kerja yaa allah tolonglah hambamu inii,"['bagus', 'apk', 'e', 'tapi', 'yaa', 'sulit', 'banget', 'sekarang', 'cari', 'kerja', 'yaa', 'allah', 'tolonglah', 'hambamu', 'inii']","['bagus', 'apk', 'e', 'yaa', 'sulit', 'banget', 'sekarang', 'cari', 'kerja', 'yaa', 'allah', 'tolonglah', 'hambamu', 'inii']","['bagus', 'apk', 'e', 'yaa', 'sulit', 'banget', 'sekarang', 'cari', 'kerja', 'yaa', 'allah', 'tolong', 'hamba', 'ini']"
Lokasi pekerjaan tdk sesuai,1,lokasi pekerjaan tdk sesuai,"['lokasi', 'pekerjaan', 'tdk', 'sesuai']","['lokasi', 'pekerjaan', 'tdk', 'sesuai']","['lokasi', 'kerja', 'tdk', 'sesuai']"
Perna jadi helper welder,5,perna jadi helper welder,"['perna', 'jadi', 'helper', 'welder']","['perna', 'jadi', 'helper', 'welder']","['perna', 'jadi', 'helper', 'welder']"
"Saya mendaftar di perusahaan yg ada di apk ini. Tp setiap ada panggilan tes, selalu perusahaan bodong. Jadi bagaimana ini? Data diri saya sudah saya cantumkan di apk ini malah jadi tersebar ke perusahaan yg tidak jelas!!",1,saya mendaftar di perusahaan yg ada di apk ini tp setiap ada panggilan tes selalu perusahaan bodong jadi bagaimana ini data diri saya sudah saya cantumkan di apk ini malah jadi tersebar ke perusahaan yg tidak jelas,"['saya', 'mendaftar', 'di', 'perusahaan', 'yg', 'ada', 'di', 'apk', 'ini', 'tp', 'setiap', 'ada', 'panggilan', 'tes', 'selalu', 'perusahaan', 'bodong', 'jadi', 'bagaimana', 'ini', 'data', 'diri', 'saya', 'sudah', 'saya', 'cantumkan', 'di', 'apk', 'ini', 'malah', 'jadi', 'tersebar', 'ke', 'perusahaan', 'yg', 'tidak', 'jelas']","['mendaftar', 'perusahaan', 'yg', 'apk', 'tp', 'panggilan', 'tes', 'selalu', 'perusahaan', 'bodong', 'jadi', 'bagaimana', 'data', 'diri', 'cantumkan', 'apk', 'malah', 'jadi', 'tersebar', 'perusahaan', 'yg', 'jelas']","['daftar', 'usaha', 'yg', 'apk', 'tp', 'panggil', 'tes', 'selalu', 'usaha', 'bodong', 'jadi', 'bagaimana', 'data', 'diri', 'cantum', 'apk', 'malah', 'jadi', 'sebar', 'usaha', 'yg', 'jelas']"
Aplikasi yang qualified sangat membantu kami dalam mencari kerja.,5,aplikasi yang qualified sangat membantu kami dalam mencari kerja,"['aplikasi', 'yang', 'qualified', 'sangat', 'membantu', 'kami', 'dalam', 'mencari', 'kerja']","['aplikasi', 'qualified', 'sangat', 'membantu', 'mencari', 'kerja']","['aplikasi', 'qualified', 'sangat', 'bantu', 'cari', 'kerja']"
Banyak loker yang palsu dengan beberapa perusahaan di satu alamat yang sama tolong di filter lagi untuk perusahaan yang mau daftar di jobstreet ini untuk developer tolong di lanjuti lagi kasus ini.,1,banyak loker yang palsu dengan beberapa perusahaan di satu alamat yang sama tolong di filter lagi untuk perusahaan yang mau daftar di jobstreet ini untuk developer tolong di lanjuti lagi kasus ini,"['banyak', 'loker', 'yang', 'palsu', 'dengan', 'beberapa', 'perusahaan', 'di', 'satu', 'alamat', 'yang', 'sama', 'tolong', 'di', 'filter', 'lagi', 'untuk', 'perusahaan', 'yang', 'mau', 'daftar', 'di', 'jobstreet', 'ini', 'untuk', 'developer', 'tolong', 'di', 'lanjuti', 'lagi', 'kasus', 'ini']","['banyak', 'loker', 'palsu', 'beberapa', 'perusahaan', 'satu', 'alamat', 'sama', 'filter', 'perusahaan', 'mau', 'daftar', 'jobstreet', 'developer', 'lanjuti', 'kasus']","['banyak', 'loker', 'palsu', 'beberapa', 'usaha', 'satu', 'alamat', 'sama', 'filter', 'usaha', 'mau', 'daftar', 'jobstreet', 'developer', 'lanjut', 'kasus']"
"Tolong diblokir yg Pemberi pekerjaan yg kantornya di ruko jl Saharjo orang mau cari kerja ya cari duit bukan dimintain duit sama perusahaan bodong yg lainnya jg yg mintain biaya admin, ini itu dll dah",1,tolong diblokir yg pemberi pekerjaan yg kantornya di ruko jl saharjo orang mau cari kerja ya cari duit bukan dimintain duit sama perusahaan bodong yg lainnya jg yg mintain biaya admin ini itu dll dah,"['tolong', 'diblokir', 'yg', 'pemberi', 'pekerjaan', 'yg', 'kantornya', 'di', 'ruko', 'jl', 'saharjo', 'orang', 'mau', 'cari', 'kerja', 'ya', 'cari', 'duit', 'bukan', 'dimintain', 'duit', 'sama', 'perusahaan', 'bodong', 'yg', 'lainnya', 'jg', 'yg', 'mintain', 'biaya', 'admin', 'ini', 'itu', 'dll', 'dah']","['diblokir', 'yg', 'pemberi', 'pekerjaan', 'yg', 'kantornya', 'ruko', 'jl', 'saharjo', 'orang', 'mau', 'cari', 'kerja', 'cari', 'duit', 'bukan', 'dimintain', 'duit', 'sama', 'perusahaan', 'bodong', 'yg', 'lainnya', 'jg', 'yg', 'mintain', 'biaya', 'admin', 'dah']","['blokir', 'yg', 'beri', 'kerja', 'yg', 'kantor', 'ruko', 'jl', 'saharjo', 'orang', 'mau', 'cari', 'kerja', 'cari', 'duit', 'bukan', 'dimintain', 'duit', 'sama', 'usaha', 'bodong', 'yg', 'lain', 'jg', 'yg', 'mintain', 'biaya', 'admin', 'dah']"
"Sangat membantu sekali, pekerjaan pertama saya.. saya dapatkan dari sini. Terimakasih",5,sangat membantu sekali pekerjaan pertama saya saya dapatkan dari sini terimakasih,"['sangat', 'membantu', 'sekali', 'pekerjaan', 'pertama', 'saya', 'saya', 'dapatkan', 'dari', 'sini', 'terimakasih']","['sangat', 'membantu', 'sekali', 'pekerjaan', 'pertama', 'dapatkan', 'sini', 'terimakasih']","['sangat', 'bantu', 'sekali', 'kerja', 'pertama', 'dapat', 'sini', 'terimakasih']"
Mantap,5,mantap,['mantap'],['mantap'],['mantap']
Sangat membantu,5,sangat membantu,"['sangat', 'membantu']","['sangat', 'membantu']","['sangat', 'bantu']"
Sangat membantu dlm proses mencari pekerjaan,4,sangat membantu dlm proses mencari pekerjaan,"['sangat', 'membantu', 'dlm', 'proses', 'mencari', 'pekerjaan']","['sangat', 'membantu', 'dlm', 'proses', 'mencari', 'pekerjaan']","['sangat', 'bantu', 'dlm', 'proses', 'cari', 'kerja']"
