content,score
Jobstreet sangat membantu para pencari kerja sesuai dengan jurusan dan wilayah pekerjaan yang diinginkan serta dapat mengasah karir,5
Sangat membantu untuk mencari pekerjaan,5
Nun,4
Masih blm aja ada panggilan nih,3
Aplikasi Jobstreet ini sangat membantu sekali dalam mendapatkan pekerjaan yang sesuai dengan latar belakang pendidikan dan pengalaman kerja yang saya miliki selama ini.,5
"Terimakasih,sangat membantu",5
Good,5
Cari Pekerjaan Murni,5
"Penipuan, daripada ngabisin waktu ngisi ini itu di panggil kagak",1
Sudah ratusan kali melamar loker disini tidak satupun dapat panggilan kerja padahal sudah memenuhi persyaratan yang diminta oleh Perusahaan yang butuh pekerja !,1
"seriusan bete banget udah nyoba login beberapa kali tapi tetep aja gabisa, pake email gabisa, pake google gabisa, aneh",1
tolong fokuskan loker sama nama kotaaaa.,1
Jelek,1
Apk sampah asw udh lama g buka apk tiba2 logout sendiri trus login lg g bisa lebih dari 5 kali g bisa2 developer payah,1
Mantap,5
Saya kecewa karena saya ga pernah dapet pekerjaan dan panggilan dari aplikasi ini,1
Bahasa inggris semua saya ga ngerti apakah bisa di setel bahasa Indonesia,2
Asu,1
"Maaf banyak penipuan, nomor jadi tersebar",1
Tolong developer pihak perusahaan harus wajib mengisi salary/gaji di perusahaannya biar kami para pencari kerja merasa cocok dengan gaji di perusahaan yang sedang buka lowongan... Itu harus di wajibkan mengisi salary dan benefitnya untuk pihak HRD,1
"Wkwk aplikasi banyak zoonk nya saya mendapat panggilan interview kerja di berbagai pt dan perusaan berbagai loker melalui WA melalui email sudah 8x lebih tidak saya tanggepi karna saat saya membuka alamat goggle map nya isinya 2 tempat dan tidak berubah padahal beda"" perusahaan tidak recomend bnget ini aplikasi terimakasih",1
Jngn download!!!! Buang² wktu. Bnyk loker yg udh kadaluarsa juga msih d posting.,1
"Tolong lebih di filter supaya gak sembarangan orang yang bisa ngasi lowongan, soalnya banyak oknum penipu lowongan palsu ujung""nya duit",3
the best platform for job search and companies looking for workers,5
"Hapus aja aplikasi nya , Orang pada kasihan, Jauh² Datang interview malah kena Tipu. Baru bisa kerja di bayar dulu nyampek jutaan.",1
tolong ini kenapa apknya sering trouble ya,3
Update mulu tapi masih banyak loker hoax 🙄,1
"Pendidikan dan pengalaman kerja yang sesuai dengan yang diminta bahkan lebih dari ekspektasi. lamaran segera di apply, baru 1 -2 hari bahkan saat beberapa jam diposting, notif awal lamaran Sdh terkirim dan bahkan dilihat oleh perusahaan, namun selang 1 -2 minggu bahkan lebih, muncul notif lamaran sudah ditutup. Apakah CV harus selalu di-update keahlian yang diminta perusahaan yang memposting loker? dan apakah perusahaan yg tidak mensyaratkan usia, tetap memperhatikan usia juga? Tq",5
"Mencari lokasi yang di tentukan , tapi keluarnya lokasi lain yang amat sangat jauh, dan banyak lowongan penipuan",1
"Jobstreet parah sering dapat panggilan kerja prusahaan bodong penipu, nama pt nya apa ngasih alamat interview pasti di bangunan 2 lantai jakarta, parah gada penyaringnya",3
"Loker di jobstreet hoax rata"". Padahal udh naro lamaran di PT. tiba"" lamaran kadaluarsa atau tidak menerima lamaran lagi.padahal ada tanggal pas buka nya loker di PT tersebut.baru baru lamar.beberapa Minggu kemudian keterangan nya tidak menerima lamaran lagi.",1
Bagaimana cara menemukan passion dalam karir? Apakah melalui pengalaman atau pendidikan?,5
Bagus untuk mencari lowongan pekerjaan,5
Apa manfaat aplikasi Jobstreet ini ? Apakah bermanfaat untuk mencari Kerja?,5
"Semoga ini aplikasi selalu aktif dan terus maju, saya kerja dari dulu sudah pindah 3 tempat bahkan banyak panggilan kerja dari apk ini..terimakasih jobstreet",5
Bersyukur dan terima kasih banyak untuk jobstreet Karena mempermudah saya dalam mencari kerja,5
Tolong pihak ini loker hoax Mulu kebanyakan,1
"Banyak info loker penipuannya, panggilan interview bodong.",3
"Nah kalau dilihat sekarang jauh lebih baik. Tapi, boleh gak buat admin jobstreet, kalau ngiklanin lowongan kerja, tolong sertakan nama perusahaan nya dong jangan cuma nama pengiklan anonimous. Kesannya saya jadi curiga, takut dan kurang tau dari perusahaan mana yang ngasih iklan lowongan. Itu aja jobstreet kedepannya harus jelas juga nama perusahaan yang di iklankan biar gak kena penipuan dari oknum pt gadungan. Thanks",5
"Terimakasih jobstreet,karena jobstreet saya tidak menjadi beban ortu",5
Sangat membantu informasinya meskipun sy blm mendapatkan job sesuai spek yg kami miliki,5
Banyak penipu,2
"Tolong Laporan dari kita ditindak lanjuti, karena sekarang banyak modus perusahaan seperti pt visi cipta media, mereka cari pekerja account executive freelance ternyata hanya mencuri data client yang kita cari lalu diam2 perusahaan tsb berhubungan proyek tanpa sepengetahuan kita. Modus begitu merugikan kita sebagai pencari kerja di jobstreet. Sekali dipakai kami dibuang apalagi tidak ada gaji bulanan hanya komisi.",1
ini loker isinya HR HRD semua atau gimana,3
Sangat bagus untuk pencari tenaga kerja,5
Banyak loker hoax,1
"sudah aply dari banyak perusahaan tapi satupun tidak ada yang dilihat bahkan direspon, sekali direspon itupun perusahaan bodong #INDONESIACEMAS2024",1
Ok,5
"Tolong di perketat keamanan nya banyak PT penipuan yang masuk ke Jobstreet, Dengan iming"" Admin seragam dll 1,7jt nama PT focus global logistik, alamat nya Jl. Raya Bekasi No.36, RT.10/RW.1, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960* Awas penipuan!",1
Kebanyakan yg panggil itu perusahan yg ga jls interview nyah D ruko ruko,2
Cukup membantu untuk mencari Loker.,5
"Kebiasaan kalo pake jobs street banyak penipuan loker bodong data kita di pake buat panggilan kerja yg kita tidak pernah lamar , keamanan nya tolong di perketat lagi . Contoh panggilan ke megarahayu Bekasi itu yayasan minta duit duluan, dulu gua pernah pas baru lulus ketipu karna kurang nya pengalaman",3
Respon admin cepat bila aplikasi bermasalah terimakasih,5
Saya heran puluhan kali melamar via jobstreet tapi gak ada satupun ditelpon ataupun yg nyangkut padahal saya lamar sesuai kualifikasi saya saja gak yang aneh aneh. Di aplikasi lain cukup beberapa kali langsung ada panggilan. Aneh aplikasi ini.,2
"Hati ² banyak lowongan palsu alias penipuan, banyak perusahaan yg bodong juga, Hati² dengan data diri kalian",1
"Aplikasinya keren, semua perusahaan ada dan mudah untuk kirim lamaran, namun sayang tidak satupun perusahaan yang kontak saya..jadi saya kasih bintang lima ,krena luar biasa",5
Sekarang di Jobstreet banyak banget perusahaan bodong/PENIPUAN dengan mencantumkan perusahaan anonim. Setelah dapat undangan interview dan di cek alamatnya lewat google ternyata kantor tersebut merupakan kantor penipuan. Mohon di sortir lebih baik lagi agar tidak ada masyarakat atau pencari kerja yang tertipu.,2
kenapa apk besar Kya jobstret panggilannya pada penipuan semua😭😭,3
Aplikasi kurang bermanfaat,1
"Aplikasi anj*ng, nyebarin data sembarangan. sering masuk Wa dr nomor2 gk jelas, katanya dpt data dr sini .. sengaja kasi bintang 5 biar dibaca ama developer anj*ng",5
"Banyak oknum yg memanfaatkan aplikasi jobstreet untuk kepentingan pribadi, saya panggilan interview tp di minta uang 1,7 jt",1
Good,5
banyak perusahaan bodong,1
"Saya berkali kali dapat kerjaan lewat Aplikasi ini, sesuai salary yang saya harapkan. Saya lulusan S1 dan masih kuliah S2, kursus beberapa bahasa Asing, kursus Pajak, Kursus Akuntansi, Kursus Networking, kursus komputer. Semua yang dibutuhkan perusahaan saya bisa. Terimakasih Jobstreet...Sukses selalu dan semoga TETAP JAYA UNTUK JOBSTREET...",5
Sangat membantu sekali & sangat relevan sekali terima kasih 🙏🏻🙏🏻,5
Sangat membantu,5
"Lokernya sih emang banyak, tapi dari ratusan lamaran yg udh sya apply, ga ada satu pun yg respon dri pihak hrd nya. Tapi sya coba dri apk lain ternyata sya dapat panggilan, skrg sya sudah bekerja. Apakah ini apk sungguhan buat pencari kerja? Atau cuma mencari downloader apk saja??",1
Bagus sekali,5
Ga bisa di buka aplikasinya....,1
BANYAK LOKER PENIPUAN MENGATASNAMAKAN PERUSAHAAN BESAR. SELEKSI LAH YANG BENAR DAN KETAT HAI JOBSTREET.. BANYAK PANGGILAN UJUNG2NYA TES DI RUKO.,1
Not a al Qaeda,1
No koment aza Dech,1
"Honestly, at first I was excited about this application But unfortunately, after many times, we actually get scammers from people who claim to be companies looking for workers I think this application is very unsafe, it does not protect the user. It's so easy for fraudsters to impersonate labor recruitment companies and manipulate prospective employees",1
Apk bagus dan bermanfaat untuk pencari kerja,4
Mau ngasih bintang 1 karena membocorkan nomor WhatsApp saya ke nmr yang tidak dikenal(penipu). Penipu ini berkedok loker d egan iming2 gaji ga masuk akal,1
"Kepada pihak jobstreet kenapa setiap ada panggilan kerja saya selalu dapat perusahaan bodong dengan alamat sama tapi perusahaan yang beda,,apakah pihak jobstreet bekerja sama dengan perusahaan bodong?",3
"Pengguna jobstreet sejak th 2019 banyak panggilan dari sini, sekarang kenapa jarang banget dipanggil buat interview. Dan kebanyakan perusahaan penipuan yang menawarkan kerja like sosmed artis² gitu dah 😾",1
Tolong tambahkan filter lama pengalama kerja,5
"Bagus, tapi kok saya tidak dapat panggilan satu pun ya, padahal udh lamar banyak perusahaan, ditambah saya sudah masuk kualifikasi perusahaan, malah yg sering dapet email lowongan telah ditutup terus",5
Sangat membantu saya,5
"bagus tp masih bnyak lowongan2 bodong,klo org yg ga tau kan kasian dteng2 jauh2 malah dipintain uang",3
Saya sudah bekerja 5 thn sebagai driver,5
"Gara gara Aplikasi ini,data pribadi,nomr hp kesebar bnyk bnget perusahan bodong yg masuk.",1
aplikasi penipu,1
kebanyakan calo masa di mintain duit pas Dateng interview duit 10k juga di minta,1
nice 👏,5
Sayangnya hanya formalitas.,3
"banyak perusahaan bodong ada panggilan interview didaerah jakarta raya 3 perusahaan berbeda dengan 1 lokasi yang sama aneh, blum pernah ada yang pure resmi dri perusahaan dapet panggilan",4
INOVATIF,5
Salam luckin News,1
Sangat membantu dalam mencari peluang2 kerja,5
"Tolong buatkan filter dihalaman applied agar viaa mengurutkan dari status yg terupdate. Trims, klo sudah saya beri bintang 5 hehe",4
Mantap pp,5
"Sangat membantu, mantap 👍🏼👍🏼👍🏼",5
"Pengiklan Anonim di blok saja kebanyakan nipu kok bisa sekelas jobstreet menginklankan perusahaan yg kantor dan pt nya gak jelas, kasihyg banyak jadi korban coba lebih selektif lg menerima info loker yg untuk di sebar, jangan asal masukin info loker yg gak jelas",1
periksa lagi PT nyaa yang terdaftar.. semua panggilan interview via WA isi nyaa PT bodong semua.. dateng² disuruh bayar untuk kerjaa.. Interview nyaa di ruko.. periksa lagi dahh PT yang yang merekrut pekerjaan.. di Tiktok pun bangak yang mengeluh soal panggilan interview dari jobstreet.. ini Aplikasi harapan para pencari pekerja lohh.. gitu ajaa sihh,1
"Tolong di perhatikan lagi,banyak perusahaan penipuan ,di cari nama PT nya dan alamat nya tidak ada di google ,bahkan ada yang bikin website dari salah satu orang bahwa PT dan alamat tersebut penipuan,biar tidak ada lagi yang kena Korban tipu dari perusahaan tersebut!",1
Jobstreet for jobless,5
"Mantap jobstreet semoga membantu untuk mencari kerja perusahaan yang baru, Semoga di lancarkan mencari kerja di jobstreet amin",5
Bagus,5
Pt pt padu tidur cok gapernah di liat lamaran pun,1
Good,5
terima kasih sudah menjadi penghubung antara pencari kerja dengan pemberi kerja...,5
aplikasi nipu,1
"Tolong lah jangan spam loker di email kalo ujungnya lowongan ditutup, Gimmick doang, dan buat pt juga kalo buat loker dan udah ada kandidatnya dari ordal jangan di post itu loker, kasian yang benar"" ngarepin loker itu.",1
"Kenapa akun saya tiba-tiba diblokir, saya tidak bisa masuk aplikasi maupun website padahal saya tidak melakukan hal-hal aneh, anya untuk mencari loker. Tolong perbaiki!",1
"Aplikasi yang sangat patut di coba,, Sangat bermanfaat",5
"Kebanyakan upgret malah jelek. Sortirannya ga berfungsi. Masa di sotir daerah bekasi malah jakarta, bogor pada muncul juga. Terus itu perusahaan yang ANONIM block aja semua. Karena itu perusahaan nipu.",1
Blom coba,3
Ah sudah useless jobstreet skrg Banyak loker tipu tipu Informasi lowongan kerja di campur campur Mending LINKED IN sekalian,1
Saat ini saya GX tau sedang interview di perusahaan yang real atau perusahaan yang bodong,1
"MUAK SAMA APLIKASI INI!!! SANGAT TIDAK MEMBANTU, ISINYA CALO SEMUA YG BIKIN LOKER. KURANG AJAR, KAYA GITU KO GABISA DI SARING SAMA APK NYA.",2
Loker banyak yang tutup kalah sama Warung Madura yang 24Jam Payah! Kalo emg Galolos atau udh dapet kandidat langsung segera update dong,2
Bagus....,5
Pernah dapat panggilan interview tapi dari pihak kedua/yayasan bukan dari pihak perusahaannya langsung,1
"aplikasi ga update, loker kebanyakan hanya untuk s1, terus setiap apply lamaran ga pernah ada panggilan lebih lanjut.",2
"Tolong dong itu fitur searchnya banyak bug,, yang dicari A yang muncul B,, tolong ya",1
"Dari pertama instal sampai sekarang belum pernah dapat panggilan interview, beda dengan aplikasi sebelah, sudah dapat interview namun belum ada cocok",4
❤❤❤❤❤,5
"Kenapa susah bgt buat masuk ke apknya yah, padahal email sudah terdaftar sandi pun sudah benar, jadi solusinya gimana?",3
"Apaan,ngasih info lowongan banyak banget penipuan,sya dapet panggilan interview di PT.Fujitetsu Autopart Manufakturz lewat Jobstreet,malah di minta uang buat sewa seragam 850ribu,alamat kantornya di Green Mansion Blok B no 10 samping Astra Honda.Ada lagi di Globallogistic sama aja.Bahaya nih ngelamar di jobstreet.",1
Top,5
"APLIKASINYA BAGUS CUMA KALO SEARCH LOKER YANG LOKASINYA KITA MINTA GA AKURAT SAMA SEKALI, TERUS KEBANYAKAN LOKER YG KUALIFIKASINYA TERLALU BERAT",4
Upload resume lama anj,1
Di jobstreet saking banyaknya lowongan fiktif saking ga bisa bedain mana lowongan asli mana lowongan palsu,1
"apk kaga jelas,ngelamar kirain mah lowongan bener semua,pas diseriusin nipu",1
Sangat membantu,5
Sangat membantu,5
"Sering bgt dapat lowongan penipuan dan saya sudah laporkan ke admin,tp ga tahu apakah ditindak lanjuti atau tidak..bisa ga kira2 deteksi lowongan penipuan?",3
"Sengaja kasih bintang satu biar dibaca. Gini ya, fitur 'laporkan' itu mungkin berguna ketika ada pengiklan yang mencoba menipu. Tapi kalau dari pihak jobstreetnya mengetatkan aturan terkait iklan loker itu jauh lebih baik. Coba buat kebijakan misalnya perusahaan tidak menggunakan identitas anonim saat menayangkan iklan, dan identitas perusahaan wajib betul-betul terverifikasi. Dengan begitu, ngga semua orang naro iklan loker, kasian yang masih awam.",1
"Mohon untuk pihak developer untuk lebih memperhatikan setiap lokernya, soalnya udah kejadian dapet panggilan interview ternyata penipu, udah 3x dapet panggilan penipu mana pada spam lagi",1
Ini gak jelas sekarang.. Buka banyak loker tapi fiktif semua.. Info cuma sudah ditutup.. Trus gak ada kelanjutan ntah bener buka loker ntah gak.. Ntah ada diliat ntah enggak.. Paling tidak statu update nya dikasih tau.. Jangan berharap banyak sama platform ini.. Kalian cari yg lain aja..,1
"Setiap mau ganti email tetap tidak bisa, sudah dicoba berulang kali tapi sama saja. Mohon juga tampilan jika lamaran kita di tolak atau diterima oleh perusahaan. Supaya kita bisa tau lamaran kita di terima atau tidak",3
Aolikasi yang sangat bagus sekali,5
"MOHON DI PERTIMBANGAN KAN KARNA BANYAK PENIPU SUDAH MASUK DI JOBSSTREET SAYA INGATKAN UNTUK KALIAN HATI"" ATAS NAMA MHD EXPRESS ITU PENIPUAN YG ASLI AD DI IG UNTUK LOWONGAN!",1
sangat membantu dlm mencari pekerjaan 👍,5
Semoga bermanfaat nyari kerjaan dapet,5
Ok,5
Done,5
"Sortir lagi dong, ini kan apk buat mempermudah cari loker tapi kebanyakan loker kosong. Malah ada yg loker penipuan cmn buat ambil data. Lebih teliti lagi buat developer apknya udh bagus tapi bknnnya mempermudah malah mempersulit.",2
Banyak banget undangan interview bodong yg interview di ruko ruko. tolong dong pihak jobstreet lebih privasi lagi soal cv yg bisa dilihat pihak tidak brtanggung jawab,2
Dapat kerja dari aplikasi ini. Terimakasih,5
Setelah di-update kenapa tidak bisa melihat info lokernya ya,3
Ini kenapa error terus ya? Sudah 2 hari loh gabisa di akses,1
kok akhir akhir ini jobstreet gbsaaa di bukaa yaaa,3
Okey,5
"Mengapa saya tidak bisa login, selalu technical eror? Tolong dibantu",4
"Ada apa dengan aplikasinya ko tidak bisa ya melihat semuanya, mohon kejelasannya.",3
"Dilihat dri aplikasi keseluruhanny sdh bgs, tp sejak saya install hingga sekarang.. blm prnh ada perusahaan yg mghubungi saya, untuk mengikuti test pekerjaan.. sehingga menjadi pertanyaan untuk saya, lowongan pekerjaan yg terdapat di aplikasi ini bnr ada ny atau hanya formalitas saja.",3
Untuk mengisi data pribadi gmna dan CV itu biodata atau surat lamaran kerja mohon jawab nya,5
"Tolong donk diperbaiki apk nya,,masa ga bisa download resume cv?",3
Dapet kerjaan ngga data malah bocor sudah ngikutin arahan yang di sarankan dari apk ini tetep aja ngga ada panggilan rata² dapet email perusahaan di tutup semua. aplikasi cuma formalitas buang² waktu,1
"byk bahasa inggris,tidak bisa terjemah",1
aku ga ngerti knpa blm ada oanggipan gitu padahal udh hambis setahunan aku pake apk ini cmn ga tau blm.rezekinya kali yaa cmn kapan gitu rezekinya wkwk tapi yaudah lag ga baik paksaain juga jdi aku hapus aja semoga di mnapun aku segera kerja,1
"Kenapa ya saya tidak bisa masuk, terjadi kesalahan terus",3
"Saya mampu bekerja bersama team maupun individu, saya juga bekerja dengan inteligency, mampu mengelola emosional serta komitmen dalam mencapai target. Trimakasih",5
Ok,5
Kenapa gabisa dibuka sih? Tulisannya selalu “We're working on it” jelek bgt nih aplikasi,1
Server lg down ya?,5
Sangat membantu banget,5
APK KEBANYAKAN BUG!!,1
Good job sangat membantu untuk pencari pekerjaan,5
"min ini kenapa ya apk nya, apakah lagi ada masalah dengan aplikasi nya kok gabisa masuk ya? mohon jawabnnya",1
Setiap apply loker tapi gak ada tanggapan dari perusahaan. Entah itu ditolak. Atau diterima. Buang2 waktu. Untuk kalian para pelamar. Berhati2 sama perusahaan bodong. Karena mereka hanya mengumpulkan data pribadi. Tanpa ada kejelasan..,1
"Tolong, perusahaan2 bodong di kurangi, tau setiap perusahaan mendapatkan di sini, di seleksi cek kebenaran perusahaan nya, saya sudah 2x dapt panggilan interview tapi semua nya perusahaan bodong, di todong2 uang trus dan nama perusahaan nya beeganti2",3
sudah 3 hari aplikasi jobstreet tidak bisa diakses dari tanggal 22 Agustus 2024 sampai hari ini 24 agustus 2024,2
ga bisa login,1
Sangat bermanfaat,5
Sangat bagus,5
Gak jelas aplikasi nya pengen ngeliat yang dilamar gak bisa kebuka,1
Keren,5
Tidak bisa akses jobstreet di website maupun di aplikasi,3
"ya Allah banyak bgt loker palsu, penipuan, ngeselin bgt. ada juga yg nulis fasilitas gak ngotak. serius deh di jaman sekarang ini segala platform kok isinya orang jahat semua. tolong donk dimanage apa gimana gt biar yg naroh loker beneran ada. bukan perusahaan fiktif yg kalo dimasukin gmaps malah isinya aneh2 developer gercep nanggepin.",4
Udah punya akun dan udh biasa pake apk ini tp smlm pas login gabisa malah eror dan smpe skrg gabisa dipake akunnya cobq bkin akun baru gabisa aneh ni apk,1
"Pengembang aplikasi tidak merespon review secara benar dengan topik dan hanya menjawab dengan robot. Fitur filter ""urutkan berdasarkan"", dan ""Tanggal posting""sebaiknya ditampilkan pada awal pencarian. Tolong tingkatkan kualitas isi lowongan dengan standarisasi detail lokasi perusahaan yang jelas",1
bagus...utk para pelamar kerja,5
Keren lokernya masuk di akal dan banyak terpercaya,5
"Dari Jobstreet saya pernah mendapat pekerjaan di perusahaan besar Internasional di JakSel. Bahkan tanpa menunggu waktu yang lama, kurang dari 1 bulan dapetnya. Jobstreet sangat membantu, keren. Terima kasih.",5
Sangat membantu,5
Op alat berat,5
Sangat membantu sekali,5
Sangat membantu,4
Aplikasi gak jelas disuruh masukin akun google malah error urus dulu itu aplikasi nya banyak bug,1
Admin...ini gimana ya tdk bisa login ke akun..sudah diulang2 tetap tdk bisa...jadinya hapus aplikasi download lagi tetap tdk bisa Ganti email login juga tdk bisa masuk ke profil..,1
Nice Jobstree go to the my Jobs,5
Operator produksi PT cable ztt Operator produksi pabrik spinning PT yamatex,5
Bermanfaat,5
Apliksi ya bagus dan sangat membatu,4
Sandat bermanfaat,5
ok selesai,5
"Sangat bermanfaat untuk yang memiliki pengalaman kerja, GOOD",5
Ok.. Dicoba Diproses Dinyatakan Dipertimbangkan Diperhatikan.,4
Test dlu,3
"Sekarang aplikasi jobstreet banyak penipuan,kenapa kaga kaya dulu ya cari kerja gampang di aplikasi jobstreet",2
"Saya udah berusaha apply pekerjaan di jobstreet tapi yang gini hasilnya....selalu gak ada kabar dan kejelasan dari perusahaan...sudah capek melamar dan menunggu hasilnya diterima atau tidak....tapi ya begini....main asal tutup-tutup aja perusahaannya....Saya jujur aja sudah sangat sedih, menangis dan kecewa sama jobstreet...tidak ada kejelasan sama sekali....Saya berhenti saja untuk Apps ini....tidak bisa membantu",1
Udah lamar di banyak di aplikasi ini. Pengalaman ada tapi selalu gak ada panggilan heran nyesel sih donwload,1
Lumayan membantu dlm pencarian job 🙂,4
"ngegelar lowongan kok ujung""nya tutup mulu, padahal banyak orang yg berharap bisa dapat kerjaan dari aplikasi ini loh",1
Mantap Caur:),5
"Hati- hati sekarang melamar dijobstreet sudah banyak penipuan, gaji yg tertera tidak sesuai... Pas Sudah datang jauh2 untuk interview diinfo bahwa tidak ada gajinya.. Buang2 waktu saja, penipuan .",1
"Aplikasi gajelas tiap yg di lamar sudah tutup, trus ngapain di posting, Mending aplikasi glints lebih bagus real",1
Selalu error saat digunakan,1
Temukan di perusahaan PT pabrik sawit seluruh Indonesia dan di pelosok2. Karenah banyak perusahaan yg tidak ada di jobstreet,2
"Aplikasinya bagus tapi ada beberapa perusahaan bodong/penipuan, perlu di ketatin proses pembukaan lowongan kerja dari perusahaannya, soalnya saya kena 2 perusahaan bodong/penipuan nama perusahaannya jga beda², untung saya cari tau dlu😌",1
Mau tanya kenapa saya tidak bisa ganti email yang saya daftarkan di akun jobstreet saya?,1
Semoga bnyak yg dapat kerja di aplikasi ini,5
