userName,at,content,text_tokens_stemmed,Label,Label NB,Label SVM
Pengguna Google,2024-12-30 19:03:55,Senang sekali menggunakannya,senang guna,positif,positif,positif
Pengguna Google,2024-12-30 18:22:55,Baik,,positif,positif,positif
Pengguna Google,2024-12-30 17:28:33,Sangat membantu,bantu,positif,positif,positif
Pengguna Google,2024-12-30 16:16:58,Baguss,baguss,positif,positif,positif
Pengguna Google,2024-12-30 16:14:45,Gooddd,gooddd,positif,positif,positif
Pengguna Google,2024-12-30 15:56:17,Puas,puas,positif,positif,positif
Pengguna Google,2024-12-30 15:34:19,kenapa proses penarikan dananya lama sekali🥺🥺,proses tari dana,positif,positif,positif
Pengguna Google,2024-12-30 15:32:34,"Pelayanan makin jelek, biaya admin makin gede. Masih lebih baik shopee ketimbang ini, cs ga ngasih solusi. Jelek bgt pelayanannya. Ga banget.",layan jelek biaya admin gede shopee ketimbang cs ga ngasih solusi jelek bgt layan ga banget,negatif,negatif,negatif
Pengguna Google,2024-12-30 14:32:52,Mudah di gunakan👍👍👍,mudah,positif,positif,positif
Pengguna Google,2024-12-30 14:22:12,mantap,mantap,positif,positif,positif
Pengguna Google,2024-12-30 13:45:31,Parah ni sekarang tokopedia seller Lemot dan sering error. Chat CS jg makin lama. Walo potongan semakin tinggi,parah ni tokopedia seller lot error chat cs jg walo potong,negatif,negatif,negatif
Pengguna Google,2024-12-30 12:09:44,mantab,mantab,positif,positif,positif
Pengguna Google,2024-12-30 11:42:08,Ok,ok,positif,positif,positif
Pengguna Google,2024-12-30 11:40:51,semoga jualan nya berkah selalu,moga jual nya berkah,positif,positif,positif
Pengguna Google,2024-12-30 10:22:07,Patah2 .......,patah2,positif,positif,positif
Pengguna Google,2024-12-30 09:34:08,"Cukup membantu bagi saya, karena pitur nya mudah di gunakan dan di pahami",bantu pitur nya mudah paham,positif,positif,positif
Pengguna Google,2024-12-30 09:30:35,Ukuran berat tolong dikasih pilihan ke Kg,ukur berat tolong kasih pilih kg,positif,positif,positif
Pengguna Google,2024-12-30 07:55:29,Mantap,mantap,positif,positif,positif
Pengguna Google,2024-12-30 06:51:26,"POTONGAN NYA GEDE BANGET 🤧🤧 PERTIMBANGKAN LAGI DONG , TOKOPEFIA PALING GEDE LOH , AYOLAH BISA BUAT NGEBANTU UMKM LOKAL JNGN MALAH DI NAIKIN POTONGAN NYA",potong nya gede banget timbang tokopefia gede loh ayo ngebantu umkm lokal jngn naikin potong nya,negatif,positif,negatif
Pengguna Google,2024-12-30 06:32:13,"Jelek, jelel, jelek",jelek jel jelek,negatif,negatif,negatif
Pengguna Google,2024-12-29 20:29:01,Good,good,positif,positif,positif
Pengguna Google,2024-12-29 18:47:49,Terimakasih,terimakasih,positif,positif,positif
Pengguna Google,2024-12-29 17:41:21,"Etalase toko tidak bisa diedit, tidak bisa ditambah, tidak bisa dihapus. Notifikasinya ada update aplikasi, tapi ketika dicek tidak ada update.",etalase toko edit tambah hapus notifikasi update aplikasi cek update,positif,positif,positif
Pengguna Google,2024-12-29 17:37:50,mantappp baguus sangat membantu,mantappp baguus bantu,positif,positif,positif
Pengguna Google,2024-12-29 16:16:15,Semoga jadi jalan keberkahan amin,moga jalan berkah amin,positif,positif,positif
Pengguna Google,2024-12-29 15:38:20,Good,good,positif,positif,positif
Pengguna Google,2024-12-29 14:09:13,Sepertinya ini aplikasi mengantarkan ku ke masa depan,aplikasi antar ku,positif,positif,positif
Pengguna Google,2024-12-29 13:25:09,Masih bingung dan tidak tau cara mengubah nada pesan notifikasi di aplikasi ini..,bingung tau ubah nada pesan notifikasi aplikasi,positif,positif,positif
Pengguna Google,2024-12-29 12:55:26,"Pihak tokopedia terlalu pro kepada pembeli. sya menjual barang elektronik dan sudah di tes ada vidio juga namun pas sampai barang rusak,namun pihak tokopedia tidak melakukan banding dengan adil dan merugikan pihak pembeli",tokopedia pro beli sya jual barang elektronik tes vidio pas barang rusaknamun tokopedia banding adil rugi beli,negatif,positif,negatif
Pengguna Google,2024-12-29 11:54:48,Aplikasi yang sangat membantu penjualan 👍,aplikasi bantu jual,positif,positif,positif
Pengguna Google,2024-12-29 11:54:01,Baru Pertama Pakai App Ini,pakai app,positif,positif,positif
Pengguna Google,2024-12-29 03:53:07,Topp,topp,positif,positif,positif
Pengguna Google,2024-12-28 23:18:49,Mantap,mantap,positif,positif,positif
Pengguna Google,2024-12-28 22:47:29,Tokopedia aman dan terpercaya,tokopedia aman percaya,positif,positif,positif
Pengguna Google,2024-12-28 22:16:57,Baik,,positif,positif,positif
Pengguna Google,2024-12-28 21:55:14,Yaa,yaa,positif,positif,positif
Pengguna Google,2024-12-28 21:50:41,Aplikasi ter the best,aplikasi ter the best,positif,positif,positif
Pengguna Google,2024-12-28 20:52:48,Hanya di toko Djawstore yang murah hihi,toko djawstore murah hihi,positif,positif,positif
Pengguna Google,2024-12-28 20:38:54,"Terbaik, gak kayak sebeleh terlalu kaku, main hapus aku",baik gak kayak sebeleh kaku main hapus,positif,positif,positif
Pengguna Google,2024-12-28 19:27:54,untuk pembeli siih nyaman..sayangnya untuk penjual butuh kesabaran ekstra ..karena proses penarikan dananya lumayan lama dan bertele tele..beda dg shopee ..kalau shopee penarikan dana mudah...harap di updete siatem biar cepet untuk penarikan dananya..krn dana penjual kan untuk beli barang dagangan lagi..jd terhambat kalau modal kecil..harus nunggu proses penarikan yg lama dulu baru bisa beli lagi barang dagangan yg mau di jual,beli siih nyamansayangnya jual butuh sabar ekstra proses tari dana lumayan tele telebeda dg shopee shopee tari dana mudahharap updete siatem biar cepet tari dananyakrn dana jual beli barang dagang lagijd hambat modal kecilharus nunggu proses tari yg beli barang dagang yg jual,positif,positif,positif
Pengguna Google,2024-12-28 18:43:29,Real,real,positif,positif,positif
Pengguna Google,2024-12-28 18:13:04,"Aplikasinya ok, dana penjualan bisa langsung dicairkan ke rekening",aplikasi ok dana jual langsung cair rekening,positif,positif,positif
Pengguna Google,2024-12-28 16:42:05,Bagaimana cara untuk memunculkan kembali produk yang telah saya hapus? Terima kasih,muncul produk hapus terima kasih,positif,positif,positif
Pengguna Google,2024-12-28 16:32:15,"Tolong di perbaiki lagi forum diskusinya, gak bisa di buka. Terima kasih",tolong baik forum diskusi gak buka terima kasih,positif,positif,positif
Pengguna Google,2024-12-28 16:26:20,Biaya admin memberatkan seller,biaya admin berat seller,negatif,negatif,negatif
Pengguna Google,2024-12-28 16:01:47,"Alhamdulillah.. mantap kak, terima kasih..",alhamdulillah mantap kak terima kasih,positif,positif,positif
Pengguna Google,2024-12-28 15:49:38,Membantu jualan,bantu jual,positif,positif,positif
Pengguna Google,2024-12-28 14:19:04,"Sangan memudahkan transaksi pembelian,. Maksi tokped🥰",sangan mudah transaksi beli maksi tokped,positif,positif,positif
Pengguna Google,2024-12-28 14:09:25,Puas banget dengan tokopedia seller ini,puas banget tokopedia seller,positif,positif,positif
Pengguna Google,2024-12-28 13:05:15,"Tolong aplikasi tokopedia di perbaiki sering berkendala dan admin tokopedia juga bales chat bisa 3 jam, jgn banyak menu yg membuat seller rugi atau keluar biaya, sudah jualan sepi pengeluaran besar buat rugi",tolong aplikasi tokopedia baik kendala admin tokopedia bales chat 3 jam jgn menu yg seller rugi biaya jual sepi keluar rugi,positif,positif,positif
Pengguna Google,2024-12-28 12:49:00,Semoga toko saya rame yang beli aminn,moga toko rame beli aminn,positif,positif,positif
Pengguna Google,2024-12-28 12:46:36,Ok aja ... Update kali ini terdapat fungsi yg tidak berfungsi ... Seperti tidak bisa membalas chat diskusi,ok aja update kali fungsi yg fungsi balas chat diskusi,positif,positif,positif
Pengguna Google,2024-12-28 12:33:00,Semoga makin jaya,moga jaya,positif,positif,positif
Pengguna Google,2024-12-28 12:21:44,Mantaaaab,mantaaaab,positif,positif,positif
Pengguna Google,2024-12-28 12:03:52,keren,keren,positif,positif,positif
Pengguna Google,2024-12-28 11:42:07,"Tokopedia mulai serakah masak potongan hampir 15 persen dari omzet ,mending beralih ke yang lain",tokopedia serakah masak potong 15 persen omzet mending alih,negatif,negatif,negatif
Pengguna Google,2024-12-28 10:32:13,Good la,good la,positif,positif,positif
Pengguna Google,2024-12-28 09:50:51,Filter chat nya bermasalah,filter chat nya masalah,positif,positif,positif
Pengguna Google,2024-12-28 09:13:41,Bagus,bagus,positif,positif,positif
Pengguna Google,2024-12-28 04:54:45,Sangat puas dan senang bisa buka toko di tokopedia,puas senang buka toko tokopedia,positif,positif,positif
Pengguna Google,2024-12-28 00:35:33,Mohon agar ditambah telepon dalam pusat bantuannya agar lebih memudahkan seller atau pelanggan,mohon tambah telepon pusat bantu mudah seller langgan,positif,positif,positif
Pengguna Google,2024-12-27 23:55:39,"Ingin berkeluh kesah terkait pesanan yang tidak jelas l, 1 bulan lebih Ke Tokopedia care, eh ternyata pelayanan nya lama, berbelit-belit, investigasi katanya, suruh klaim, tapi tetep aja ga ada kejelasan. Barang ga kembali, uangpun entah",keluh kesah kait pesan l 1 tokopedia care eh layan nya berbelitbelit investigasi suruh klaim tetep aja ga jelas barang ga uang,negatif,negatif,negatif
Pengguna Google,2024-12-27 23:25:53,Mantap membantu dlm oenjualan,mantap bantu dlm oenjualan,positif,positif,positif
Pengguna Google,2024-12-27 22:32:09,"SAYA KESEL PAKAI TOKPED, PADAHAL JELAS OFF SEMUA JNE TAPI TETEP AJA KENA JNE. UDAH TAU SELLER GA KEJANGKAU KALAU JNE, JADI SAYANG BANYAK ORDERAN KE CANCEL. MAKIN NYEBELIN!!! Lain kali kalau seller chat jangan bales BoT terus, capek minta off JNE tetep aja kena",kesel pakai tokped off jne tetep aja kena jne udah tau seller ga jangkau jne sayang order cancel nyebelin kali seller chat bales bot capek off jne tetep aja kena,negatif,negatif,negatif
Pengguna Google,2024-12-27 21:40:06,Aju banding disini meringakan pembeli.kesal jualan disini,aju banding meringakan pembelikesal jual,negatif,positif,negatif
Pengguna Google,2024-12-27 20:50:20,Oke bangeeeet,oke bangeeeet,positif,positif,positif
Pengguna Google,2024-12-27 20:20:58,"Kecewa sih sama tokopedia, dengan adanya kurir rekomendasi. Semenjak dialihkan ke kurir rekomendasi jadi banyak masalah toko saya. Paket rusak sebulan sampe lebih dari 3X. Barang retur karena alamat tidak ditemukan. Pick up selama 4hari gak diambil. Komplain juga tidak ada solusi yang tepat dari pihak kurir rekomendasi/tokopedia. Solusinya cuma jika tidak mau dengan kurir rekomendasi ya nonaktifkan gratis ongkir. Sangat kecewa.",kecewa sih tokopedia kurir rekomendasi semenjak alih kurir rekomendasi toko paket rusak bulan sampe 3x barang retur alamat temu pick up 4hari gak ambil komplain solusi kurir rekomendasitokopedia solusi kurir rekomendasi ya nonaktif gratis ongkir kecewa,negatif,negatif,negatif
Pengguna Google,2024-12-27 18:55:33,"Cs atau agen nya lemot bgt,1 prtanyaan 1 jam baru dijawab chat,ngapain aja klian disana cs nya,masalah ga prnah terselesaikan klo nanya k cs atau agen live chat,agen SAMPAH,klo mls kerja tidus aja klian drumah masing2,makan gaji buta kalian disana,pecata aja cs cs kalian ga brguna,makan gaji buta Nyeeett",cs agen nya lot bgt1 prtanyaan 1 jam chatngapain aja klian sana cs nyamasalah ga prnah selesai klo nanya k cs agen live chatagen sampahklo mls kerja tidus aja klian drumah masing2makan gaji buta disanapecata aja cs cs ga brgunamakan gaji buta nyeeett,negatif,negatif,negatif
Pengguna Google,2024-12-27 17:40:34,good,good,positif,positif,positif
Pengguna Google,2024-12-27 17:19:19,Bagus,bagus,positif,positif,positif
Pengguna Google,2024-12-27 16:44:30,Banyak chat boongan setelah pakai promosi,chat boongan pakai promosi,negatif,positif,negatif
Pengguna Google,2024-12-27 14:56:28,Ini kenapa yah aplikasi nya suka Hank Hape S23 ultra samsung Mau pakai SIM atau wifi berat. Kolom diskusi ga bisa di buka Kolom chat susah masuk Suka bikin haoe ngelag Padahl aplikaai markeplace lain baik baik aja kalau di pakai. Ada yang aneh nih sama aplikasi tokopedia. Apakaah sedang menyadap sesuatu ?,yah aplikasi nya suka hank hape s23 ultra samsung pakai sim wifi berat kolom diskusi ga buka kolom chat susah masuk suka bikin haoe ngelag padahl aplikaai markeplace aja pakai aneh nih aplikasi tokopedia apakaah sadap,negatif,negatif,negatif
Pengguna Google,2024-12-27 14:55:49,ok,ok,positif,positif,positif
Pengguna Google,2024-12-27 14:24:32,"Saldo penjualan saya masih tertahan di tokped engga bisa di ambil, masih ngegantung udah sebulan lebih, padahal jumlahnya lumayan, udah komplen tp udah 1 bulan lebih g ada kehelasan.😡😡😡😡😡",saldo jual tahan tokped engga ambil ngegantung udah bulan lumayan udah komplen tp udah 1 g has,negatif,negatif,negatif
Pengguna Google,2024-12-27 12:26:22,Masih dalam percobaan,coba,positif,positif,positif
Pengguna Google,2024-12-27 12:07:40,Mantap,mantap,positif,positif,positif
Pengguna Google,2024-12-27 11:41:28,Terima kasih Tokopedia,terima kasih tokopedia,positif,positif,positif
Pengguna Google,2024-12-27 11:33:06,Selalu makin jadi yang terbaik,baik,positif,positif,positif
Pengguna Google,2024-12-27 11:08:18,Bagus banget sangat membantu seller,bagus banget bantu seller,positif,positif,positif
Pengguna Google,2024-12-27 10:04:46,Jelek banyak bug,jelek bug,negatif,negatif,negatif
Pengguna Google,2024-12-27 09:33:56,"Kiriman sameday sangat lama, dan aplikasi terkadang lemot.",kirim sameday aplikasi terkadang lot,positif,positif,positif
Pengguna Google,2024-12-27 09:08:34,Bagus,bagus,positif,positif,positif
Pengguna Google,2024-12-27 08:31:58,Aplikasi sangat bermanfaat,aplikasi manfaat,positif,positif,positif
Pengguna Google,2024-12-27 04:59:23,"Aplikasi semakin lelet dan berat,padahal koneksi lancar",aplikasi lelet beratpadahal koneksi lancar,positif,positif,positif
Pengguna Google,2024-12-27 01:08:05,"Review jujur ,(1)menurut saya setiap ada pesann yang masuk pasti pajak toped itu selalu besar saya jdi untung sedikit ,bahkan pernah saya ga untung malah rugi ,(2) di toped seller saya ga aktifkn kurir rekomendasi tapi setiap ada pesann yg masuk dapat kurir rekomendasi ,kalo jne mah gpp karna jarak deket dari rumah ,tapi setiap dapat rekomendasi pasti selalu jnt dan didaerah saya jnt sudah pada tutup,pesan sya tolong bila tidak aktifkn kurir yg diinginkn jangn dikasih lah, bikin repot nyarinya..",review jujur 1menurut pesann masuk pajak toped jdi untung ga untung rugi 2 toped seller ga aktifkn kurir rekomendasi pesann yg masuk kurir rekomendasi kalo jne mah gpp karna jarak deket rumah rekomendasi jnt daerah jnt tutuppesan sya tolong aktifkn kurir yg diinginkn jangn kasih bikin repot nyarinya,positif,negatif,positif
Pengguna Google,2024-12-27 01:06:06,"kapok dah pakai tokopedia seller!!! dana/saldo di review, dan harus menunggu 2 hari. semoga tokopedia cepat bangkrut!!!",kapok dah pakai tokopedia seller danasaldo review tunggu 2 moga tokopedia cepat bangkrut,negatif,positif,negatif
Pengguna Google,2024-12-26 23:06:49,Mantap,mantap,positif,positif,positif
Pengguna Google,2024-12-26 21:44:10,Ok,ok,positif,positif,positif
Pengguna Google,2024-12-26 21:28:11,"Saya paling benci ekspedisi JNE karena lelet update resinya dan pengalaman paket hilang tdk ada tanggung jawab nya sama sekali. Dan herannya walaupun sudah saya off kan JNE/ kurir ekspedisi di Tokopedia seller, knp pengiriman selalu dapat nya JNE, udah jarang dpt orderan, sekalinya dapat orderan paketalah ilang, cs Tokopedia gak guna sama sekali, penanganan komplain buruk banget",benci ekspedisi jne lelet update resi alam paket hilang tdk tanggung nya heran off jne kurir ekspedisi tokopedia seller knp kirim nya jne udah jarang dpt order sekali order paketalah ilang cs tokopedia gak tangan komplain buruk banget,negatif,negatif,negatif
Pengguna Google,2024-12-26 19:28:25,Potongan pajaknya bener bener gila 8% 😭,potong pajak bener bener gila 8,negatif,negatif,negatif
Pengguna Google,2024-12-26 18:28:33,Aplikasi jual beli yang keren,aplikasi jual beli keren,positif,positif,positif
Pengguna Google,2024-12-26 18:04:21,Akun saya tidak bisa diakses... karena kode verfikasi bocor.... bgaimn cara mnghindari...kejadian yg tidak diinginkan.... trimaksih,akun akses kode verfikasi bocor bgaimn mnghindarikejadian yg trimaksih,negatif,negatif,negatif
Pengguna Google,2024-12-26 17:27:07,Banyak kemudahan yg bs kita dapatkan,mudah yg bs dapat,positif,positif,positif
Pengguna Google,2024-12-26 17:17:23,Wenak,wenak,positif,positif,positif
Pengguna Google,2024-12-26 16:44:09,Mantap,mantap,positif,positif,positif
Pengguna Google,2024-12-26 14:03:32,Rekomendasi buat reseller mudah dan tidak perlu ada toko fisik di rumah pun jadi jualan online,rekomendasi reseller mudah toko fisik rumah jual online,positif,positif,positif
Pengguna Google,2024-12-26 12:58:07,ok,ok,positif,positif,positif
Pengguna Google,2024-12-26 12:41:58,Okee,okee,positif,positif,positif
Pengguna Google,2024-12-26 12:21:56,Recommended ...,recommended,positif,positif,positif
Pengguna Google,2024-12-26 11:56:34,Mantuuuuul,mantuuuuul,positif,positif,positif
Pengguna Google,2024-12-26 11:47:29,Entah aku gak faham kenapa kok tiba-tiba orderan masuk langsung otomatis proses padahal belum saya klik konfirmasi terima order. Ini namanya lancang mau ngatur-ngatur seller tanpa permisi dulu.,gak faham tibatiba order masuk langsung otomatis proses klik konfirmasi terima order nama lancang ngaturngatur seller permisi,negatif,negatif,negatif
Pengguna Google,2024-12-26 10:59:33,Mntap,mntap,positif,positif,positif
Pengguna Google,2024-12-26 09:04:43,"Admin, kok setiap ada order otomatis proses ? Apakah memang sekarang seperti itu atau ada masalah dengan aplikasinya?",admin order otomatis proses aplikasi,positif,positif,positif
Pengguna Google,2024-12-26 08:34:17,Sangat membantu,bantu,positif,positif,positif
Pengguna Google,2024-12-26 06:46:03,"masih ngebugg, klik tab produk/chat/lain nya yg muncul pesanan, klik pesanan malah ga muncul pesanan yg masuk apa, dklik menu siap kirim juga ga muncul pesanan siapa,jadi repot mesti restart ulang buka tutup aplikasi baru muncul",ngebugg klik tab produkchatlain nya yg muncul pesan klik pesan ga muncul pesan yg masuk dklik menu kirim ga muncul pesan siapajadi repot mesti restart ulang buka tutup aplikasi muncul,negatif,negatif,negatif
Pengguna Google,2024-12-26 06:39:04,"Fitur hapus chat ga bisa sekarang 👎🏻 makin di update makin kagak jelas ini apk. Risih orang mau hapus2 chat yang ampas cuma nanya2 doank tidak bisa. Buat ke seller potongan gede Untung tipis, jika sekali tidak di iklan kagak ada orderan masuk wkwk 🤣 Pelayanan CS juga lemot 💩👎🏻",fitur hapus chat ga update kagak apk risih orang hapus2 chat ampas nanya2 doank seller potong gede untung tipis iklan kagak order masuk wkwk layan cs lot,negatif,negatif,negatif
Pengguna Google,2024-12-26 06:20:48,Sangat mendukung untuk semua seller,dukung seller,positif,positif,positif
Pengguna Google,2024-12-26 04:03:05,Luar biasa pelayanannya,layan,positif,positif,positif
Pengguna Google,2024-12-26 04:01:13,"Bagus sekali, sangat mudah digunakan, fitur lengkap",bagus mudah fitur lengkap,positif,positif,positif
Pengguna Google,2024-12-25 22:42:37,bagus,bagus,positif,positif,positif
Pengguna Google,2024-12-25 22:29:16,Good job,good job,positif,positif,positif
Pengguna Google,2024-12-25 21:50:00,"sudah mayan, cuman pas mau cek produk harus buka dari web",mayan cuman pas cek produk buka web,positif,positif,positif
Pengguna Google,2024-12-25 21:23:29,Memuaskan,muas,positif,positif,positif
Pengguna Google,2024-12-25 17:52:43,"versi terbaru notifikasi dan nada chat sering tdk berbunyi & tdk tampil, kita tdk tau jika ada chat msk jika tdk membuka apl jd sering chat tdk terbalas padahal semua ijin & notifikasi pada pengaturan handphone sdh aktif semua & loading awal untuk buka apl sangat lola/lemoot banget... POWER Merchant sdh dibikin permanen agar seller dikenakan cute lbh tinggi, sdh sangat memeras seller, yg padahal badge Power Merchant tdk berpengaruh untuk penjualan, tetap saja sepi pembeli... Tokopedia BURUK skg.",versi baru notifikasi nada chat tdk bunyi tdk tampil tdk tau chat msk tdk buka apl jd chat tdk balas ijin notifikasi atur handphone sdh aktif loading buka apl lolalemoot banget power merchant sdh bikin permanen seller kena cute lbh sdh peras seller yg badge power merchant tdk pengaruh jual sepi beli tokopedia buruk skg,negatif,negatif,negatif
Pengguna Google,2024-12-25 17:18:26,Pembelian selalu dibatalkan Sistem. Layanan Live Chat Cs ga ada.,beli batal sistem layan live chat cs ga,negatif,negatif,negatif
Pengguna Google,2024-12-25 17:13:48,"Potongan terlalu gede,penjual bukan untung malah buntung.",potong gedepenjual untung buntung,negatif,negatif,negatif
Pengguna Google,2024-12-25 17:00:58,Apk tokoh online yang sangat mudah dalam pemakaman nya,apk tokoh online mudah makam nya,positif,positif,positif
Pengguna Google,2024-12-25 16:38:19,Emang top markotop khusus seller!!,emang top markotop khusus seller,positif,positif,positif
Pengguna Google,2024-12-25 16:33:34,"Di perbaiki fitur chat biar bisa hapus chat dan tolong jangan terlalu berpihak kepada customer untuk mslah komplain,seller kontribusinya untuk aplikasi banyak",baik fitur chat biar hapus chat tolong pihak customer mslah komplainseller kontribusi aplikasi,negatif,positif,negatif
Pengguna Google,2024-12-25 14:32:51,Good,good,positif,positif,positif
Pengguna Google,2024-12-25 13:35:53,Bagus,bagus,positif,positif,positif
Pengguna Google,2024-12-25 13:19:20,Aduch Semenjak Di Update Pembayaran Split Payment Udah gak bisa kacau dah nich Tokopedia 🤦🏻‍♀️🤦🏻‍♂️,aduch semenjak update bayar split payment udah gak kacau dah nich tokopedia,negatif,negatif,negatif
Pengguna Google,2024-12-25 12:43:58,Mantap membantu umkm tapi tolong di kurangi biaya sellernya... Terima kasih,mantap bantu umkm tolong kurang biaya sellernya terima kasih,positif,positif,positif
Pengguna Google,2024-12-25 11:56:14,"Sementara ini, nyaman-nyaman aja, semoga terus nyaman..",nyamannyaman aja moga nyaman,positif,positif,positif
Pengguna Google,2024-12-25 11:36:47,@Nathania Celluer Project,celluer project,positif,positif,positif
Pengguna Google,2024-12-25 11:14:58,Nice,nice,positif,positif,positif
Pengguna Google,2024-12-25 11:02:29,bagus,bagus,positif,positif,positif
Pengguna Google,2024-12-25 09:15:42,Keren,keren,positif,positif,positif
Pengguna Google,2024-12-25 09:12:39,"UNTUK RETING SAYA NAIKAN 1 BINTANG, DI KARENAKAN TOKPED MENDENGARKAN KELUHAN SAYA YAITU VARIAN SEKARANG LEBIH DARI 10 PRODUK. KEKURANGANYA : 1. DISKON TOKO MASIH BERBATAS 50 PRODUK JADI KALAU 35 VARIAN UKURAN M L XL ITU LEBIH DARI 50 PRODUK JADI TIDAK BISA MEMAINKAN DISKON. 2. UPDATE VARIAN LEBIH DARI 10 HANYA BERLAKU DI DESKTOP , TIDAK BERLAKU DI MOBILE, TIDAK BISA UPLOUD FOTO VARIAN DI MOBILE.",reting naik 1 bintang karena tokped dengar keluh varian 10 produk kekuranganya 1 diskon toko batas 50 produk 35 varian ukur m l xl 50 produk main diskon 2 update varian 10 laku desktop laku mobile uploud foto varian mobile,negatif,negatif,negatif
Pengguna Google,2024-12-25 08:25:31,terimakasih sudah membantu,terimakasih bantu,positif,positif,positif
Pengguna Google,2024-12-25 05:44:09,Nice,nice,positif,positif,positif
Pengguna Google,2024-12-25 05:38:45,Semoga Berkah,moga berkah,positif,positif,positif
Pengguna Google,2024-12-25 03:44:02,"SEKARANG MAKIN KESINI MAKIN ANEH AJA APLIKASI NYA, BANYAK CHAT YG BELUM DIBALAS SEDANGKAN CHAT YG SEBELUMNYA SUDAH SAYA BALESIN SEMUA,,HADUH TOLONG DONG DIPERBAIKI LAGI KENDALA SEPERTI INI AGAR TIDAK MERUGIKAN BANYAK SELLER...",kesini aneh aja aplikasi nya chat yg balas chat yg balesin semuahaduh tolong baik kendala rugi seller,negatif,negatif,negatif
Pengguna Google,2024-12-25 01:46:55,Mantapppppp,mantapppppp,positif,positif,positif
Pengguna Google,2024-12-25 00:55:07,Gajelas masa ga bisa bisa upload produk,gajelas ga upload produk,negatif,negatif,negatif
Pengguna Google,2024-12-25 00:14:43,Mantap sukses selalu,mantap sukses,positif,positif,positif
Pengguna Google,2024-12-24 23:57:07,Top,top,positif,positif,positif
Pengguna Google,2024-12-24 23:20:30,mantap,mantap,positif,positif,positif
