score,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label
5,"pilihan pts yang terbaik dan berkualitas, tempat strategis,fasilitas ok dan di ampu dosen² yg ahli serta berkompeten di bidangnya.
bukan kaleng-kaleng",pilihan pts yang terbaik dan berkualitas tempat strategisfasilitas ok dan di ampu dosen yg ahli serta berkompeten di bidangnyabukan kalengkaleng,pilihan pts terbaik berkualitas strategisfasilitas ok ampu dosen yg ahli berkompeten bidangnyabukan kalengkaleng,"['pilihan', 'pts', 'terbaik', 'berkualitas', 'strategisfasilitas', 'ok', 'ampu', 'dosen', 'yg', 'ahli', 'berkompeten', 'bidangnyabukan', 'kalengkaleng']",pilih pts baik kualitas strategisfasilitas ok ampu dosen yg ahli kompeten bidangnyabukan kalengkaleng,positif
1,"Kmpus yg masih banyak pungli skripsi gx slesai"" harus ngambil makul baru seperti anak maba lagi dan di bebankan membayar semua dari spp jdi ank baru dan pembayaran skripsi klau tidak selalu komplane gx bakalan tau stafnya dan dosen""nya saat …",kmpus yg masih banyak pungli skripsi gx slesai harus ngambil makul baru seperti anak maba lagi dan di bebankan membayar semua dari spp jdi ank baru dan pembayaran skripsi klau tidak selalu komplane gx bakalan tau stafnya dan dosennya saat ,kmpus yg pungli skripsi gx slesai ngambil makul anak maba bebankan membayar spp jdi ank pembayaran skripsi klau komplane gx tau stafnya dosennya,"['kmpus', 'yg', 'pungli', 'skripsi', 'gx', 'slesai', 'ngambil', 'makul', 'anak', 'maba', 'bebankan', 'membayar', 'spp', 'jdi', 'ank', 'pembayaran', 'skripsi', 'klau', 'komplane', 'gx', 'tau', 'stafnya', 'dosennya']",kmpus yg pungli skripsi gx slesai ngambil makul anak maba beban bayar spp jdi ank bayar skripsi klau komplane gx tau staf dosen,negatif
5,Salah satu kampus swasta favorit di kota Semarang. Ada 2 kampus Unisbank. Tempatnya di Mugas dan Kendeng. Fakultas favoritnya adalah Fakultas Ekonomika & Bisnis. …,salah satu kampus swasta favorit di kota semarang ada 2 kampus unisbank tempatnya di mugas dan kendeng fakultas favoritnya adalah fakultas ekonomika  bisnis ,salah kampus swasta favorit kota semarang 2 kampus unisbank tempatnya mugas kendeng fakultas favoritnya fakultas ekonomika bisnis,"['salah', 'kampus', 'swasta', 'favorit', 'kota', 'semarang', '2', 'kampus', 'unisbank', 'tempatnya', 'mugas', 'kendeng', 'fakultas', 'favoritnya', 'fakultas', 'ekonomika', 'bisnis']",salah kampus swasta favorit kota semarang 2 kampus unisbank tempat mugas kendeng fakultas favorit fakultas ekonomika bisnis,positif
1,"Kenapa sangat dipersulit untuk bisa mendapat bimbingan SKRIPSI, saya mhs transfer kelas DLC (kls karyawan malam) dan berdomisli luar kota ini mau bimbingan skripsi HARUS OFFLINE di jam kerja pagi - sore, tujuan saya daftar kelas malam itu …",kenapa sangat dipersulit untuk bisa mendapat bimbingan skripsi saya mhs transfer kelas dlc kls karyawan malam dan berdomisli luar kota ini mau bimbingan skripsi harus offline di jam kerja pagi  sore tujuan saya daftar kelas malam itu ,dipersulit bimbingan skripsi mhs transfer kelas dlc kls karyawan malam berdomisli kota bimbingan skripsi offline jam kerja pagi sore tujuan daftar kelas malam,"['dipersulit', 'bimbingan', 'skripsi', 'mhs', 'transfer', 'kelas', 'dlc', 'kls', 'karyawan', 'malam', 'berdomisli', 'kota', 'bimbingan', 'skripsi', 'offline', 'jam', 'kerja', 'pagi', 'sore', 'tujuan', 'daftar', 'kelas', 'malam']",sulit bimbing skripsi mhs transfer kelas dlc kls karyawan malam berdomisli kota bimbing skripsi offline jam kerja pagi sore tuju daftar kelas malam,negatif
2,"Kasian kelas malam sih bayar full tapi dpt fasilitas sebulan sekali semoga di mudahan bagi yang kuliah malam ya pak ibu jgn di persulit, banyak yang kerja cuma cukup untuk bayar kuliah aja 🙏 …",kasian kelas malam sih bayar full tapi dpt fasilitas sebulan sekali semoga di mudahan bagi yang kuliah malam ya pak ibu jgn di persulit banyak yang kerja cuma cukup untuk bayar kuliah aja  ,kasian kelas malam sih bayar full dpt fasilitas sebulan semoga mudahan kuliah malam ya jgn persulit kerja bayar kuliah aja,"['kasian', 'kelas', 'malam', 'sih', 'bayar', 'full', 'dpt', 'fasilitas', 'sebulan', 'semoga', 'mudahan', 'kuliah', 'malam', 'ya', 'jgn', 'persulit', 'kerja', 'bayar', 'kuliah', 'aja']",kasi kelas malam sih bayar full dpt fasilitas bulan moga mudah kuliah malam ya jgn sulit kerja bayar kuliah aja,negatif
1,"Tidak merekomendasikan kampus ini. BAAK nya jelek, mau wisuda aja susah. Wisuda bayar aja dibikinin persyaratan ini itu. Bayangin lo kuliah 4 tahun lebih pas wisuda masih dipersulit? Seriusan pengen kesini?",tidak merekomendasikan kampus ini baak nya jelek mau wisuda aja susah wisuda bayar aja dibikinin persyaratan ini itu bayangin lo kuliah 4 tahun lebih pas wisuda masih dipersulit seriusan pengen kesini,merekomendasikan kampus baak nya jelek wisuda aja susah wisuda bayar aja dibikinin persyaratan bayangin lo kuliah 4 pas wisuda dipersulit seriusan pengen kesini,"['merekomendasikan', 'kampus', 'baak', 'nya', 'jelek', 'wisuda', 'aja', 'susah', 'wisuda', 'bayar', 'aja', 'dibikinin', 'persyaratan', 'bayangin', 'lo', 'kuliah', '4', 'pas', 'wisuda', 'dipersulit', 'seriusan', 'pengen', 'kesini']",rekomendasi kampus baak nya jelek wisuda aja susah wisuda bayar aja dibikinin syarat bayangin lo kuliah 4 pas wisuda sulit serius ken kesini,negatif
1,"Kampus terzonk yg pernah ak temui, adikku mau wisuda di persulit... Biayaa jugaa banyakk yg harus d bayar beda sama kampus lain.... Tolong ya di benahi toefl yg harusnya dulu di luar kampus di bolehin sekarang ga di bolehin tanpa ada info …",kampus terzonk yg pernah ak temui adikku mau wisuda di persulit biayaa jugaa banyakk yg harus d bayar beda sama kampus lain tolong ya di benahi toefl yg harusnya dulu di luar kampus di bolehin sekarang ga di bolehin tanpa ada info ,kampus terzonk yg ak temui adikku wisuda persulit biayaa jugaa banyakk yg d bayar beda kampus tolong ya benahi toefl yg kampus bolehin ga bolehin info,"['kampus', 'terzonk', 'yg', 'ak', 'temui', 'adikku', 'wisuda', 'persulit', 'biayaa', 'jugaa', 'banyakk', 'yg', 'd', 'bayar', 'beda', 'kampus', 'tolong', 'ya', 'benahi', 'toefl', 'yg', 'kampus', 'bolehin', 'ga', 'bolehin', 'info']",kampus terzonk yg ak temu adik wisuda sulit biayaa jugaa banyakk yg d bayar beda kampus tolong ya benah toefl yg kampus bolehin ga bolehin info,negatif
5,Lokasinya strategis di tengah kota Semarang. Berada tepat di belakang Taman Pandanaran. Bisa dijangkau dengan mudah dengan angkutan umum. Banyak wisata kuliner di sekitar kampus. Beberapa fakultas  yang ada di kampus ini diantaranya Fakutas …,lokasinya strategis di tengah kota semarang berada tepat di belakang taman pandanaran bisa dijangkau dengan mudah dengan angkutan umum banyak wisata kuliner di sekitar kampus beberapa fakultas  yang ada di kampus ini diantaranya fakutas ,lokasinya strategis kota semarang taman pandanaran dijangkau mudah angkutan wisata kuliner kampus fakultas kampus fakutas,"['lokasinya', 'strategis', 'kota', 'semarang', 'taman', 'pandanaran', 'dijangkau', 'mudah', 'angkutan', 'wisata', 'kuliner', 'kampus', 'fakultas', 'kampus', 'fakutas']",lokasi strategis kota semarang taman pandanaran jangkau mudah angkut wisata kuliner kampus fakultas kampus fakutas,positif
5,"Tempatku menimba ilmu selama 4 tahun. Banyak kisah yg didapat dari kampus ini. Masuk kelas reguler sore, dari yg dulu jam masuk jam 5 sore sampai terakhir jadi jam 6 sore. Sayangnya terakhir2 kuliah malah ada pandemi corona, jadi gak bisa …",tempatku menimba ilmu selama 4 tahun banyak kisah yg didapat dari kampus ini masuk kelas reguler sore dari yg dulu jam masuk jam 5 sore sampai terakhir jadi jam 6 sore sayangnya terakhir2 kuliah malah ada pandemi corona jadi gak bisa ,tempatku menimba ilmu 4 kisah yg kampus masuk kelas reguler sore yg jam masuk jam 5 sore jam 6 sore sayangnya terakhir2 kuliah pandemi corona gak,"['tempatku', 'menimba', 'ilmu', '4', 'kisah', 'yg', 'kampus', 'masuk', 'kelas', 'reguler', 'sore', 'yg', 'jam', 'masuk', 'jam', '5', 'sore', 'jam', '6', 'sore', 'sayangnya', 'terakhir2', 'kuliah', 'pandemi', 'corona', 'gak']",tempat timba ilmu 4 kisah yg kampus masuk kelas reguler sore yg jam masuk jam 5 sore jam 6 sore sayang terakhir2 kuliah pandemi corona gak,positif
5,Kampus yg bagus nyaman pusat kota lagi....cocok buat belajar dan banyak lulusan dari unisbabk yg berhasil,kampus yg bagus nyaman pusat kota lagicocok buat belajar dan banyak lulusan dari unisbabk yg berhasil,kampus yg bagus nyaman pusat kota lagicocok belajar lulusan unisbabk yg berhasil,"['kampus', 'yg', 'bagus', 'nyaman', 'pusat', 'kota', 'lagicocok', 'belajar', 'lulusan', 'unisbabk', 'yg', 'berhasil']",kampus yg bagus nyaman pusat kota lagicocok ajar lulus unisbabk yg hasil,positif
5,Kampus yang lokasinya di pusat kota semarang... mau kuliah di unisbank aja😁😁 …,kampus yang lokasinya di pusat kota semarang mau kuliah di unisbank aja ,kampus lokasinya pusat kota semarang kuliah unisbank aja,"['kampus', 'lokasinya', 'pusat', 'kota', 'semarang', 'kuliah', 'unisbank', 'aja']",kampus lokasi pusat kota semarang kuliah unisbank aja,positif
5,Aman Nyaman Damai... Cocok untuk studi...,aman nyaman damai cocok untuk studi,aman nyaman damai cocok studi,"['aman', 'nyaman', 'damai', 'cocok', 'studi']",aman nyaman damai cocok studi,positif
5,Baru kali imi liat kqmpus ada nama-nama bank nya..,baru kali imi liat kqmpus ada namanama bank nya,kali imi liat kqmpus namanama bank nya,"['kali', 'imi', 'liat', 'kqmpus', 'namanama', 'bank', 'nya']",kali imi liat kqmpus namanama bank nya,positif
5,Banyak kenangan & ilmu di snih bahkan ketemu jodoh juga saat kuliah di snih ☺,banyak kenangan  ilmu di snih bahkan ketemu jodoh juga saat kuliah di snih ,kenangan ilmu snih ketemu jodoh kuliah snih,"['kenangan', 'ilmu', 'snih', 'ketemu', 'jodoh', 'kuliah', 'snih']",kenang ilmu snih ketemu jodoh kuliah snih,positif
5,"Salah satu universitas swasta di kota semarang tepatnya tengah kota dekat stadion trilomba juang
tempat sangat strategis depan kfc pandanaran san taman kota",salah satu universitas swasta di kota semarang tepatnya tengah kota dekat stadion trilomba juangtempat sangat strategis depan kfc pandanaran san taman kota,salah universitas swasta kota semarang tepatnya kota stadion trilomba juangtempat strategis kfc pandanaran san taman kota,"['salah', 'universitas', 'swasta', 'kota', 'semarang', 'tepatnya', 'kota', 'stadion', 'trilomba', 'juangtempat', 'strategis', 'kfc', 'pandanaran', 'san', 'taman', 'kota']",salah universitas swasta kota semarang tepat kota stadion trilomba juangtempat strategis kfc pandanaran san taman kota,positif
1,Banyak sisi buruknya kampus bobrok pelayanan keuangan buruk tidak responsif sangat bad attitude dan tukang palak dikit dikit kena denda😂😂 …,banyak sisi buruknya kampus bobrok pelayanan keuangan buruk tidak responsif sangat bad attitude dan tukang palak dikit dikit kena denda ,sisi buruknya kampus bobrok pelayanan keuangan buruk responsif bad attitude tukang palak dikit dikit kena denda,"['sisi', 'buruknya', 'kampus', 'bobrok', 'pelayanan', 'keuangan', 'buruk', 'responsif', 'bad', 'attitude', 'tukang', 'palak', 'dikit', 'dikit', 'kena', 'denda']",sisi buruk kampus bobrok layan uang buruk responsif bad attitude tukang palak dikit dikit kena denda,negatif
5,Saya Alumni Stikubank Semarang di bendan duwur masuk 1994 wisuda 1999 ambil program extension...selama kuliah blm pernah naik sampai bangunan paling atas..... kuliah sore terus....sukses buat Stikubank Semarang,saya alumni stikubank semarang di bendan duwur masuk 1994 wisuda 1999 ambil program extensionselama kuliah blm pernah naik sampai bangunan paling atas kuliah sore terussukses buat stikubank semarang,alumni stikubank semarang bendan duwur masuk 1994 wisuda 1999 ambil program extensionselama kuliah blm bangunan kuliah sore terussukses stikubank semarang,"['alumni', 'stikubank', 'semarang', 'bendan', 'duwur', 'masuk', '1994', 'wisuda', '1999', 'ambil', 'program', 'extensionselama', 'kuliah', 'blm', 'bangunan', 'kuliah', 'sore', 'terussukses', 'stikubank', 'semarang']",alumni stikubank semarang bendan duwur masuk 1994 wisuda 1999 ambil program extensionselama kuliah blm bangun kuliah sore terussukses stikubank semarang,positif
5,"Barang siapa yang mengenal mahasiswa lulusan universitas ini atas nama Frans Adi Wibowo, Informatics Engineering unisbank 2008 …",barang siapa yang mengenal mahasiswa lulusan universitas ini atas nama frans adi wibowo informatics engineering unisbank 2008 ,barang mengenal mahasiswa lulusan universitas nama frans adi wibowo informatics engineering unisbank 2008,"['barang', 'mengenal', 'mahasiswa', 'lulusan', 'universitas', 'nama', 'frans', 'adi', 'wibowo', 'informatics', 'engineering', 'unisbank', '2008']",barang kenal mahasiswa lulus universitas nama frans adi wibowo informatics engineering unisbank 2008,positif
5,Kampus ternama di kota Semarang.,kampus ternama di kota semarang,kampus ternama kota semarang,"['kampus', 'ternama', 'kota', 'semarang']",kampus nama kota semarang,positif
1,"Pelayanannya jelek banget sumpah .... Tnya baik baik jawabnya ketus bgt asli , Ga ngerekomendasiin kampus ini",pelayanannya jelek banget sumpah  tnya baik baik jawabnya ketus bgt asli  ga ngerekomendasiin kampus ini,pelayanannya jelek banget sumpah tnya ketus bgt asli ga ngerekomendasiin kampus,"['pelayanannya', 'jelek', 'banget', 'sumpah', 'tnya', 'ketus', 'bgt', 'asli', 'ga', 'ngerekomendasiin', 'kampus']",layan jelek banget sumpah tnya ketus bgt asli ga ngerekomendasiin kampus,negatif
4,"Sebuah universitas yang terdapat di kota Semarang, dan pernah menjadi tempat untuk seleksi ikatan dinas STIS pada tahun 2019",sebuah universitas yang terdapat di kota semarang dan pernah menjadi tempat untuk seleksi ikatan dinas stis pada tahun 2019,universitas kota semarang seleksi ikatan dinas stis 2019,"['universitas', 'kota', 'semarang', 'seleksi', 'ikatan', 'dinas', 'stis', '2019']",universitas kota semarang seleksi ikat dinas stis 2019,positif
5,Tempat menimba ilmu yg tepat,tempat menimba ilmu yg tepat,menimba ilmu yg,"['menimba', 'ilmu', 'yg']",timba ilmu yg,positif
5,Alhamdulillah sangat puas kuliah di sini.berbobot,alhamdulillah sangat puas kuliah di siniberbobot,alhamdulillah puas kuliah siniberbobot,"['alhamdulillah', 'puas', 'kuliah', 'siniberbobot']",alhamdulillah puas kuliah siniberbobot,positif
5,Difoto Dari rest area jalan tol,difoto dari rest area jalan tol,difoto rest area jalan tol,"['difoto', 'rest', 'area', 'jalan', 'tol']",foto rest area jalan tol,positif
5,"Gedungnya seperti mall, letak parkiran ada dibawah gedung, untuk naik keatas bisa menggunakan lift dan tangga.",gedungnya seperti mall letak parkiran ada dibawah gedung untuk naik keatas bisa menggunakan lift dan tangga,gedungnya mall letak parkiran dibawah gedung keatas lift tangga,"['gedungnya', 'mall', 'letak', 'parkiran', 'dibawah', 'gedung', 'keatas', 'lift', 'tangga']",gedung mall letak parkir bawah gedung atas lift tangga,positif
5,Kampus di pusat Kota. Akses transportasi umum mudah. Pilihan program studi beragam dan terakreditasi,kampus di pusat kota akses transportasi umum mudah pilihan program studi beragam dan terakreditasi,kampus pusat kota akses transportasi mudah pilihan program studi beragam terakreditasi,"['kampus', 'pusat', 'kota', 'akses', 'transportasi', 'mudah', 'pilihan', 'program', 'studi', 'beragam', 'terakreditasi']",kampus pusat kota akses transportasi mudah pilih program studi agam akreditasi,positif
5,"Saya mau tanya,, apa syarat mahasiswa yg do/putus studi dpt surket pernah kuliah dan transkrip nilai yg sudah didapat saat kuliah?",saya mau tanya apa syarat mahasiswa yg doputus studi dpt surket pernah kuliah dan transkrip nilai yg sudah didapat saat kuliah,syarat mahasiswa yg doputus studi dpt surket kuliah transkrip nilai yg kuliah,"['syarat', 'mahasiswa', 'yg', 'doputus', 'studi', 'dpt', 'surket', 'kuliah', 'transkrip', 'nilai', 'yg', 'kuliah']",syarat mahasiswa yg doputus studi dpt surket kuliah transkrip nilai yg kuliah,positif
5,"Kampus tengah kota nih, sebelumnya di dpn kampus ada SPBU sekarang jadi taman kota",kampus tengah kota nih sebelumnya di dpn kampus ada spbu sekarang jadi taman kota,kampus kota nih dpn kampus spbu taman kota,"['kampus', 'kota', 'nih', 'dpn', 'kampus', 'spbu', 'taman', 'kota']",kampus kota nih dpn kampus spbu taman kota,positif
5,"Sangat strategis, tapi waktu semester 5 ke atas, perkuliahan akan di alihkan ke unisbank bendan , sampangan",sangat strategis tapi waktu semester 5 ke atas perkuliahan akan di alihkan ke unisbank bendan  sampangan,strategis semester 5 perkuliahan alihkan unisbank bendan sampangan,"['strategis', 'semester', '5', 'perkuliahan', 'alihkan', 'unisbank', 'bendan', 'sampangan']",strategis semester 5 kuliah alih unisbank bendan sampang,positif
5,"Saya punya kakak yang bernama fery disana kak fery  nilainya bagus,terus unisbank jangan sampai  bangkrut makasih,tolong sampaikan ke kak fery dan kepala unisbank,maaf kalau salah2 kata,saya pengen ke unisbank mau kuliah hahaha.....",saya punya kakak yang bernama fery disana kak fery  nilainya bagusterus unisbank jangan sampai  bangkrut makasihtolong sampaikan ke kak fery dan kepala unisbankmaaf kalau salah2 katasaya pengen ke unisbank mau kuliah hahaha,kakak bernama fery disana kak fery nilainya bagusterus unisbank bangkrut makasihtolong kak fery kepala unisbankmaaf salah2 katasaya pengen unisbank kuliah hahaha,"['kakak', 'bernama', 'fery', 'disana', 'kak', 'fery', 'nilainya', 'bagusterus', 'unisbank', 'bangkrut', 'makasihtolong', 'kak', 'fery', 'kepala', 'unisbankmaaf', 'salah2', 'katasaya', 'pengen', 'unisbank', 'kuliah', 'hahaha']",kakak nama fery sana kak fery nilai bagusterus unisbank bangkrut makasihtolong kak fery kepala unisbankmaaf salah2 katasaya ken unisbank kuliah hahaha,positif
4,Menjadi salah satu universitas yg ada di kota semarang dengan fakultas dan jurusan yang bermacam²,menjadi salah satu universitas yg ada di kota semarang dengan fakultas dan jurusan yang bermacam,salah universitas yg kota semarang fakultas jurusan,"['salah', 'universitas', 'yg', 'kota', 'semarang', 'fakultas', 'jurusan']",salah universitas yg kota semarang fakultas jurus,positif
5,Cukup luas dan mahasiswanya cukup ramah.,cukup luas dan mahasiswanya cukup ramah,luas mahasiswanya ramah,"['luas', 'mahasiswanya', 'ramah']",luas mahasiswa ramah,positif
4,"Universitas Stikubank (Unisbank) Semarang berlokasi di jalan mugas deerah pahlawan terdapat fakultas Teknologi Informasi dencakup program studi Teknik Informatika, Sistem Informasi, dan D3- Manaj. Informatika",universitas stikubank unisbank semarang berlokasi di jalan mugas deerah pahlawan terdapat fakultas teknologi informasi dencakup program studi teknik informatika sistem informasi dan d3 manaj informatika,universitas stikubank unisbank semarang berlokasi jalan mugas deerah pahlawan fakultas teknologi informasi dencakup program studi teknik informatika sistem informasi d3 manaj informatika,"['universitas', 'stikubank', 'unisbank', 'semarang', 'berlokasi', 'jalan', 'mugas', 'deerah', 'pahlawan', 'fakultas', 'teknologi', 'informasi', 'dencakup', 'program', 'studi', 'teknik', 'informatika', 'sistem', 'informasi', 'd3', 'manaj', 'informatika']",universitas stikubank unisbank semarang lokasi jalan mugas deerah pahlawan fakultas teknologi informasi dencakup program studi teknik informatika sistem informasi d3 manaj informatika,positif
1,"tolong dong, pelayanan bagian keuangan yg responsif gitu, percuma diberikan nomor untuk dihubungi tetapi pelayanannya sangat buruk",tolong dong pelayanan bagian keuangan yg responsif gitu percuma diberikan nomor untuk dihubungi tetapi pelayanannya sangat buruk,tolong pelayanan keuangan yg responsif gitu nomor dihubungi pelayanannya buruk,"['tolong', 'pelayanan', 'keuangan', 'yg', 'responsif', 'gitu', 'nomor', 'dihubungi', 'pelayanannya', 'buruk']",tolong layan uang yg responsif gitu nomor hubung layan buruk,negatif
