content,score,clean_text,token,stopword_removal,stemming
reku sangat cocok untuk digunakan dalam aplikasi perdagangan kripto menurut saya aplikasi reku sangat mudah untuk digunakan dan mudah untuk di pelajari,5,reku sangat cocok untuk digunakan dalam aplikasi perdagangan kripto menurut saya aplikasi reku sangat mudah untuk digunakan dan mudah untuk di pelajari,"['reku', 'sangat', 'cocok', 'untuk', 'digunakan', 'dalam', 'aplikasi', 'perdagangan', 'kripto', 'menurut', 'saya', 'aplikasi', 'reku', 'sangat', 'mudah', 'untuk', 'digunakan', 'dan', 'mudah', 'untuk', 'di', 'pelajari']","['reku', 'sangat', 'cocok', 'digunakan', 'aplikasi', 'perdagangan', 'kripto', 'aplikasi', 'reku', 'sangat', 'mudah', 'digunakan', 'mudah', 'pelajari']","['reku', 'sangat', 'cocok', 'guna', 'aplikasi', 'dagang', 'kripto', 'aplikasi', 'reku', 'sangat', 'mudah', 'guna', 'mudah', 'ajar']"
good,5,good,['good'],['good'],['good']
RIBET DAN TIDAK JELASS 👎👎,1,ribet dan tidak jelass 👎👎,"['ribet', 'dan', 'tidak', 'jelass', '👎👎']","['ribet', 'jelass', '👎👎']","['ribet', 'jelass', '']"
good,5,good,['good'],['good'],['good']
"Saya cukup lama menggunakan Reku ini,dimana kita bisa tahu profit atau tidak,tapi semenjak versi terbaru ini yg sudah memasukkan saham disamping crypto,menu favorit crypto tidak bisa disimpan. Hal ini terjadi sewaktu kita matikan hp atau logout dimenu favorit tetap hanya 3 crypto padahal kita sdh tambah jadi 10 crypto dengan cara geser kekanan",5,saya cukup lama menggunakan reku inidimana kita bisa tahu profit atau tidaktapi semenjak versi terbaru ini yg sudah memasukkan saham disamping cryptomenu favorit crypto tidak bisa disimpan hal ini terjadi sewaktu kita matikan hp atau logout dimenu favorit tetap hanya  crypto padahal kita sdh tambah jadi  crypto dengan cara geser kekanan,"['saya', 'cukup', 'lama', 'menggunakan', 'reku', 'inidimana', 'kita', 'bisa', 'tahu', 'profit', 'atau', 'tidaktapi', 'semenjak', 'versi', 'terbaru', 'ini', 'yg', 'sudah', 'memasukkan', 'saham', 'disamping', 'cryptomenu', 'favorit', 'crypto', 'tidak', 'bisa', 'disimpan', 'hal', 'ini', 'terjadi', 'sewaktu', 'kita', 'matikan', 'hp', 'atau', 'logout', 'dimenu', 'favorit', 'tetap', 'hanya', 'crypto', 'padahal', 'kita', 'sdh', 'tambah', 'jadi', 'crypto', 'dengan', 'cara', 'geser', 'kekanan']","['cukup', 'lama', 'menggunakan', 'reku', 'inidimana', 'tahu', 'profit', 'tidaktapi', 'semenjak', 'versi', 'terbaru', 'yg', 'memasukkan', 'saham', 'disamping', 'cryptomenu', 'favorit', 'crypto', 'disimpan', 'terjadi', 'sewaktu', 'matikan', 'hp', 'logout', 'dimenu', 'favorit', 'tetap', 'crypto', 'padahal', 'sdh', 'tambah', 'jadi', 'crypto', 'cara', 'geser', 'kekanan']","['cukup', 'lama', 'guna', 'reku', 'inidimana', 'tahu', 'profit', 'tidaktapi', 'semenjak', 'versi', 'baru', 'yg', 'masuk', 'saham', 'samping', 'cryptomenu', 'favorit', 'crypto', 'simpan', 'jadi', 'waktu', 'mati', 'hp', 'logout', 'menu', 'favorit', 'tetap', 'crypto', 'padahal', 'sdh', 'tambah', 'jadi', 'crypto', 'cara', 'geser', 'kan']"
Baik,4,baik,['baik'],['baik'],['baik']
Ok om 👍,5,ok om 👍,"['ok', 'om', '👍']","['om', '👍']","['om', '']"
"Saya menggunakan aplikasi ini isilah 💕💕b a r o k a h 💕💕 ketika daftar biar akunmu aktif, atas rekomendasi seorang teman, seluruh antarmukanya sangat jelas dan lancar, dan fungsi perdagangannya juga sangat lengkap, memiliki variasi perdagangan yang kaya, analisis perubahan harga perdagangan internasional, dan akun demo gratis semuanya Saya sangat menyukainya, tetapi fitur favorit saya adalah kelancaran seluruh transaksi, sehingga saya tidak perlu khawatir akan kelambatan selama transaksi😘.",4,saya menggunakan aplikasi ini isilah 💕💕b a r o k a h 💕💕 ketika daftar biar akunmu aktif atas rekomendasi seorang teman seluruh antarmukanya sangat jelas dan lancar dan fungsi perdagangannya juga sangat lengkap memiliki variasi perdagangan yang kaya analisis perubahan harga perdagangan internasional dan akun demo gratis semuanya saya sangat menyukainya tetapi fitur favorit saya adalah kelancaran seluruh transaksi sehingga saya tidak perlu khawatir akan kelambatan selama transaksi😘,"['saya', 'menggunakan', 'aplikasi', 'ini', 'isilah', '💕💕b', 'a', 'r', 'o', 'k', 'a', 'h', '💕💕', 'ketika', 'daftar', 'biar', 'akunmu', 'aktif', 'atas', 'rekomendasi', 'seorang', 'teman', 'seluruh', 'antarmukanya', 'sangat', 'jelas', 'dan', 'lancar', 'dan', 'fungsi', 'perdagangannya', 'juga', 'sangat', 'lengkap', 'memiliki', 'variasi', 'perdagangan', 'yang', 'kaya', 'analisis', 'perubahan', 'harga', 'perdagangan', 'internasional', 'dan', 'akun', 'demo', 'gratis', 'semuanya', 'saya', 'sangat', 'menyukainya', 'tetapi', 'fitur', 'favorit', 'saya', 'adalah', 'kelancaran', 'seluruh', 'transaksi', 'sehingga', 'saya', 'tidak', 'perlu', 'khawatir', 'akan', 'kelambatan', 'selama', 'transaksi😘']","['menggunakan', 'aplikasi', 'isilah', '💕💕b', 'a', 'r', 'o', 'k', 'a', 'h', '💕💕', 'daftar', 'biar', 'akunmu', 'aktif', 'atas', 'rekomendasi', 'seorang', 'teman', 'seluruh', 'antarmukanya', 'sangat', 'jelas', 'lancar', 'fungsi', 'perdagangannya', 'sangat', 'lengkap', 'memiliki', 'variasi', 'perdagangan', 'kaya', 'analisis', 'perubahan', 'harga', 'perdagangan', 'internasional', 'akun', 'demo', 'gratis', 'semuanya', 'sangat', 'menyukainya', 'fitur', 'favorit', 'kelancaran', 'seluruh', 'transaksi', 'perlu', 'khawatir', 'kelambatan', 'selama', 'transaksi😘']","['guna', 'aplikasi', 'isi', 'b', 'a', 'r', 'o', 'k', 'a', 'h', '', 'daftar', 'biar', 'akun', 'aktif', 'atas', 'rekomendasi', 'orang', 'teman', 'seluruh', 'antarmuka', 'sangat', 'jelas', 'lancar', 'fungsi', 'dagang', 'sangat', 'lengkap', 'milik', 'variasi', 'dagang', 'kaya', 'analisis', 'ubah', 'harga', 'dagang', 'internasional', 'akun', 'demo', 'gratis', 'semua', 'sangat', 'suka', 'fitur', 'favorit', 'lancar', 'seluruh', 'transaksi', 'perlu', 'khawatir', 'lambat', 'lama', 'transaksi']"
"Buset dehhh.... Beli cuma 10rb,, jadi koin seharga 8rb.. Fee jual beli ga ngotak... Gimna klo beli jutaan... Ilangnya segunung... Contoh indodax.. Fee minim bgt",1,buset dehhh beli cuma rb jadi koin seharga rb fee jual beli ga ngotak gimna klo beli jutaan ilangnya segunung contoh indodax fee minim bgt,"['buset', 'dehhh', 'beli', 'cuma', 'rb', 'jadi', 'koin', 'seharga', 'rb', 'fee', 'jual', 'beli', 'ga', 'ngotak', 'gimna', 'klo', 'beli', 'jutaan', 'ilangnya', 'segunung', 'contoh', 'indodax', 'fee', 'minim', 'bgt']","['buset', 'dehhh', 'beli', 'cuma', 'rb', 'jadi', 'koin', 'seharga', 'rb', 'fee', 'jual', 'beli', 'ga', 'ngotak', 'gimna', 'klo', 'beli', 'jutaan', 'ilangnya', 'segunung', 'contoh', 'indodax', 'fee', 'minim', 'bgt']","['buset', 'dehhh', 'beli', 'cuma', 'rb', 'jadi', 'koin', 'harga', 'rb', 'fee', 'jual', 'beli', 'ga', 'ngotak', 'gimna', 'klo', 'beli', 'juta', 'ilangnya', 'gunung', 'contoh', 'indodax', 'fee', 'minim', 'bgt']"
"Tampilan UI yg simple dan ga ribet dan jangan lupa isilah ..b, a, r, o, k, a, h.. Refvpral ini ketika awal daftar ya,, biar akunmu aktif ya, jadi mudah digunakan, bahkan untuk pemula sekali pun! Keamanan datanya juga oke, pilihan koinnya yg banyak serta biaya fee yg rendah, terus juga sama bonus-bonus dari event yg diadakin sama rekeningku! Ini appnya pokoknya bagus and recomend banget!! #KriptoAmanDiReku",4,tampilan ui yg simple dan ga ribet dan jangan lupa isilah b a r o k a h refvpral ini ketika awal daftar ya biar akunmu aktif ya jadi mudah digunakan bahkan untuk pemula sekali pun keamanan datanya juga oke pilihan koinnya yg banyak serta biaya fee yg rendah terus juga sama bonusbonus dari event yg diadakin sama rekeningku ini appnya pokoknya bagus and recomend banget kriptoamandireku,"['tampilan', 'ui', 'yg', 'simple', 'dan', 'ga', 'ribet', 'dan', 'jangan', 'lupa', 'isilah', 'b', 'a', 'r', 'o', 'k', 'a', 'h', 'refvpral', 'ini', 'ketika', 'awal', 'daftar', 'ya', 'biar', 'akunmu', 'aktif', 'ya', 'jadi', 'mudah', 'digunakan', 'bahkan', 'untuk', 'pemula', 'sekali', 'pun', 'keamanan', 'datanya', 'juga', 'oke', 'pilihan', 'koinnya', 'yg', 'banyak', 'serta', 'biaya', 'fee', 'yg', 'rendah', 'terus', 'juga', 'sama', 'bonusbonus', 'dari', 'event', 'yg', 'diadakin', 'sama', 'rekeningku', 'ini', 'appnya', 'pokoknya', 'bagus', 'and', 'recomend', 'banget', 'kriptoamandireku']","['tampilan', 'ui', 'yg', 'simple', 'ga', 'ribet', 'jangan', 'lupa', 'isilah', 'b', 'a', 'r', 'o', 'k', 'a', 'h', 'refvpral', 'awal', 'daftar', 'biar', 'akunmu', 'aktif', 'jadi', 'mudah', 'digunakan', 'bahkan', 'pemula', 'sekali', 'keamanan', 'datanya', 'oke', 'pilihan', 'koinnya', 'yg', 'banyak', 'biaya', 'fee', 'yg', 'rendah', 'terus', 'sama', 'bonusbonus', 'event', 'yg', 'diadakin', 'sama', 'rekeningku', 'appnya', 'pokoknya', 'bagus', 'and', 'recomend', 'banget', 'kriptoamandireku']","['tampil', 'ui', 'yg', 'simple', 'ga', 'ribet', 'jangan', 'lupa', 'isi', 'b', 'a', 'r', 'o', 'k', 'a', 'h', 'refvpral', 'awal', 'daftar', 'biar', 'akun', 'aktif', 'jadi', 'mudah', 'guna', 'bahkan', 'mula', 'sekali', 'aman', 'data', 'oke', 'pilih', 'koin', 'yg', 'banyak', 'biaya', 'fee', 'yg', 'rendah', 'terus', 'sama', 'bonusbonus', 'event', 'yg', 'diadakin', 'sama', 'rekening', 'appnya', 'pokok', 'bagus', 'and', 'recomend', 'banget', 'kriptoamandireku']"
awesome,5,awesome,['awesome'],['awesome'],['awesome']
Semoga bisa lebih baik lagi,5,semoga bisa lebih baik lagi,"['semoga', 'bisa', 'lebih', 'baik', 'lagi']","['semoga', 'lebih', 'baik']","['moga', 'lebih', 'baik']"
"Reku memiki jaringan yang tidak benar! Saya menarik LTC dari bybit ke reku. Di bybit sudah dikonfirmasi sukses, tapi saat saya cek di Reku LTC tidak masuk sama sekali, padahal alamat wallet dan jaringan yang saya salin 100% benar👎",2,reku memiki jaringan yang tidak benar saya menarik ltc dari bybit ke reku di bybit sudah dikonfirmasi sukses tapi saat saya cek di reku ltc tidak masuk sama sekali padahal alamat wallet dan jaringan yang saya salin  benar👎,"['reku', 'memiki', 'jaringan', 'yang', 'tidak', 'benar', 'saya', 'menarik', 'ltc', 'dari', 'bybit', 'ke', 'reku', 'di', 'bybit', 'sudah', 'dikonfirmasi', 'sukses', 'tapi', 'saat', 'saya', 'cek', 'di', 'reku', 'ltc', 'tidak', 'masuk', 'sama', 'sekali', 'padahal', 'alamat', 'wallet', 'dan', 'jaringan', 'yang', 'saya', 'salin', 'benar👎']","['reku', 'memiki', 'jaringan', 'benar', 'menarik', 'ltc', 'bybit', 'reku', 'bybit', 'dikonfirmasi', 'sukses', 'cek', 'reku', 'ltc', 'masuk', 'sama', 'sekali', 'padahal', 'alamat', 'wallet', 'jaringan', 'salin', 'benar👎']","['reku', 'mik', 'jaring', 'benar', 'tarik', 'ltc', 'bybit', 'reku', 'bybit', 'konfirmasi', 'sukses', 'cek', 'reku', 'ltc', 'masuk', 'sama', 'sekali', 'padahal', 'alamat', 'wallet', 'jaring', 'salin', 'benar']"
mudah di gunakan sebagai pemula,4,mudah di gunakan sebagai pemula,"['mudah', 'di', 'gunakan', 'sebagai', 'pemula']","['mudah', 'gunakan', 'pemula']","['mudah', 'guna', 'mula']"
Ribet,1,ribet,['ribet'],['ribet'],['ribet']
"Mode Lite di bikin bisa limit order dong min, biar makin jossss",3,mode lite di bikin bisa limit order dong min biar makin jossss,"['mode', 'lite', 'di', 'bikin', 'bisa', 'limit', 'order', 'dong', 'min', 'biar', 'makin', 'jossss']","['mode', 'lite', 'bikin', 'limit', 'order', 'dong', 'min', 'biar', 'makin', 'jossss']","['mode', 'lite', 'bikin', 'limit', 'order', 'dong', 'min', 'biar', 'makin', 'jossss']"
Sayang tidak suport lightining. Yg saya maksut trima kripto dengan mode lightining,1,sayang tidak suport lightining yg saya maksut trima kripto dengan mode lightining,"['sayang', 'tidak', 'suport', 'lightining', 'yg', 'saya', 'maksut', 'trima', 'kripto', 'dengan', 'mode', 'lightining']","['sayang', 'suport', 'lightining', 'yg', 'maksut', 'trima', 'kripto', 'mode', 'lightining']","['sayang', 'suport', 'lightining', 'yg', 'maksut', 'trima', 'kripto', 'mode', 'lightining']"
"20240929 Belum ada preferensi saham AS syariah, tidak seperti Go Trade Indonesia",1,belum ada preferensi saham as syariah tidak seperti go trade indonesia,"['belum', 'ada', 'preferensi', 'saham', 'as', 'syariah', 'tidak', 'seperti', 'go', 'trade', 'indonesia']","['preferensi', 'saham', 'as', 'syariah', 'go', 'trade', 'indonesia']","['preferensi', 'saham', 'as', 'syariah', 'go', 'trade', 'indonesia']"
"Kirim koin kesini dari wallet malah lenyap gara"" gak masukin memo ID padahal alamat dah bener",1,kirim koin kesini dari wallet malah lenyap gara gak masukin memo id padahal alamat dah bener,"['kirim', 'koin', 'kesini', 'dari', 'wallet', 'malah', 'lenyap', 'gara', 'gak', 'masukin', 'memo', 'id', 'padahal', 'alamat', 'dah', 'bener']","['kirim', 'koin', 'kesini', 'wallet', 'malah', 'lenyap', 'gara', 'gak', 'masukin', 'memo', 'id', 'padahal', 'alamat', 'dah', 'bener']","['kirim', 'koin', 'kesini', 'wallet', 'malah', 'lenyap', 'gara', 'gak', 'masukin', 'memo', 'id', 'padahal', 'alamat', 'dah', 'bener']"
"pilihan aset makin banyak, fitur juga makin lengkap. top deh 🚀 🌔",5,pilihan aset makin banyak fitur juga makin lengkap top deh 🚀 🌔,"['pilihan', 'aset', 'makin', 'banyak', 'fitur', 'juga', 'makin', 'lengkap', 'top', 'deh', '🚀', '🌔']","['pilihan', 'aset', 'makin', 'banyak', 'fitur', 'makin', 'lengkap', 'top', 'deh', '🚀', '🌔']","['pilih', 'aset', 'makin', 'banyak', 'fitur', 'makin', 'lengkap', 'top', 'deh', '', '']"
menghibur dan bisa mendapatkan cuan,5,menghibur dan bisa mendapatkan cuan,"['menghibur', 'dan', 'bisa', 'mendapatkan', 'cuan']","['menghibur', 'mendapatkan', 'cuan']","['hibur', 'dapat', 'cuan']"
TOP UP E MALAH BANK SAMPOERNA,1,top up e malah bank sampoerna,"['top', 'up', 'e', 'malah', 'bank', 'sampoerna']","['top', 'up', 'e', 'malah', 'bank', 'sampoerna']","['top', 'up', 'e', 'malah', 'bank', 'sampoerna']"
